id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/hide_char_id
event_beautyfullshot1_02_e_1,40051,event_beautyfullshot1_02_e,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot1_02_e_1,True,CoralIslandInside_d,97,97,1.0,event_bgm_beautyfullshot_seasidedance,,anis_s,9,no,,neon_s,7,idle,,rapi_s,5,idle,,guilty_s,3,idle,,mary_s,1,idle,,maiden_s,13,idle,,viper_s,15,idle,,rosanna,17,angry,,sakura,19,angry,
event_beautyfullshot1_02_e_2,40051,event_beautyfullshot1_02_e,Speech,neon_s,neon_s,Locale_MainScenario:event_beautyfullshot1_02_e_2,True,,97,97,1.0,,,,9,no,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,angry,,,19,angry,
event_beautyfullshot1_02_e_3,40051,event_beautyfullshot1_02_e,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot1_02_e_3,True,,97,5,1.0,,,,9,no,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,angry,,,19,angry,
event_beautyfullshot1_02_e_4,40051,event_beautyfullshot1_02_e,Speech,guilty_s,guilty_s,Locale_MainScenario:event_beautyfullshot1_02_e_4,True,,5,3,1.0,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,angry,,,19,angry,
event_beautyfullshot1_02_e_5,40051,event_beautyfullshot1_02_e,Speech,mary_s,mary_s,Locale_MainScenario:event_beautyfullshot1_02_e_5,True,,3,31,1.0,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,angry,,,19,angry,
event_beautyfullshot1_02_e_6,40051,event_beautyfullshot1_02_e,Speech,guilty_s,guilty_s,Locale_MainScenario:event_beautyfullshot1_02_e_6,True,,31,31,1.0,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,angry,,,19,angry,
event_beautyfullshot1_02_e_7,40051,event_beautyfullshot1_02_e,Speech,mary_s,mary_s,Locale_MainScenario:event_beautyfullshot1_02_e_7,True,,31,31,1.0,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,angry,,,19,angry,
event_beautyfullshot1_02_e_8,40051,event_beautyfullshot1_02_e,Speech,guilty_s,guilty_s,Locale_MainScenario:event_beautyfullshot1_02_e_8,True,,31,31,1.0,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,angry,,,19,angry,
event_beautyfullshot1_02_e_9,40051,event_beautyfullshot1_02_e,Speech,guilty_s,guilty_s,Locale_MainScenario:event_beautyfullshot1_02_e_9,True,,31,31,1.0,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,angry,,,19,angry,
event_beautyfullshot1_02_e_10,40051,event_beautyfullshot1_02_e,Speech,mary_s,mary_s,Locale_MainScenario:event_beautyfullshot1_02_e_10,True,,31,31,1.0,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,think,,,13,idle,,,15,idle,,,17,angry,,,19,angry,
