id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_camera_shake,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
event_exnii2_07_s_1,40071,event_exnii2_07_s,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_07_s_1,True,shifty,OP_leftup,idle,helm,1,delight,mast,3,idle2,anchor,5,idle,EzsUp_r,1,1,1.0,event_bgm_ce005_field_2,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_2,40071,event_exnii2_07_s,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_07_s_2,True,,OP_leftup,idle,,1,delight,,3,idle2,,5,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_3,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_3,True,,OP_leftup,idle,,1,delight,,3,idle2,,5,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_4,40071,event_exnii2_07_s,Speech,shifty,shifty,Locale_SubScenario:event_exnii2_07_s_4,True,,OP_leftup,angry,,1,delight,,3,idle2,,5,angry,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_5,40071,event_exnii2_07_s,Self,shifty,,Locale_SubScenario:event_exnii2_07_s_5,False,,OP_leftup,angry,,1,angry,,3,surprise2,,5,angry,,1,1,1.0,,shifty,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_6,40071,event_exnii2_07_s,Speech,anchor,anchor,Locale_SubScenario:event_exnii2_07_s_6,True,,,,,1,angry,,3,surprise2,,5,angry,,1,5,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_7,40071,event_exnii2_07_s,Self,,,Locale_SubScenario:event_exnii2_07_s_7,False,,,,,1,angry,,3,surprise2,,5,angry,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_8,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_8,True,,,,,1,angry,,3,surprise2,,5,angry,,1,10,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_9,40071,event_exnii2_07_s,Narration,,,Locale_SubScenario:event_exnii2_07_s_9,False,,,,,1,angry,,3,surprise2,,5,angry,MassiveObject_Q,10,1,1.0,,,helm,mast,anchor,Low_2,black,,,,,,,,,,,,,,
event_exnii2_07_s_10,40071,event_exnii2_07_s,Narration,,,Locale_SubScenario:event_exnii2_07_s_10,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_11,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_11,True,,,,helm,1,angry,mast,3,sad2,anchor,5,idle,EzsUp_r,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,black,,,,,,,,,,,,,,
event_exnii2_07_s_12,40071,event_exnii2_07_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_07_s_12,True,,,,,1,angry,,3,sad2,,5,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_13,40071,event_exnii2_07_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_07_s_13,True,,,,,1,angry,,3,sad2,,5,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,,,,
event_exnii2_07_s_14,40071,event_exnii2_07_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_07_s_14,True,,,,,1,angry,,3,sad2,,5,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,,,,
