id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
event_beautyfullshot2_04_s_1,40052,event_beautyfullshot2_04_s,Speech,rosanna_s,rosanna_s,Locale_MainScenario:event_beautyfullshot2_04_s_1,True,rosanna_s,9,void,viper_s,7,idle,UninhabitedIsland_d,97,97,1.0,bgm_story_profusion,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_2,40052,event_beautyfullshot2_04_s,Speech,rosanna_s,rosanna_s,Locale_MainScenario:event_beautyfullshot2_04_s_2,True,,9,void,,7,idle,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_3,40052,event_beautyfullshot2_04_s,Speech,viper_s,viper_s,Locale_MainScenario:event_beautyfullshot2_04_s_3,True,,9,void,,7,sad,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_4,40052,event_beautyfullshot2_04_s,Speech,rosanna_s,rosanna_s,Locale_MainScenario:event_beautyfullshot2_04_s_4,True,,9,void,,7,sad,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_5,40052,event_beautyfullshot2_04_s,Speech,viper_s,viper_s,Locale_MainScenario:event_beautyfullshot2_04_s_5,True,,9,void,,7,angry,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_6,40052,event_beautyfullshot2_04_s,Speech,rosanna_s,rosanna_s,Locale_MainScenario:event_beautyfullshot2_04_s_6,True,,9,void,,7,angry,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_7,40052,event_beautyfullshot2_04_s,Speech,viper_s,viper_s,Locale_MainScenario:event_beautyfullshot2_04_s_7,True,,9,void,,7,idle,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_8,40052,event_beautyfullshot2_04_s,Speech,viper_s,viper_s,Locale_MainScenario:event_beautyfullshot2_04_s_8,True,,9,void,,7,good,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_9,40052,event_beautyfullshot2_04_s,Speech,rosanna_s,rosanna_s,Locale_MainScenario:event_beautyfullshot2_04_s_9,True,,9,angry,,7,good,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_10,40052,event_beautyfullshot2_04_s,Monologue,rosanna_s,,Locale_MainScenario:event_beautyfullshot2_04_s_10,False,,9,angry,,7,good,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_11,40052,event_beautyfullshot2_04_s,Self,rosanna_s,,Locale_MainScenario:event_beautyfullshot2_04_s_11,False,,9,angry,,7,good,,97,97,1.0,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_04_s_12,40052,event_beautyfullshot2_04_s,Monologue,sakura_s,,Locale_MainScenario:event_beautyfullshot2_04_s_12,False,,9,angry,,7,good,,97,3,2.0,,sakura_s,3,idle,anis_s,1,idle,neon_s,13,no,rapi_s,15,idle,mary_s,17,idle,,
event_beautyfullshot2_04_s_13,40052,event_beautyfullshot2_04_s,Monologue,sakura_s,,Locale_MainScenario:event_beautyfullshot2_04_s_13,False,,9,angry,,7,good,,3,30,1.0,,,3,smile,,1,idle,,13,no,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_14,40052,event_beautyfullshot2_04_s,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot2_04_s_14,False,,9,angry,,7,good,,30,30,1.0,,,3,smile,,1,idle,,13,no,,15,idle,,17,idle,rosanna_s,viper_s
event_beautyfullshot2_04_s_15,40052,event_beautyfullshot2_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_beautyfullshot2_04_s_15,True,,,,,,,,XS_130,XS_130,1.0,,,3,smile,,1,idle,,13,no,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_16,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_16,True,,,,,,,,XS_10,XS_10,1.0,,,3,smile,,1,no,,13,no,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_17,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_17,True,,,,,,,,150,150,1.0,,,3,smile,,1,no,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_18,40052,event_beautyfullshot2_04_s,Self,rapi_s,,Locale_MainScenario:event_beautyfullshot2_04_s_18,False,,,,,,,,150,150,1.0,,,3,idle,,1,no,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_19,40052,event_beautyfullshot2_04_s,Self,rapi_s,,Locale_MainScenario:event_beautyfullshot2_04_s_19,False,,,,,,,,150,150,1.0,,,3,idle,,1,no,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_20,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_20,True,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_21,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_21,True,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_22,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_22,True,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_23,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_23,True,,,,,,,,XS_10,XS_10,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_24,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_24,True,,,,,,,,XS_10,XS_10,1.0,,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_25,40052,event_beautyfullshot2_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_beautyfullshot2_04_s_25,True,,,,,,,,XS_10,XS_130,1.0,,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_26,40052,event_beautyfullshot2_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_beautyfullshot2_04_s_26,True,,,,,,,,XS_130,XS_130,1.0,,,3,idle,,1,worry,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_27,40052,event_beautyfullshot2_04_s,Speech,mary_s,mary_s,Locale_MainScenario:event_beautyfullshot2_04_s_27,True,,,,,,,,170,170,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_28,40052,event_beautyfullshot2_04_s,Speech,mary_s,mary_s,Locale_MainScenario:event_beautyfullshot2_04_s_28,True,,,,,,,,170,170,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_29,40052,event_beautyfullshot2_04_s,Speech,mary_s,mary_s,Locale_MainScenario:event_beautyfullshot2_04_s_29,True,,,,,,,,170,170,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_30,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_30,True,,,,,,,,XS_10,XS_10,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_31,40052,event_beautyfullshot2_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_beautyfullshot2_04_s_31,True,,,,,,,,XS_10,XS_130,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_32,40052,event_beautyfullshot2_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_beautyfullshot2_04_s_32,True,,,,,,,,XS_130,XS_130,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_33,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_33,True,,,,,,,,XS_130,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_34,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_34,True,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_35,40052,event_beautyfullshot2_04_s,Self,rapi_s,,Locale_MainScenario:event_beautyfullshot2_04_s_35,False,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_36,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_36,True,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_37,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_37,True,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_38,40052,event_beautyfullshot2_04_s,Self,rapi_s,,Locale_MainScenario:event_beautyfullshot2_04_s_38,False,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_39,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_39,True,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_40,40052,event_beautyfullshot2_04_s,Self,rapi_s,,Locale_MainScenario:event_beautyfullshot2_04_s_40,False,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_41,40052,event_beautyfullshot2_04_s,Self,rapi_s,,Locale_MainScenario:event_beautyfullshot2_04_s_41,False,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_42,40052,event_beautyfullshot2_04_s,Speech,rapi_s,rapi_s,Locale_MainScenario:event_beautyfullshot2_04_s_42,True,,,,,,,,150,150,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_43,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_43,True,,,,,,,,XS_10,XS_10,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_44,40052,event_beautyfullshot2_04_s,Speech,neon_s,neon_s,Locale_MainScenario:event_beautyfullshot2_04_s_44,True,,,,,,,,XS_130,XS_130,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_45,40052,event_beautyfullshot2_04_s,Speech,mary_s,mary_s,Locale_MainScenario:event_beautyfullshot2_04_s_45,True,,,,,,,,170,170,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_46,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_46,True,,,,,,,,XS_10,XS_10,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_47,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_47,True,,,,,,,,XS_10,XS_10,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_48,40052,event_beautyfullshot2_04_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_04_s_48,True,,,,,,,,XS_10,31,1.0,,,3,smile,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_49,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_49,True,,,,,,,,31,31,1.0,,,3,smile,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_50,40052,event_beautyfullshot2_04_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_04_s_50,True,,,,,,,,31,31,1.0,,,3,smile,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_51,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_51,True,,,,,,,,31,31,1.0,,,3,smile,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_52,40052,event_beautyfullshot2_04_s,Speech,anis_s,anis_s,Locale_MainScenario:event_beautyfullshot2_04_s_52,True,,,,,,,,31,31,1.0,,,3,smile,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_53,40052,event_beautyfullshot2_04_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_04_s_53,True,,,,,,,,31,31,1.0,,,3,smile,,1,idle,,13,idle,,15,idle,,17,idle,,
event_beautyfullshot2_04_s_54,40052,event_beautyfullshot2_04_s,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_04_s_54,True,,,,,,,,31,31,1.0,,,3,smile,,1,idle,,13,idle,,15,idle,,17,idle,,
