id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
event_colorless_03_s_1,40054,event_colorless_03_s,Narration,Locale_SubScenario:event_colorless_03_s_1,False,SchoolCorridor,7,7,1.0,bgm_story_orangepop,,,,,,,,,,,
event_colorless_03_s_2,40054,event_colorless_03_s,Self,Locale_SubScenario:event_colorless_03_s_2,False,,7,7,1.0,,,,,,,,,,,,
event_colorless_03_s_3,40054,event_colorless_03_s,Self,Locale_SubScenario:event_colorless_03_s_3,False,,7,7,1.0,,,,,,,,,,,,
event_colorless_03_s_4,40054,event_colorless_03_s,Monologue,Locale_SubScenario:event_colorless_03_s_4,False,,7,1,1.0,,,,,,,,,,,,
event_colorless_03_s_5,40054,event_colorless_03_s,Self,Locale_SubScenario:event_colorless_03_s_5,False,,1,1,1.0,,,,,,,,,,,,
event_colorless_03_s_6,40054,event_colorless_03_s,Monologue,Locale_SubScenario:event_colorless_03_s_6,False,,1,10,1.0,,,,,,,,,,,,
event_colorless_03_s_7,40054,event_colorless_03_s,Self,Locale_SubScenario:event_colorless_03_s_7,False,,10,10,1.0,,,,,,,,,,,,
event_colorless_03_s_8,40054,event_colorless_03_s,Narration,Locale_SubScenario:event_colorless_03_s_8,False,Classroom,black,black,1.0,,zwei,13,idle,sfx_scn_slidingdoor,,,,,,,
event_colorless_03_s_9,40054,event_colorless_03_s,Speech,Locale_SubScenario:event_colorless_03_s_9,True,,13,13,1.0,,,13,idle,,zwei,zwei,,,,,
event_colorless_03_s_10,40054,event_colorless_03_s,Self,Locale_SubScenario:event_colorless_03_s_10,False,,13,13,1.0,,,13,idle,,zwei,,,,,,
event_colorless_03_s_11,40054,event_colorless_03_s,Speech,Locale_SubScenario:event_colorless_03_s_11,True,,13,13,1.0,,,13,surprise,,zwei,zwei,,,,,
event_colorless_03_s_12,40054,event_colorless_03_s,Self,Locale_SubScenario:event_colorless_03_s_12,False,,13,130,1.0,,,13,surprise,,zwei,,,,,,
event_colorless_03_s_13,40054,event_colorless_03_s,Self,Locale_SubScenario:event_colorless_03_s_13,False,,130,130,1.0,,,13,surprise,,zwei,,,,,,
event_colorless_03_s_14,40054,event_colorless_03_s,Speech,Locale_SubScenario:event_colorless_03_s_14,True,,130,130,1.0,,,13,idle,,zwei,zwei,,,,,
event_colorless_03_s_15,40054,event_colorless_03_s,Monologue,Locale_SubScenario:event_colorless_03_s_15,False,,130,130,1.0,,,13,idle,,zwei,,,,,,
