id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,speaker,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_newyearnewsword_06_e_1,40036,event_newyearnewsword_06_e,Narration,Locale_SubScenario:event_newyearnewsword_06_e_1,False,WasteLand_02_n,black,black,1.0,sfx_scn_swordsimpact,bgm_intotheswarm_b,,,,,,,hongryeon_o,1,angry,,janghwa,13,angry,
event_newyearnewsword_06_e_2,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_2,False,,15,12,1.0,,,Low_2,,,,,,,1,angry,,,13,angry,
event_newyearnewsword_06_e_3,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_3,False,,12,12,1.0,,,,,,,,,,1,angry,,,13,angry,
event_newyearnewsword_06_e_4,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_4,False,,12,12,1.0,,,,,,,,,,1,angry,,,13,angry,
event_newyearnewsword_06_e_5,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_5,False,,12,12,1.0,,,,,,,,,,1,angry,,,13,angry,
event_newyearnewsword_06_e_6,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_6,False,,black,black,1.0,,,,,,,,,,1,angry,,,13,angry,
event_newyearnewsword_06_e_7,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_7,False,,black,black,1.0,,,,,,,,,,1,angry,,,13,angry,
event_newyearnewsword_06_e_8,40036,event_newyearnewsword_06_e,Speech,Locale_SubScenario:event_newyearnewsword_06_e_8,True,,S_130,S_130,1.0,,,,janghwa,janghwa,,,,,1,angry,,,13,delight,
event_newyearnewsword_06_e_9,40036,event_newyearnewsword_06_e,Speech,Locale_SubScenario:event_newyearnewsword_06_e_9,True,,S_10,S_10,1.0,,,,hongryeon_o,hongryeon_o,,,,,1,angry,,,13,idle,
event_newyearnewsword_06_e_10,40036,event_newyearnewsword_06_e,Speech,Locale_SubScenario:event_newyearnewsword_06_e_10,True,,S_10,S_10,1.0,,,,hongryeon_o,hongryeon_o,,,,,1,angry,,,13,idle,
event_newyearnewsword_06_e_11,40036,event_newyearnewsword_06_e,Narration,Locale_SubScenario:event_newyearnewsword_06_e_11,False,,S_10,S_100,1.0,sfx_scn_swordswing,,,hongryeon_o,,,,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_12,40036,event_newyearnewsword_06_e,Narration,Locale_SubScenario:event_newyearnewsword_06_e_12,False,,black,black,1.0,sfx_scn_swordsimpact,,,hongryeon_o,,,,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_13,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_13,False,,S_100,12,1.0,,,Low_2,hongryeon_o,,,,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_14,40036,event_newyearnewsword_06_e,Speech,Locale_SubScenario:event_newyearnewsword_06_e_14,False,,12,12,1.0,,,,janghwa,janghwa,,,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_15,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_15,False,,12,12,1.0,,,,janghwa,,,,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_16,40036,event_newyearnewsword_06_e,Narration,Locale_SubScenario:event_newyearnewsword_06_e_16,False,,12,S_10,1.0,sfx_scn_swordswing,,,janghwa,,,,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_17,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_17,False,,S_10,S_10,1.0,,,,janghwa,,,,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_18,40036,event_newyearnewsword_06_e,Narration,Locale_SubScenario:event_newyearnewsword_06_e_18,False,,black,black,1.0,sfx_scn_feetstone,,,janghwa,,Grey,Vignetting,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_19,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_19,False,,S_10,S_10,1.0,,,,janghwa,,Grey,Vignetting,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_20,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_20,False,,S_10,S_10,1.0,,,,janghwa,,Grey,Vignetting,,,1,angry,,,13,surprise,
event_newyearnewsword_06_e_21,40036,event_newyearnewsword_06_e,Monologue,Locale_SubScenario:event_newyearnewsword_06_e_21,False,,S_10,S_10,1.0,,,,janghwa,,Grey,Vignetting,,,1,angry,,,13,surprise,
