id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,set_filter_01,jump_target,characters/2/hide_char_id
event_bluewaterisland2_04_s_1,40021,event_bluewaterisland2_04_s,Narration,Narration,Locale_SubScenario:event_bluewaterisland2_04_s_1,False,LogHouseOut_d,5,1,2.0,bgm_story_profusion,,,,,,,,,,,,,,,
event_bluewaterisland2_04_s_2,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_2,True,,1,1,1.0,,neon_s,neon_s,12,delight,yan_s,2,idle,,,,,,,,
event_bluewaterisland2_04_s_3,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_3,True,,1,1,1.0,,neon_s,,12,delight,,2,idle,,,,,,,,
event_bluewaterisland2_04_s_4,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_4,True,,1,1,1.0,,neon_s,,12,delight,,2,idle,,,,,,,,
event_bluewaterisland2_04_s_5,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_5,True,,1,1,1.0,,yan_s,,12,delight,,2,no,,,,,,,,
event_bluewaterisland2_04_s_6,40021,event_bluewaterisland2_04_s,Self,Self,Locale_SubScenario:event_bluewaterisland2_04_s_6,False,,1,1,1.0,,,,12,idle,,2,no,,,,,,,,
event_bluewaterisland2_04_s_7,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_7,True,,1,1,1.0,,yan_s,,12,idle,,2,shy,,,,,,,,
event_bluewaterisland2_04_s_8,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_8,True,,1,1,1.0,,yan_s,,12,idle,,2,shy,,,,,,,,
event_bluewaterisland2_04_s_9,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_9,True,,1,XS_120,0.6,,neon_s,,12,idle,,2,shy,,,,,,,,
event_bluewaterisland2_04_s_10,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_10,True,,XS_120,XS_120,1.0,,yan_s,,12,idle,,2,no,,,,,,,,
event_bluewaterisland2_04_s_11,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_11,True,,XS_120,XS_120,1.0,,neon_s,,12,shy,,2,no,,,,,,,,
event_bluewaterisland2_04_s_12,40021,event_bluewaterisland2_04_s,Self,Self,Locale_SubScenario:event_bluewaterisland2_04_s_12,False,,XS_120,XS_120,1.0,,,,12,shy,,2,no,,,,,,,,
event_bluewaterisland2_04_s_13,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_13,True,,XS_120,S_20,0.7,,yan_s,,12,idle,,2,surprise,,,,,,,,
event_bluewaterisland2_04_s_14,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_14,True,,S_20,S_20,1.0,,yan_s,,12,idle,,2,surprise,,,,,,,,
event_bluewaterisland2_04_s_15,40021,event_bluewaterisland2_04_s,Self,Self,Locale_SubScenario:event_bluewaterisland2_04_s_15,False,,S_20,S_20,1.0,,,,12,idle,,2,surprise,,,,,,,,
event_bluewaterisland2_04_s_16,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_16,True,,S_20,S_20,1.0,,yan_s,,12,idle,,2,sad,,,,,,,,
event_bluewaterisland2_04_s_17,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_17,True,,S_20,S_20,1.0,,yan_s,,12,idle,,2,sad,,,,,,,,
event_bluewaterisland2_04_s_18,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_18,True,,S_20,1,1.0,,neon_s,,12,worry,,2,sad,,,,,,,,
event_bluewaterisland2_04_s_19,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_19,True,,1,1,1.0,,yan_s,,12,worry,,2,etc,,,,,,,,
event_bluewaterisland2_04_s_20,40021,event_bluewaterisland2_04_s,Self,Self,Locale_SubScenario:event_bluewaterisland2_04_s_20,False,,1,1,1.0,,,,12,idle,,2,etc,,,,,,,,
event_bluewaterisland2_04_s_21,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_21,True,,1,1,1.0,,yan_s,,12,idle,,2,etc,,,,,,,,
event_bluewaterisland2_04_s_22,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_22,True,,1,1,1.0,,yan_s,,12,idle,,2,etc,,,,,,,,
event_bluewaterisland2_04_s_23,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_23,True,,1,1,1.0,,neon_s,,12,surprise,,2,etc,,,,,,,,
event_bluewaterisland2_04_s_24,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_24,True,,1,S_20,1.0,,yan_s,,12,surprise,,2,delight,,,,,,,,
event_bluewaterisland2_04_s_25,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_25,True,,S_20,S_20,1.0,,yan_s,,12,idle,,2,delight,,,,,,,,
event_bluewaterisland2_04_s_26,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_26,True,,S_20,S_20,1.0,,yan_s,,12,idle,,2,delight,,,,,,,,
event_bluewaterisland2_04_s_27,40021,event_bluewaterisland2_04_s,Speech,yan_s,Locale_SubScenario:event_bluewaterisland2_04_s_27,True,,S_20,S_20,1.0,,yan_s,,12,idle,,2,delight,,,,,,,,
event_bluewaterisland2_04_s_28,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_28,True,Beach_d,20,20,1.0,,neon_s,,12,idle,,2,delight,yan_s,frima_s,2,idle,black,,,
event_bluewaterisland2_04_s_29,40021,event_bluewaterisland2_04_s,Speech,frima_s,Locale_SubScenario:event_bluewaterisland2_04_s_29,False,,20,20,1.0,,frima_s,,12,idle,,,,,,2,idle,,,,
event_bluewaterisland2_04_s_30,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_30,True,,20,1,2.0,,neon_s,,12,idle,,,,,,2,idle,,,,
event_bluewaterisland2_04_s_31,40021,event_bluewaterisland2_04_s,Speech,frima_s,Locale_SubScenario:event_bluewaterisland2_04_s_31,True,,1,1,1.0,,frima_s,,12,idle,,,,,,2,angry,,,,
event_bluewaterisland2_04_s_32,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_32,True,,1,1,1.0,,neon_s,,12,idle,,,,,,2,angry,,,,
event_bluewaterisland2_04_s_33,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_33,True,,1,1,1.0,,neon_s,,12,idle,,,,,,2,angry,,,,
event_bluewaterisland2_04_s_34,40021,event_bluewaterisland2_04_s,Speech,frima_s,Locale_SubScenario:event_bluewaterisland2_04_s_34,False,,1,20,2.0,,frima_s,,12,idle,,,,,,2,no,,,,
event_bluewaterisland2_04_s_35,40021,event_bluewaterisland2_04_s,Speech,neon_s,Locale_SubScenario:event_bluewaterisland2_04_s_35,True,,20,20,1.0,,neon_s,,12,idle,,,,,,2,no,,Blur_Low,,
