id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,fade
event_ce004_3_04_s_1,40057,event_ce004_3_04_s,Narration,ein,Locale_SubScenario:event_ce004_3_04_s_1,False,ein,7,delight,zwei,5,idle,rei,3,idle,marciana,1,idle,ce004_01,13,idle,ce004_02,15,idle,ce004_03,17,idle,WasteLand_02,black,black,1.0,event_bgm_ce004_nouvellesortie,,,,,,,,,
event_ce004_3_04_s_2,40057,event_ce004_3_04_s,Speech,ein,Locale_SubScenario:event_ce004_3_04_s_2,True,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,70,70,1.0,,ein,,,,,,,,
event_ce004_3_04_s_3,40057,event_ce004_3_04_s,Speech,ein,Locale_SubScenario:event_ce004_3_04_s_3,True,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,70,70,1.0,,ein,,,,,,,,
event_ce004_3_04_s_4,40057,event_ce004_3_04_s,Speech,zwei,Locale_SubScenario:event_ce004_3_04_s_4,True,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,50,50,1.0,,zwei,,,,,,,,
event_ce004_3_04_s_5,40057,event_ce004_3_04_s,Speech,zwei,Locale_SubScenario:event_ce004_3_04_s_5,True,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,50,50,1.0,,zwei,,,,,,,,
event_ce004_3_04_s_6,40057,event_ce004_3_04_s,Speech,ce004_02,Locale_SubScenario:event_ce004_3_04_s_6,False,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,150,150,1.0,,ce004_02,,,,,,,,
event_ce004_3_04_s_7,40057,event_ce004_3_04_s,Speech,ce004_03,Locale_SubScenario:event_ce004_3_04_s_7,True,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,170,170,1.0,,ce004_03,,,,,,,,
event_ce004_3_04_s_8,40057,event_ce004_3_04_s,Speech,ce004_03,Locale_SubScenario:event_ce004_3_04_s_8,True,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,170,170,1.0,,ce004_03,,,,,,,,
event_ce004_3_04_s_9,40057,event_ce004_3_04_s,Speech,ce004_01,Locale_SubScenario:event_ce004_3_04_s_9,True,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,ce004_01,,,,,,,,
event_ce004_3_04_s_10,40057,event_ce004_3_04_s,Speech,ce004_01,Locale_SubScenario:event_ce004_3_04_s_10,True,,7,delight,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,ce004_01,,,,,,,,
event_ce004_3_04_s_11,40057,event_ce004_3_04_s,Speech,rei,Locale_SubScenario:event_ce004_3_04_s_11,True,,7,delight,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,,XS_30,XS_30,1.0,,rei,,,,,,,,
event_ce004_3_04_s_12,40057,event_ce004_3_04_s,Speech,rei,Locale_SubScenario:event_ce004_3_04_s_12,True,,7,delight,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,,XS_30,XS_30,1.0,,rei,,,,,,,,
event_ce004_3_04_s_13,40057,event_ce004_3_04_s,Self,rei,Locale_SubScenario:event_ce004_3_04_s_13,False,,7,delight,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,,XS_30,XS_30,1.0,,,,,,,,,,
event_ce004_3_04_s_14,40057,event_ce004_3_04_s,Monologue,rei,Locale_SubScenario:event_ce004_3_04_s_14,False,,7,delight,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,GiantParticleCannon,GiantParticleCannon,GiantParticleCannon,1.0,,,ein,zwei,rei,marciana,ce004_01,ce004_02,ce004_03,black
event_ce004_3_04_s_15,40057,event_ce004_3_04_s,Monologue,rei,Locale_SubScenario:event_ce004_3_04_s_15,False,,,,,,,,,,,,,,,,,,,,,,,GiantParticleCannon,GiantParticleCannon,1.0,,,,,,,,,,
event_ce004_3_04_s_16,40057,event_ce004_3_04_s,Monologue,rei,Locale_SubScenario:event_ce004_3_04_s_16,False,,,,,,,,,,,,,,,,,,,,,,,GiantParticleCannon,GiantParticleCannon,1.0,,,,,,,,,,
event_ce004_3_04_s_17,40057,event_ce004_3_04_s,Monologue,rei,Locale_SubScenario:event_ce004_3_04_s_17,False,,,,,,,,,,,,,,,,,,,,,,,GiantParticleCannon,GiantParticleCannon,1.0,,,,,,,,,,
event_ce004_3_04_s_18,40057,event_ce004_3_04_s,Monologue,zwei,Locale_SubScenario:event_ce004_3_04_s_18,False,ein,7,idle,zwei,5,idle,rei,3,idle,marciana,1,idle,ce004_01,13,idle,ce004_02,15,idle,ce004_03,17,idle,WasteLand_02,black,black,1.0,,,,,,,,,,
event_ce004_3_04_s_19,40057,event_ce004_3_04_s,Speech,zwei,Locale_SubScenario:event_ce004_3_04_s_19,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,50,50,1.0,,zwei,,,,,,,,
event_ce004_3_04_s_20,40057,event_ce004_3_04_s,Speech,zwei,Locale_SubScenario:event_ce004_3_04_s_20,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,50,50,1.0,,zwei,,,,,,,,
event_ce004_3_04_s_21,40057,event_ce004_3_04_s,Speech,marciana,Locale_SubScenario:event_ce004_3_04_s_21,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,marciana,,,,,,,,
event_ce004_3_04_s_22,40057,event_ce004_3_04_s,Speech,marciana,Locale_SubScenario:event_ce004_3_04_s_22,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,marciana,,,,,,,,
event_ce004_3_04_s_23,40057,event_ce004_3_04_s,Speech,marciana,Locale_SubScenario:event_ce004_3_04_s_23,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,marciana,,,,,,,,
event_ce004_3_04_s_24,40057,event_ce004_3_04_s,Self,marciana,Locale_SubScenario:event_ce004_3_04_s_24,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,,,
event_ce004_3_04_s_25,40057,event_ce004_3_04_s,Speech,marciana,Locale_SubScenario:event_ce004_3_04_s_25,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,marciana,,,,,,,,
event_ce004_3_04_s_26,40057,event_ce004_3_04_s,Speech,marciana,Locale_SubScenario:event_ce004_3_04_s_26,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,marciana,,,,,,,,
event_ce004_3_04_s_27,40057,event_ce004_3_04_s,Self,marciana,Locale_SubScenario:event_ce004_3_04_s_27,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,,,
event_ce004_3_04_s_28,40057,event_ce004_3_04_s,Speech,ein,Locale_SubScenario:event_ce004_3_04_s_28,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,70,70,1.0,,ein,,,,,,,,
event_ce004_3_04_s_29,40057,event_ce004_3_04_s,Speech,marciana,Locale_SubScenario:event_ce004_3_04_s_29,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,marciana,,,,,,,,
event_ce004_3_04_s_30,40057,event_ce004_3_04_s,Speech,centi,Locale_SubScenario:event_ce004_3_04_s_30,True,,7,idle,,5,idle,,3,idle,,1,idle,liter,13,idle,centi,15,idle,,17,idle,,black,black,1.0,,unknown,,,,marciana,ce004_01,ce004_02,ce004_03,
event_ce004_3_04_s_31,40057,event_ce004_3_04_s,Monologue,centi,Locale_SubScenario:event_ce004_3_04_s_31,False,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,,,,14,14,1.0,,,,,,,,,,
event_ce004_3_04_s_32,40057,event_ce004_3_04_s,Monologue,centi,Locale_SubScenario:event_ce004_3_04_s_32,False,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,,,,14,14,1.0,,,,,,,,,,
event_ce004_3_04_s_33,40057,event_ce004_3_04_s,Self,centi,Locale_SubScenario:event_ce004_3_04_s_33,False,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,,,,14,14,1.0,,,,,,,,,,
event_ce004_3_04_s_34,40057,event_ce004_3_04_s,Speech,liter,Locale_SubScenario:event_ce004_3_04_s_34,True,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,,,,14,14,1.0,,liter,,,,,,,,
event_ce004_3_04_s_35,40057,event_ce004_3_04_s,Speech,centi,Locale_SubScenario:event_ce004_3_04_s_35,True,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,,,,14,14,1.0,,centi,,,,,,,,
event_ce004_3_04_s_36,40057,event_ce004_3_04_s,Self,centi,Locale_SubScenario:event_ce004_3_04_s_36,False,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,,,,14,14,1.0,,,,,,,,,,
event_ce004_3_04_s_37,40057,event_ce004_3_04_s,Self,centi,Locale_SubScenario:event_ce004_3_04_s_37,False,,7,idle,,5,idle,,3,idle,,,,,13,idle,,15,idle,,,,,14,14,1.0,,,,,,,,,,
