id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,jump_target
event_miraclesnow1_04_s_1,40003,event_miraclesnow1_04_s,Speech,unknown,unknown,Locale_SubScenario:event_miraclesnow1_04_s_1,True,Winter_AmusementPark,black,black,1.0,none,,,,,,,,,,,,,,,
event_miraclesnow1_04_s_2,40003,event_miraclesnow1_04_s,Speech,unknown,unknown,Locale_SubScenario:event_miraclesnow1_04_s_2,True,,black,black,1.0,,,,,,,,,,,,,,,,
event_miraclesnow1_04_s_3,40003,event_miraclesnow1_04_s,Speech,unknown,unknown,Locale_SubScenario:event_miraclesnow1_04_s_3,True,,black,black,1.0,,,,,,,,,,,,,,,,
event_miraclesnow1_04_s_4,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_4,True,,31,31,1.0,event_bgm_2022winter_complete,rupee_w,1,idle_02,anne,3,delight,,,,,,,,,
event_miraclesnow1_04_s_5,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_5,True,,31,31,1.0,,,1,idle_02,,3,delight,,,,,,,,,
event_miraclesnow1_04_s_6,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_6,True,,31,XS_30,1.0,,,1,idle_02,,3,delight,,,,,,,,,
event_miraclesnow1_04_s_7,40003,event_miraclesnow1_04_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_04_s_7,True,,XS_30,XS_30,1.0,,,1,idle_02,,3,think,,,,,,,,,
event_miraclesnow1_04_s_8,40003,event_miraclesnow1_04_s,Self,,,Locale_SubScenario:event_miraclesnow1_04_s_8,False,,XS_30,XS_30,1.0,,,1,idle_02,,3,think,,,,,,,,,
event_miraclesnow1_04_s_9,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_9,True,,XS_30,L_10,1.0,,,1,idle_02,,3,think,,,,,,,,,
event_miraclesnow1_04_s_10,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_10,True,,L_10,1,1.0,,,1,idle_02,,3,think,,,,,,,,,
event_miraclesnow1_04_s_11,40003,event_miraclesnow1_04_s,Speech,poli,poli,Locale_SubScenario:event_miraclesnow1_04_s_11,True,,1,1315,1.0,none,,1,idle_02,,3,think,poli,13,idle,miranda,15,idle,,,
event_miraclesnow1_04_s_12,40003,event_miraclesnow1_04_s,Speech,miranda,miranda,Locale_SubScenario:event_miraclesnow1_04_s_12,True,,1315,1315,1.0,,,1,idle_02,,3,think,,13,idle,,15,idle,,,
event_miraclesnow1_04_s_13,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_13,True,,1315,113,1.0,,,1,surprise,,3,idle,,13,idle,,15,idle,,,
event_miraclesnow1_04_s_14,40003,event_miraclesnow1_04_s,Speech,poli,poli,Locale_SubScenario:event_miraclesnow1_04_s_14,True,,113,113,1.0,bgm_enemyclose,,1,surprise,,3,idle,,13,angry,,15,idle,,,
event_miraclesnow1_04_s_15,40003,event_miraclesnow1_04_s,Speech,poli,poli,Locale_SubScenario:event_miraclesnow1_04_s_15,True,,113,113,1.0,,,1,surprise,,3,idle,,13,angry,,15,idle,,,
event_miraclesnow1_04_s_16,40003,event_miraclesnow1_04_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_04_s_16,True,,113,113,1.0,,,1,sad,,3,idle,,13,angry,,15,idle,,,
event_miraclesnow1_04_s_17,40003,event_miraclesnow1_04_s,Speech,poli,poli,Locale_SubScenario:event_miraclesnow1_04_s_17,True,,113,113,1.0,,,1,sad,,3,idle,,13,idle,,15,idle,,,
event_miraclesnow1_04_s_18,40003,event_miraclesnow1_04_s,Speech,miranda,miranda,Locale_SubScenario:event_miraclesnow1_04_s_18,True,,113,15,1.0,,,1,sad,,3,idle,,13,idle,,15,idle,,,
event_miraclesnow1_04_s_19,40003,event_miraclesnow1_04_s,Speech,miranda,miranda,Locale_SubScenario:event_miraclesnow1_04_s_19,True,,15,S_150,0.5,,,1,surprise,,3,idle,,13,idle,,15,idle,,,
