id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound,characters/1/hide_char_id
d_ex_seayouagain_01_1,80600,d_ex_seayouagain_01,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_01_1,False,frima_s,1,think,LogHouseOut_d,1,1,1.0,none,,,,,,,,,
d_ex_seayouagain_01_2,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_2,False,,1,think,,1,1,1.0,,,,,,,,,,
d_ex_seayouagain_01_3,80600,d_ex_seayouagain_01,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_01_3,True,,1,idle,,1,1,1.0,bgm_story_herecomestrouble,frima_s,,,,,,,,
d_ex_seayouagain_01_4,80600,d_ex_seayouagain_01,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_01_4,True,,1,idle,,1,1,1.0,,frima_s,,,,,,,,
d_ex_seayouagain_01_5,80600,d_ex_seayouagain_01,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_01_5,False,,1,idle,,1,10,1.0,,,,,,,,,,
d_ex_seayouagain_01_6,80600,d_ex_seayouagain_01,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_01_6,False,,1,idle,,10,10,1.0,,,,,,,,,,
d_ex_seayouagain_01_7,80600,d_ex_seayouagain_01,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_01_7,True,,1,idle,,10,10,1.0,,frima_s,,,,,,,,
d_ex_seayouagain_01_8,80600,d_ex_seayouagain_01,Self,Self,Locale_SuddenStory:d_ex_seayouagain_01_8,False,,1,idle,,10,10,1.0,,,,,,,,,,
d_ex_seayouagain_01_9,80600,d_ex_seayouagain_01,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_01_9,False,,1,idle,,10,10,1.0,,,frima_s,,,,,,,
d_ex_seayouagain_01_10,80600,d_ex_seayouagain_01,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_01_10,False,,,,Beach_d,1,1,1.0,,,,black,,,,,,
