id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_oldtales1_04_e_1,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_1,True,Laboratory,black,black,1.0,bgm_story_empathize,,,abe,3,think,,redshoes,5,od;e,hansel,1,surprise,,gretel,13,surprise,,littlemermaid,15,surprise,
event_oldtales1_04_e_2,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_2,True,,black,black,1.0,,,,,3,think,,,5,od;e,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_3,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_3,True,,black,black,1.0,,,,,3,think,,,5,od;e,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_4,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_4,True,,black,black,1.0,,,,,3,think,,,5,od;e,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_5,40061,event_oldtales1_04_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_04_e_5,True,,5,50,0.5,,Low_2,,,3,think,,,5,surprise,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_6,40061,event_oldtales1_04_e,Speech,hansel,hansel,Locale_MainScenario:event_oldtales1_04_e_6,True,,12,12,1.0,,Low_2,,,3,think,,,5,surprise,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_7,40061,event_oldtales1_04_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_oldtales1_04_e_7,False,,15,L_150,0.5,,Low_2,,,3,think,,,5,surprise,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_8,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_8,True,,30,30,1.0,,,,,3,think,,,5,surprise,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_9,40061,event_oldtales1_04_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_04_e_9,True,,30,4,1.0,,,,,3,think,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_10,40061,event_oldtales1_04_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_04_e_10,True,,4,4,1.0,,,,,3,think,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_11,40061,event_oldtales1_04_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_04_e_11,False,,4,4,1.0,,,,,3,think,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_12,40061,event_oldtales1_04_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_04_e_12,True,,4,4,1.0,,,,,3,think,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_13,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_13,True,,4,4,1.0,,,,,3,idle,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_14,40061,event_oldtales1_04_e,Speech,hansel,hansel,Locale_MainScenario:event_oldtales1_04_e_14,True,,12,12,1.0,,,,,3,idle,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_15,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_15,True,,12,3,1.0,,,,,3,idle,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_16,40061,event_oldtales1_04_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_04_e_16,True,,3,4,1.0,,,,,3,idle,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_17,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_17,True,,4,4,1.0,,,,,3,idle,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_18,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_18,True,,4,4,1.0,,,,,3,idle,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_19,40061,event_oldtales1_04_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_04_e_19,True,,4,4,1.0,,,,,3,idle,,,5,worry,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_20,40061,event_oldtales1_04_e,Narration,,,Locale_MainScenario:event_oldtales1_04_e_20,False,,black,black,1.0,,,,,3,idle,,,5,surprise,,1,surprise,,,13,surprise,,,15,surprise,
event_oldtales1_04_e_21,40061,event_oldtales1_04_e,Speech,hansel,hansel,Locale_MainScenario:event_oldtales1_04_e_21,True,,2,2,1.0,,,,,3,idle,,,5,worry,,1,void,,,13,worry,,,15,surprise,
event_oldtales1_04_e_22,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_22,True,,2,2,1.0,,,,,3,idle,,,5,worry,,1,void,,,13,worry,,,15,surprise,
event_oldtales1_04_e_23,40061,event_oldtales1_04_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_04_e_23,True,,2,2,1.0,,,,,3,idle,,,5,worry,,1,void,,,13,worry,,,15,surprise,
event_oldtales1_04_e_24,40061,event_oldtales1_04_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_oldtales1_04_e_24,False,,15,L_150,1.0,,,,,3,idle,,,5,worry,,1,void,,,13,worry,,,15,think,
