id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_contents_bbqmaster_05_1,80603,d_contents_bbqmaster_05,Speech,frima_s,frima_s,Locale_SubScenario:d_contents_bbqmaster_05_1,True,LogHouseOut_n,4,4,1.0,bgm_story_summermood,,anis_s,1,idle,neon_s,13,surprise,frima_s,5,idle,yan_s,3,idle
d_contents_bbqmaster_05_2,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_2,True,,4,4,1.0,,,,1,idle,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_3,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_3,True,,4,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_4,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_4,True,,2,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_5,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_5,True,,2,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_6,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_6,True,,2,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_7,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_7,True,,2,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_8,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_8,True,,2,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_9,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_9,True,,2,2,1.0,,,,1,idle,,13,surprise,,5,sleep_01,,3,idle
d_contents_bbqmaster_05_10,80603,d_contents_bbqmaster_05,Speech,frima_s,frima_s,Locale_SubScenario:d_contents_bbqmaster_05_10,True,,2,5,1.0,,,,1,idle,,13,surprise,,5,sleep_01,,3,idle
d_contents_bbqmaster_05_11,80603,d_contents_bbqmaster_05,Speech,frima_s,frima_s,Locale_SubScenario:d_contents_bbqmaster_05_11,True,,5,50,1.0,,,,1,idle,,13,surprise,,5,sleep_01,,3,idle
d_contents_bbqmaster_05_12,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_12,True,,XS_10,XS_10,1.0,,,,1,angry,,13,surprise,,5,sleep_01,,3,idle
d_contents_bbqmaster_05_13,80603,d_contents_bbqmaster_05,Speech,frima_s,frima_s,Locale_SubScenario:d_contents_bbqmaster_05_13,True,,50,50,1.0,,,,1,angry,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_14,80603,d_contents_bbqmaster_05,Speech,frima_s,frima_s,Locale_SubScenario:d_contents_bbqmaster_05_14,True,,50,50,1.0,,,,1,angry,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_15,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_15,True,,XS_10,1,1.0,,,,1,void,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_16,80603,d_contents_bbqmaster_05,Narration,,,Locale_SubScenario:d_contents_bbqmaster_05_16,False,,black,black,1.0,,,,1,void,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_17,80603,d_contents_bbqmaster_05,Speech,frima_s,frima_s,Locale_SubScenario:d_contents_bbqmaster_05_17,True,,4,4,1.0,,,,1,void,,13,surprise,,5,idle,,3,idle
d_contents_bbqmaster_05_18,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_18,True,,4,4,1.0,,,,1,void,,13,surprise,,5,idle,,3,shy
d_contents_bbqmaster_05_19,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_19,True,,4,4,1.0,,,,1,void,,13,surprise,,5,idle,,3,shy
d_contents_bbqmaster_05_20,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_20,True,,4,S_30,1.0,,,,1,void,,13,surprise,,5,idle,,3,etc
d_contents_bbqmaster_05_21,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_21,True,,S_30,S_30,1.0,,,,1,void,,13,surprise,,5,idle,,3,etc
d_contents_bbqmaster_05_22,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_22,True,,S_30,XS_10,1.0,,,,1,worry,,13,surprise,,5,idle,,3,etc
d_contents_bbqmaster_05_23,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_23,True,,XS_10,XS_10,1.0,,,,1,worry,,13,surprise,,5,idle,,3,etc
d_contents_bbqmaster_05_24,80603,d_contents_bbqmaster_05,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_05_24,True,,XS_10,XS_10,1.0,,,,1,idle,,13,surprise,,5,idle,,3,etc
d_contents_bbqmaster_05_25,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_25,True,,XS_10,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,etc
d_contents_bbqmaster_05_26,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_26,True,,2,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_27,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_27,True,,2,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_28,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_28,True,,2,2,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_29,80603,d_contents_bbqmaster_05,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_bbqmaster_05_29,True,,XS_130,XS_130,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_30,80603,d_contents_bbqmaster_05,Speech,yan_s,yan_s,Locale_SubScenario:d_contents_bbqmaster_05_30,True,,S_30,S_30,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
d_contents_bbqmaster_05_31,80603,d_contents_bbqmaster_05,Monologue,,,Locale_SubScenario:d_contents_bbqmaster_05_31,False,,black,black,1.0,,,,1,idle,,13,surprise,,5,idle,,3,delight
