id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_camera_shake,play_sound
event_doutsiders_02_s_1,40006,event_doutsiders_02_s,Narration,Narration,Locale_SubScenario:event_doutsiders_02_s_1,False,OuterRim,5,1,2.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,,
event_doutsiders_02_s_2,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_2,True,,1,1,1.0,,viper,viper,2,delight,jackal,12,idle,,,,,,,,,
event_doutsiders_02_s_3,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_3,True,,1,1,1.0,,viper,,2,delight,,12,idle,,,,,,,,,
event_doutsiders_02_s_4,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_4,True,,1,1,1.0,,viper,,2,delight,,12,idle,,,,,,,,,
event_doutsiders_02_s_5,40006,event_doutsiders_02_s,Choice,,Locale_SubScenario:event_doutsiders_02_s_5,False,,1,1,1.0,,viper,,2,delight,,12,idle,event_doutsiders_02_s_7,,,,,,,,
event_doutsiders_02_s_6,40006,event_doutsiders_02_s,Choice,,Locale_SubScenario:event_doutsiders_02_s_6,False,,1,1,1.0,,viper,,2,delight,,12,idle,event_doutsiders_02_s_7,,,,,,,,
event_doutsiders_02_s_7,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_7,True,,1,20,2.0,,viper,,2,idle,,12,idle,,,,,,,,,
event_doutsiders_02_s_8,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_8,True,,20,20,1.0,,viper,,2,idle,,12,idle,,,,,,,,,
event_doutsiders_02_s_9,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_9,True,,20,20,1.0,,viper,,2,shy,,12,idle,,,,,,,,,
event_doutsiders_02_s_10,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_10,True,,20,20,1.0,,viper,,2,shy,,12,idle,,,,,,,,,
event_doutsiders_02_s_11,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_11,True,,20,20,1.0,,viper,,2,shy,,12,idle,,,,,,,,,
event_doutsiders_02_s_12,40006,event_doutsiders_02_s,Speech,jackal,Locale_SubScenario:event_doutsiders_02_s_12,True,,20,S_120,0.3,,jackal,,2,shy,,12,no,,,,,,,,,
event_doutsiders_02_s_13,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_13,True,,S_120,20,2.0,,viper,,2,idle,,12,no,,,,,,,,,
event_doutsiders_02_s_14,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_14,True,,20,20,1.0,,viper,,2,good,,12,no,,,,,,,,,
event_doutsiders_02_s_15,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_15,True,,20,20,1.0,,viper,,2,good,,12,no,,,,,,,,,
event_doutsiders_02_s_16,40006,event_doutsiders_02_s,Self,Self,Locale_SubScenario:event_doutsiders_02_s_16,False,,20,20,1.0,,viper,,2,good,,12,idle,,,,,,,,,
event_doutsiders_02_s_17,40006,event_doutsiders_02_s,Speech,viper,Locale_SubScenario:event_doutsiders_02_s_17,True,,20,20,1.0,,viper,,2,delight,,12,idle,,,,,,,,,
event_doutsiders_02_s_18,40006,event_doutsiders_02_s,Speech,fatman,Locale_SubScenario:event_doutsiders_02_s_18,True,,20,5,0.3,,fatman,,2,delight,,12,idle,,fatman,5,idle,joseph,7,surprise,Low_2,
event_doutsiders_02_s_19,40006,event_doutsiders_02_s,Narration,Narration,Locale_SubScenario:event_doutsiders_02_s_19,False,,black,black,1.0,,fatman,,2,idle,,12,idle,,,5,idle,,7,surprise,,sfx_scn_glassbreak
event_doutsiders_02_s_20,40006,event_doutsiders_02_s,Speech,fatman,Locale_SubScenario:event_doutsiders_02_s_20,True,,5,50,0.5,,fatman,,2,idle,,12,idle,,,5,idle,,7,surprise,Low_2,
event_doutsiders_02_s_21,40006,event_doutsiders_02_s,Speech,fatman,Locale_SubScenario:event_doutsiders_02_s_21,True,,50,500,0.3,,fatman,,2,idle,,12,idle,,,5,idle,,7,surprise,,
event_doutsiders_02_s_22,40006,event_doutsiders_02_s,Speech,youngman,Locale_SubScenario:event_doutsiders_02_s_22,True,,500,70,2.0,,joseph,,2,idle,,12,idle,,,5,idle,,7,surprise,,
event_doutsiders_02_s_23,40006,event_doutsiders_02_s,Self,Self,Locale_SubScenario:event_doutsiders_02_s_23,False,,1,1,1.0,,joseph,,2,idle,,12,idle,,,5,idle,,7,surprise,,
event_doutsiders_02_s_24,40006,event_doutsiders_02_s,Speech,jackal,Locale_SubScenario:event_doutsiders_02_s_24,True,,1,1,1.0,,jackal,,2,idle,,12,shy_02,,,5,idle,,7,surprise,,
