id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_ce02_3_06_s_1,40027,event_ce02_3_06_s,Monologue,Locale_SubScenario:event_ce02_3_06_s_1,False,EventScene_ce_02_01,black,black,1.0,event_bgm_ce002_story_3,,,,,,,,,,
event_ce02_3_06_s_2,40027,event_ce02_3_06_s,Monologue,Locale_SubScenario:event_ce02_3_06_s_2,False,,black,black,1.0,,,,,,,,,,,
event_ce02_3_06_s_3,40027,event_ce02_3_06_s,Narration,Locale_SubScenario:event_ce02_3_06_s_3,False,,ce_02_gatekepper_01,ce_02_gatekepper_01,1.0,,sfx_scn_fragment,Low_2,,,,,,,,
event_ce02_3_06_s_4,40027,event_ce02_3_06_s,Monologue,Locale_SubScenario:event_ce02_3_06_s_4,False,,ce_02_gatekepper_01,ce_02_gatekepper_01,1.0,,,,,,,,,,,
event_ce02_3_06_s_5,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_5,True,,ce_02_gatekepper_01,ce_02_gatekepper_02,1.0,,,,p12,p12,,,,,,
event_ce02_3_06_s_6,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_6,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,p12,p12,,,,,,
event_ce02_3_06_s_7,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_7,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,ce_02_02,ce_02_02,,,,,,
event_ce02_3_06_s_8,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_8,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,p12,p12,,,,,,
event_ce02_3_06_s_9,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_9,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,p12,p12,,,,,,
event_ce02_3_06_s_10,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_10,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,p12,p12,,,,,,
event_ce02_3_06_s_11,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_11,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,p12,p12,,,,,,
event_ce02_3_06_s_12,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_12,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,ce_02_02,ce_02_02,,,,,,
event_ce02_3_06_s_13,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_13,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,p12,p12,,,,,,
event_ce02_3_06_s_14,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_14,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,p12,p12,,,,,,
event_ce02_3_06_s_15,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_15,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,ce_02_02,ce_02_02,,,,,,
event_ce02_3_06_s_16,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_16,True,,ce_02_gatekepper_02,ce_02_gatekepper_02,1.0,,,,p12,p12,,,,,,
event_ce02_3_06_s_17,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_17,True,Factory,black,black,1.0,,,,ce_02_02,ce_02_02,p12,13,idle,ce_02_02,1,idle
event_ce02_3_06_s_18,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_18,True,,13,130,0.6,,,,p12,p12,,13,idle,,1,idle
event_ce02_3_06_s_19,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_19,True,,10,10,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,idle
event_ce02_3_06_s_20,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_20,True,,10,10,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,idle
event_ce02_3_06_s_21,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_21,True,,10,12,1.0,,,,p12,p12,,13,idle,,1,idle
event_ce02_3_06_s_22,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_22,True,,12,12,1.0,,,,p12,p12,,13,idle,,1,idle
event_ce02_3_06_s_23,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_23,True,,12,12,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,think
event_ce02_3_06_s_24,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_24,True,,12,12,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,think
event_ce02_3_06_s_25,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_25,True,,12,12,1.0,,,,p12,p12,,13,idle,,1,think
event_ce02_3_06_s_26,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_26,True,,12,12,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,idle
event_ce02_3_06_s_27,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_27,True,,12,12,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,idle
event_ce02_3_06_s_28,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_28,True,,12,130,0.6,,,,p12,p12,,13,idle,,1,idle
event_ce02_3_06_s_29,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_29,True,,10,10,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,idle
event_ce02_3_06_s_30,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_30,True,,10,10,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,idle
event_ce02_3_06_s_31,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_31,True,,130,130,1.0,none,,,p12,p12,,13,idle,,1,idle
event_ce02_3_06_s_32,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_32,True,,130,13,1.0,event_bgm_ce002_story_1,,,p12,p12,,13,idle,,1,idle
event_ce02_3_06_s_33,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_33,True,,13,13,1.0,,,,p12,p12,,13,idle,,1,idle
event_ce02_3_06_s_34,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_34,True,,13,12,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,think
event_ce02_3_06_s_35,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_35,True,,12,12,1.0,,,,p12,p12,,13,idle,,1,think
event_ce02_3_06_s_36,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_36,True,,12,12,1.0,,,,p12,p12,,13,idle,,1,think
event_ce02_3_06_s_37,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_37,True,,12,12,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,idle
event_ce02_3_06_s_38,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_38,True,,12,130,0.6,,,,p12,p12,,13,idle,,1,idle
event_ce02_3_06_s_39,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_39,True,,130,130,1.0,,,,p12,p12,,13,idle,,1,idle
event_ce02_3_06_s_40,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_40,True,,10,10,1.0,,,,ce_02_02,ce_02_02,,13,idle,,1,angry
event_ce02_3_06_s_41,40027,event_ce02_3_06_s,Speech,Locale_SubScenario:event_ce02_3_06_s_41,True,,130,130,1.0,,,,p12,p12,,13,idle,,1,angry
