id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,play_sound
event_firstaffection_3_1,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_1,True,marian_p,9,idle,anis,3,angry,neon,1,idle,rapi,13,idle,NikkeRoom,9,3,2.0,bgm_story_herecomestrouble,,,,,,
event_firstaffection_3_2,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_2,True,,9,idle,,3,angry,,1,idle,,13,idle,,3,3,1.0,,,,,,,
event_firstaffection_3_3,130002,event_firstaffection_03,Speech,neon,neon,Locale_SubScenario:event_firstaffection_3_3,True,,9,idle,,3,angry,,1,no,,13,idle,,3,113,1.0,,,,,,,
event_firstaffection_3_4,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_4,True,,9,idle,,3,angry,,1,no,,13,think,,113,113,1.0,,,,,,,
event_firstaffection_3_5,130002,event_firstaffection_03,Speech,neon,neon,Locale_SubScenario:event_firstaffection_3_5,True,,9,idle,,3,angry,,1,no,,13,think,,113,113,1.0,,,,,,,
event_firstaffection_3_6,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_6,False,,9,idle,,3,angry,,1,no,,13,think,,113,113,1.0,,,,,,,
event_firstaffection_3_7,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_7,True,,9,delight,,3,angry,,1,idle,,13,idle,,113,9,1.0,,,,,,,
event_firstaffection_3_8,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_8,True,,9,delight,,3,angry,,1,idle,,13,idle,,9,90,1.0,,,,,,,
event_firstaffection_3_9,130002,event_firstaffection_03,Speech,neon,neon,Locale_SubScenario:event_firstaffection_3_9,True,,9,delight,,3,angry,,1,idle,,13,idle,,90,90,1.0,,,,,,,
event_firstaffection_3_10,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_10,True,,9,delight,,3,angry,,1,idle,,13,idle,,90,900,1.0,,,,,,,
event_firstaffection_3_11,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_11,True,,9,delight,,3,angry,,1,idle,,13,idle,,900,900,1.0,,,,,,,
event_firstaffection_3_12,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_12,True,,9,delight,,3,angry,,1,idle,,13,angry,,113,113,1.0,,,,,,,
event_firstaffection_3_13,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_13,True,,9,delight,,3,angry,,1,idle,,13,angry,,113,113,1.0,,,,,,,
event_firstaffection_3_14,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_14,True,,9,delight,,3,angry,,1,idle,,13,angry,,113,113,1.0,,,,,,,
event_firstaffection_3_15,130002,event_firstaffection_03,Speech,neon,neon,Locale_SubScenario:event_firstaffection_3_15,True,,9,delight,,3,angry,,1,no,,13,angry,,113,113,1.0,,,,,,,
event_firstaffection_3_16,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_16,True,,9,delight,,3,angry,,1,no,,13,think,,113,113,1.0,,,,,,,
event_firstaffection_3_17,130002,event_firstaffection_03,Speech,neon,neon,Locale_SubScenario:event_firstaffection_3_17,True,,9,delight,,3,angry,,1,no,,13,think,,113,113,1.0,,,,,,,
event_firstaffection_3_18,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_18,True,,9,delight,,3,angry,,1,no,,13,angry,,113,31,1.0,,,,,,,
event_firstaffection_3_19,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_19,True,,9,delight,,3,angry,,1,no,,13,angry,,31,113,1.0,,,,,,,
event_firstaffection_3_20,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_20,True,,9,delight,,3,angry,,1,no,,13,angry,ShowerRoom,9,1,3.0,bgm_story_whosdumber,marian_p,anis,neon,rapi,black,
event_firstaffection_3_21,130002,event_firstaffection_03,Speech,neon,neon,Locale_SubScenario:event_firstaffection_3_21,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_22,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_22,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_23,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_23,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_24,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_24,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_25,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_25,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_26,130002,event_firstaffection_03,Self,Self,Self,Locale_SubScenario:event_firstaffection_3_26,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_27,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_27,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_28,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_28,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_29,130002,event_firstaffection_03,Self,Self,Self,Locale_SubScenario:event_firstaffection_3_29,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_30,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_30,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_31,130002,event_firstaffection_03,Narration,Narration,Narration,Locale_SubScenario:event_firstaffection_3_31,False,,,,,,,,,,,,,,1,1,1.0,,,,,,black,
event_firstaffection_3_32,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_32,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_33,130002,event_firstaffection_03,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_3_33,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_34,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_34,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_35,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_35,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_36,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_36,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_37,130002,event_firstaffection_03,Speech,neon,neon,Locale_SubScenario:event_firstaffection_3_37,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_38,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_38,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_39,130002,event_firstaffection_03,Speech,neon,neon,Locale_SubScenario:event_firstaffection_3_39,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_40,130002,event_firstaffection_03,Speech,anis,anis,Locale_SubScenario:event_firstaffection_3_40,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_41,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_41,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_42,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_42,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
event_firstaffection_3_43,130002,event_firstaffection_03,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_3_43,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
