id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_filter_01,fade,conversation_id,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_ltk_02_s_1,40012,event_ltk_02_s,Self,Self,Locale_SubScenario:event_ltk_02_s_1,False,CommanderRoom,1,1,1.0,bgm_story_fairytalesend_if,,,,,,d,2,idle,,k,12,idle,,,,,
event_ltk_02_s_2,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_2,True,,1,1,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_3,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_3,True,,1,1,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_4,40012,event_ltk_02_s,Self,Self,Locale_SubScenario:event_ltk_02_s_4,False,,1,1,1.0,,,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_5,40012,event_ltk_02_s,Speech,d,Locale_SubScenario:event_ltk_02_s_5,True,,1,1,1.0,,d,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_6,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_6,True,,1,1,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_7,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_7,True,,1,1,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_8,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_8,True,,1,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_9,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_9,True,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_10,40012,event_ltk_02_s,Self,Self,Locale_SubScenario:event_ltk_02_s_10,False,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_11,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_11,True,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_12,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_12,True,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,delight,,,,,
event_ltk_02_s_13,40012,event_ltk_02_s,Self,Self,Locale_SubScenario:event_ltk_02_s_13,False,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,delight,,,,,
event_ltk_02_s_14,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_14,True,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_15,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_15,True,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_16,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_16,True,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_17,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_17,True,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_18,40012,event_ltk_02_s,Self,Self,Locale_SubScenario:event_ltk_02_s_18,False,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_19,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_19,True,,S_120,1,1.0,,k,,,,,,2,idle,,,12,delight,,,,,
event_ltk_02_s_20,40012,event_ltk_02_s,Self,Self,Locale_SubScenario:event_ltk_02_s_20,False,,1,1,1.0,,k,,,,,,2,idle,,,12,delight,,,,,
event_ltk_02_s_21,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_21,True,,1,1,1.0,,k,,,,,,2,idle,,,12,surprise,,,,,
event_ltk_02_s_22,40012,event_ltk_02_s,Self,Self,Locale_SubScenario:event_ltk_02_s_22,False,,1,1,1.0,,k,,,,,,2,idle,,,12,surprise,,,,,
event_ltk_02_s_23,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_23,True,,1,1,1.0,,k,,,,,,2,idle,,,12,think,,,,,
event_ltk_02_s_24,40012,event_ltk_02_s,Speech,d,Locale_SubScenario:event_ltk_02_s_24,True,,1,1,1.0,,d,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_25,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_25,True,,1,1,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_26,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_26,True,EnikkRoom,1,1,1.0,,k,Grey,,,,,2,idle,d,,12,idle,k,enikk,1,special,
event_ltk_02_s_27,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_27,True,,1,1,1.0,,k,Grey,,,,,2,idle,,,12,idle,,,1,special,
event_ltk_02_s_28,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_28,True,,1,1,1.0,,k,Grey,,,,,2,idle,,,12,idle,,,1,special,
event_ltk_02_s_29,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_29,True,CommanderRoom,1,1,1.0,,k,,,,,d,2,idle,,k,12,idle,,,1,special,enikk
event_ltk_02_s_30,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_30,True,,1,1,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_31,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_31,True,,1,1,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
event_ltk_02_s_32,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_32,True,,1,S_120,1.0,,k,,,,,,2,idle,,,12,good,,,,,
event_ltk_02_s_33,40012,event_ltk_02_s,Speech,k,Locale_SubScenario:event_ltk_02_s_33,True,,S_120,S_120,1.0,,k,,,,,,2,idle,,,12,idle,,,,,
