id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,play_sound,characters/5/hide_char_id,characters/6/hide_char_id,set_camera_shake,characters/3/hide_char_id,characters/4/hide_char_id,jump_target
event_bluewaterisland2_06_s_1,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_1,True,neon_s,2,idle,liter_s,12,surprise,mary_s,14,idle,LogHouseOut_n,12,XS_120,1.0,bgm_story_profusion,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_2,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_2,True,,2,idle,,12,surprise,,14,idle,,XS_120,XS_120,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_3,40021,event_bluewaterisland2_06_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_06_s_3,True,,2,idle,,12,surprise,,14,idle,,XS_120,13,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_4,40021,event_bluewaterisland2_06_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_06_s_4,True,,2,idle,,12,surprise,,14,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_5,40021,event_bluewaterisland2_06_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_06_s_5,True,,2,idle,,12,idle,,14,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_6,40021,event_bluewaterisland2_06_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_06_s_6,True,,2,idle,,12,idle,,14,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_7,40021,event_bluewaterisland2_06_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_06_s_7,True,,2,idle,,12,idle,,14,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_8,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_8,True,,2,idle,,12,no,,14,idle,,13,XS_120,2.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_9,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_9,True,,2,idle,,12,no,,14,idle,,XS_120,XS_120,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_10,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_10,True,,2,idle,,12,sorrow,,14,idle,,XS_120,XS_120,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_11,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_11,True,,2,idle,,12,delight,,14,idle,,XS_120,XS_120,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_12,40021,event_bluewaterisland2_06_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_06_s_12,True,,2,idle,,12,delight,,14,idle,,140,140,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_13,40021,event_bluewaterisland2_06_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_06_s_13,True,,2,idle,,12,delight,,14,idle,,140,140,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_14,40021,event_bluewaterisland2_06_s,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_06_s_14,True,,2,idle,,12,delight,,14,idle,,140,140,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_15,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_15,True,,2,idle,,12,delight,,14,idle,,140,13,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_16,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_16,True,,2,idle,,12,delight,,14,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_17,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_17,True,,2,idle,,12,delight,,14,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_18,40021,event_bluewaterisland2_06_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_s_18,False,,2,idle,,12,delight,,14,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_19,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_19,True,,2,idle,,12,no,,14,idle,,13,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_20,40021,event_bluewaterisland2_06_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_s_20,True,,2,idle,,12,no,,14,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_21,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_21,True,,2,idle,,12,no,,14,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_22,40021,event_bluewaterisland2_06_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_s_22,True,,2,surprise,,12,no,,14,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_23,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_23,True,,2,surprise,,12,idle,,14,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_24,40021,event_bluewaterisland2_06_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_s_24,False,,2,surprise,,12,idle,,14,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_25,40021,event_bluewaterisland2_06_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_s_25,True,,2,no,,12,idle,,14,idle,,1,XS_20,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_26,40021,event_bluewaterisland2_06_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_s_26,True,,2,no,,12,idle,,14,idle,,XS_20,XS_20,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_27,40021,event_bluewaterisland2_06_s,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland2_06_s_27,True,,2,no,,12,idle,,14,idle,,XS_20,XS_20,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_28,40021,event_bluewaterisland2_06_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_s_28,False,,2,no,,12,idle,,14,idle,,XS_20,XS_20,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_29,40021,event_bluewaterisland2_06_s,Narration,,Narration,Locale_SubScenario:event_bluewaterisland2_06_s_29,False,,2,idle,,12,idle,,14,idle,Beach_d,black,black,1.0,,black,,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_30,40021,event_bluewaterisland2_06_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_s_30,True,,2,worry,,12,idle,,14,idle,,2,XS_20,1.0,,,frima_s,6,idle,yan_s,4,idle,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_31,40021,event_bluewaterisland2_06_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_s_31,False,,2,worry,,12,idle,,14,idle,,XS_20,XS_20,1.0,,,,6,idle,,4,idle,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_32,40021,event_bluewaterisland2_06_s,Speech,yan_s,yan_s,Locale_SubScenario:event_bluewaterisland2_06_s_32,True,,2,worry,,12,idle,,14,idle,,XS_20,3,1.0,,,,6,idle,,4,no,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_33,40021,event_bluewaterisland2_06_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_s_33,True,,2,worry,,12,idle,,14,idle,,3,3,1.0,,,,6,idle,,4,no,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_34,40021,event_bluewaterisland2_06_s,Self,,Self,Locale_SubScenario:event_bluewaterisland2_06_s_34,False,,2,worry,,12,idle,,14,idle,,3,3,1.0,,,,6,idle,,4,no,,,,,,,,,,,,,,,
event_bluewaterisland2_06_s_35,40021,event_bluewaterisland2_06_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland2_06_s_35,True,,2,delight,,12,idle,,14,idle,,3,3,1.0,,,,6,idle,,4,no,,,,,,,,,,,,,,,
