id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_filter_01,characters/4/hide_char_id,fade,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_camera_shake,characters/5/hide_char_id,play_movie,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_redash2_06_e_1,40032,event_redash2_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_06_e_1,True,dorothy,13,idle,hongryeon_o,15,angry,rapunzel_o,17,angry,snowwhite_o,1,sad,Desert_05,13,130,1.0,none,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_2,40032,event_redash2_06_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_06_e_2,True,,13,idle,,15,angry,,17,angry,,1,sad,,130,150,1.0,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_3,40032,event_redash2_06_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_06_e_3,True,,13,idle,,15,angry,,17,angry,,1,sad,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_4,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_4,False,,13,idle,,15,angry,,17,angry,,1,sad,,black,black,1.0,,sfx_scn_redfire,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_5,40032,event_redash2_06_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_06_e_5,True,,13,idle,,15,angry,,17,angry,,1,sad,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_6,40032,event_redash2_06_e,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_06_e_6,True,,13,idle,,15,angry,,17,angry,,1,sad,,L_170,L_170,1.0,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_7,40032,event_redash2_06_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_06_e_7,True,,13,idle,,15,angry,,17,angry,,1,sad,,150,150,0.5,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_8,40032,event_redash2_06_e,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_06_e_8,False,,13,idle,,15,angry,,17,idle,,1,sad,,L_170,L_170,1.0,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_9,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_9,False,,13,idle,,15,angry,,17,idle,,1,sad,,black,black,1.0,event_bgm_redash_onthecliff,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_10,40032,event_redash2_06_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_06_e_10,True,,13,angry,,15,angry,,17,idle,,1,sad,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_11,40032,event_redash2_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_06_e_11,True,,13,angry,,15,angry,,17,idle,,1,sad,,130,1300,0.5,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_12,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_12,False,,13,angry,,15,angry,,17,idle,,1,sad,EventScene_redash_09_1,black,black,1.0,,sfx_scn_laserexplosions,dorothy,hongryeon_o,rapunzel_o,snowwhite_o,,,,,,,,,,,,,,,,
event_redash2_06_e_13,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_13,False,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_14,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_14,False,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,,,,,,,,,,,,,,,,,
event_redash2_06_e_15,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_15,False,dorothy,13,think,hongryeon_o,15,idle,rapunzel_o,17,angry,snowwhite_o,1,sad,Desert_05,3,3,,,,,,,,anarchyorr,3,idle,,,,,,,,,,,,,
event_redash2_06_e_16,40032,event_redash2_06_e,Speech,anarchyorr,anarchyorr,Locale_MainScenario:event_redash2_06_e_16,True,,13,think,,15,idle,,17,angry,,1,sad,,3,S_30,,,,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_17,40032,event_redash2_06_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_06_e_17,True,,13,think,,15,idle,,17,angry,,1,sad,,15,15,,,,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_18,40032,event_redash2_06_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_06_e_18,True,,13,think,,15,go,,17,angry,,1,sad,,15,1500,0.5,,,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_19,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_19,False,,13,think,,15,go,,17,angry,,1,sad,,black,black,,,sfx_scn_drawingsword,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_20,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_20,False,,13,think,,15,go,,17,angry,,1,sad,,black,black,,,sfx_scn_swordhit,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_21,40032,event_redash2_06_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_06_e_21,True,,13,think,,15,surprise,,17,angry,,1,sad,,150,1500,0.5,,,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_22,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_22,False,,13,think,,15,surprise,,17,angry,,1,sad,,3,3,,,,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_23,40032,event_redash2_06_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_06_e_23,True,,13,think,,15,angry,,17,angry,,1,sad,,1500,1500,,,,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_24,40032,event_redash2_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_06_e_24,True,,13,angry,,15,angry,,17,angry,,1,sad,,1300,1300,,,,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_25,40032,event_redash2_06_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_06_e_25,True,,13,angry,,15,angry,,17,angry,,1,angry,,S_10,S_100,0.5,,,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_26,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_26,False,,13,angry,,15,angry,,17,angry,,1,angry,,S_100,S_100,,,sfx_scn_machinegun,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_27,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_27,False,,13,angry,,15,angry,,17,angry,,1,angry,,S_100,S_100,,,,,,,,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_28,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_28,False,,13,angry,,15,angry,,17,angry,,1,angry,none,S_30,S_30,,,,dorothy,hongryeon_o,rapunzel_o,snowwhite_o,,3,idle,,,,,,,,,,,,,
event_redash2_06_e_29,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_29,False,,,,,,,,,,,,,,S_30,3,0.5,,sfx_scn_shieldready,,,,,,3,"expression_0,idle_alt",,,,,,,,,,,,,
event_redash2_06_e_30,40032,event_redash2_06_e,Narration,,,Locale_MainScenario:event_redash2_06_e_30,False,,,,,,,,,,,,,Desert_05,3,3,,,,,,,,,3,idle_alt,,,,,,,,,,,,,
