id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
event_ce006_2_01_e_1,40080,event_ce006_2_01_e,Narration,elegg,Locale_MainScenario:event_ce006_2_01_e_1,False,bunkerofartist,black,black,1.0,sfx_scn_metalstep,collab_bgm_sb_hallofrecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_2,40080,event_ce006_2_01_e,Monologue,elegg,Locale_MainScenario:event_ce006_2_01_e_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_3,40080,event_ce006_2_01_e,Monologue,elegg,Locale_MainScenario:event_ce006_2_01_e_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_4,40080,event_ce006_2_01_e,Monologue,elegg,Locale_MainScenario:event_ce006_2_01_e_4,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_5,40080,event_ce006_2_01_e,Monologue,elegg,Locale_MainScenario:event_ce006_2_01_e_5,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_6,40080,event_ce006_2_01_e,Speech,elegg,Locale_MainScenario:event_ce006_2_01_e_6,True,,1,1,1.0,,,elegg,ce006_03,2,no,elegg,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_7,40080,event_ce006_2_01_e,Speech,ce006_03,Locale_MainScenario:event_ce006_2_01_e_7,True,,1,1,1.0,,,ce006_03,,2,no,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_8,40080,event_ce006_2_01_e,Speech,elegg,Locale_MainScenario:event_ce006_2_01_e_8,True,,1,1,1.0,,,elegg,,2,no,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_9,40080,event_ce006_2_01_e,Speech,ce006_03,Locale_MainScenario:event_ce006_2_01_e_9,True,,1,1,1.0,,,ce006_03,,2,no,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_10,40080,event_ce006_2_01_e,Speech,elegg,Locale_MainScenario:event_ce006_2_01_e_10,True,,1,1,1.0,,,elegg,,2,no,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_e_11,40080,event_ce006_2_01_e,Monologue,elegg,Locale_MainScenario:event_ce006_2_01_e_11,False,,black,black,1.0,,,,,7,no,,5,idle,ce006_npc_01,3,idle,ce006_01,1,idle,rapi,13,idle,anis,15,void,neon,17,idle,,,,,,,,,,
event_ce006_2_01_e_12,40080,event_ce006_2_01_e,Monologue,elegg,Locale_MainScenario:event_ce006_2_01_e_12,False,,black,black,1.0,,,,,7,no,,5,idle,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,,,,,,,,,
event_ce006_2_01_e_13,40080,event_ce006_2_01_e,Monologue,elegg,Locale_MainScenario:event_ce006_2_01_e_13,False,,black,black,1.0,,,,,7,no,,5,idle,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,,,,,,,,,
event_ce006_2_01_e_14,40080,event_ce006_2_01_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_2_01_e_14,True,,2,2,1.0,,,ce006_npc_01,,7,no,,5,idle,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,,,,,,,,,
event_ce006_2_01_e_15,40080,event_ce006_2_01_e,Speech,ce006_01,Locale_MainScenario:event_ce006_2_01_e_15,True,,2,2,1.0,,,ce006_01,,7,no,,5,idle,,3,idle,,1,no,,13,idle,,15,void,,17,idle,,,,,,,,,,
event_ce006_2_01_e_16,40080,event_ce006_2_01_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_2_01_e_16,True,,2,2,1.0,,,ce006_npc_01,,7,no,,5,idle,,3,idle,,1,no,,13,idle,,15,void,,17,idle,,,,,,,,,,
event_ce006_2_01_e_17,40080,event_ce006_2_01_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_2_01_e_17,True,,2,2,1.0,,,ce006_npc_01,,7,no,,5,idle,,3,idle,,1,no,,13,idle,,15,void,,17,idle,,,,,,,,,,
event_ce006_2_01_e_18,40080,event_ce006_2_01_e,Speech,anis,Locale_MainScenario:event_ce006_2_01_e_18,True,,14,14,1.0,,,anis,,7,no,,5,idle,,3,idle,,1,no,,13,idle,,15,void,,17,idle,,,,,,,,,,
