id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,highlight,speaker,set_filter_01,set_filter_02,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade
event_goldencoinrush2_b01_e_1,40049,event_goldencoinrush2_b01_e,Narration,Locale_MainScenario:event_goldencoinrush2_b01_e_1,False,CoinRushMainHall,black,black,1.0,sfx_scn_coindrop,none,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_e_2,40049,event_goldencoinrush2_b01_e,Monologue,Locale_MainScenario:event_goldencoinrush2_b01_e_2,False,,black,black,1.0,,bgm_story_heynewbie,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_e_3,40049,event_goldencoinrush2_b01_e,Monologue,Locale_MainScenario:event_goldencoinrush2_b01_e_3,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_e_4,40049,event_goldencoinrush2_b01_e,Self,Locale_MainScenario:event_goldencoinrush2_b01_e_4,False,,4,XS_40,0.7,,,alice_b,4,surprise,soda_b,6,sad,folkwang_b,12,pain,exia_c2,19,sad,novel,14,think,,,,,,,,,,,
event_goldencoinrush2_b01_e_5,40049,event_goldencoinrush2_b01_e,Speech,Locale_MainScenario:event_goldencoinrush2_b01_e_5,True,,XS_40,XS_40,1.0,,,,4,surprise,,6,sad,,12,pain,,19,sad,,14,think,alice_b,alice_b,,,,,,,,,
event_goldencoinrush2_b01_e_6,40049,event_goldencoinrush2_b01_e,Monologue,Locale_MainScenario:event_goldencoinrush2_b01_e_6,False,,black,black,1.0,,,,4,surprise,,6,sad,,12,pain,,19,sad,,14,think,,,,,,,,,,,
event_goldencoinrush2_b01_e_7,40049,event_goldencoinrush2_b01_e,Speech,Locale_MainScenario:event_goldencoinrush2_b01_e_7,True,,12,12,1.0,,,,4,surprise,,6,sad,,12,pain,,19,sad,,14,think,folkwang_b,folkwang_b,,,,,,,,,
event_goldencoinrush2_b01_e_8,40049,event_goldencoinrush2_b01_e,Monologue,Locale_MainScenario:event_goldencoinrush2_b01_e_8,False,,12,14,1.0,,,,4,surprise,,6,sad,,12,pain,,19,sad,,14,think,novel,,,,,,,,,,
event_goldencoinrush2_b01_e_9,40049,event_goldencoinrush2_b01_e,Speech,Locale_MainScenario:event_goldencoinrush2_b01_e_9,True,,14,S_1900,1.6,,,,4,surprise,,6,sad,,12,pain,,19,sad,,14,think,exia_c2,exia_c2,,,,,,,,,
event_goldencoinrush2_b01_e_10,40049,event_goldencoinrush2_b01_e,Monologue,Locale_MainScenario:event_goldencoinrush2_b01_e_10,False,,S_1900,S_1900,1.0,,,,4,surprise,,6,sad,,12,pain,,19,sad,,14,think,exia_c2,,,,,,,,,,
