id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,fade,characters/9/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/6/hide_char_id,characters/7/hide_char_id
event_ce004_2_06_e_1,40056,event_ce004_2_06_e,Narration,ce004_01,Locale_SubScenario:event_ce004_2_06_e_1,False,ce004_01,9,angry,zwei,7,idle,WasteLand_03,9,90,1.0,sfx_scn_explosions,event_bgm_ce004_nereculepas,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_2,40056,event_ce004_2_06_e,Speech,ce004_01,Locale_SubScenario:event_ce004_2_06_e_2,True,,9,angry,,7,idle,,90,90,1.0,,,,ce004_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_3,40056,event_ce004_2_06_e,Speech,zwei,Locale_SubScenario:event_ce004_2_06_e_3,True,,9,angry,,7,pain,,90,8,1.0,,,,zwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_4,40056,event_ce004_2_06_e,Speech,ce004_04_op,Locale_SubScenario:event_ce004_2_06_e_4,True,,9,angry,,7,pain,,8,8,1.0,,,,ce004_04_op,ce004_04_op,OP_leftup,go,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_5,40056,event_ce004_2_06_e,Speech,zwei,Locale_SubScenario:event_ce004_2_06_e_5,False,,9,surprise,,7,surprise,,8,8,1.0,,,,zwei,,OP_leftup,go,ce004_04_op,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_6,40056,event_ce004_2_06_e,Speech,ce004_01,Locale_SubScenario:event_ce004_2_06_e_6,False,,9,surprise,,7,surprise,,8,8,1.0,,,,ce004_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_7,40056,event_ce004_2_06_e,Speech,zwei,Locale_SubScenario:event_ce004_2_06_e_7,True,,9,surprise,,7,surprise,,8,8,1.0,,,,zwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_8,40056,event_ce004_2_06_e,Speech,ce004_01,Locale_SubScenario:event_ce004_2_06_e_8,True,,9,angry,,7,surprise,,8,8,1.0,,,,ce004_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_9,40056,event_ce004_2_06_e,Speech,zwei,Locale_SubScenario:event_ce004_2_06_e_9,True,,9,angry,,7,pain,,8,8,1.0,,,,zwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_10,40056,event_ce004_2_06_e,Speech,zwei,Locale_SubScenario:event_ce004_2_06_e_10,True,,9,angry,,7,pain,,8,8,1.0,,,,zwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_11,40056,event_ce004_2_06_e,Speech,zwei,Locale_SubScenario:event_ce004_2_06_e_11,True,,9,angry,,7,pain,,8,8,1.0,,,,zwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_12,40056,event_ce004_2_06_e,Speech,ce004_01,Locale_SubScenario:event_ce004_2_06_e_12,True,,9,angry,,7,pain,,8,90,1.0,,,,ce004_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_13,40056,event_ce004_2_06_e,Speech,zwei,Locale_SubScenario:event_ce004_2_06_e_13,True,,9,angry,,7,pain,,90,70,1.0,,,,zwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_14,40056,event_ce004_2_06_e,Monologue,zwei,Locale_SubScenario:event_ce004_2_06_e_14,False,,9,angry,,7,pain,,70,700,1.0,sfx_scn_c390ult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_15,40056,event_ce004_2_06_e,Narration,zwei,Locale_SubScenario:event_ce004_2_06_e_15,False,,9,angry,,7,pain,,black,black,1.0,sfx_scn_explosionnear,,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_16,40056,event_ce004_2_06_e,Monologue,zwei,Locale_SubScenario:event_ce004_2_06_e_16,False,,9,angry,,7,pain,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_17,40056,event_ce004_2_06_e,Speech,zwei,Locale_SubScenario:event_ce004_2_06_e_17,True,,9,angry,,7,pain,,700,70,0.5,,,,zwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_18,40056,event_ce004_2_06_e,Monologue,ce004_01,Locale_SubScenario:event_ce004_2_06_e_18,False,,9,angry,,7,pain,,70,90,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_19,40056,event_ce004_2_06_e,Speech,ce004_01,Locale_SubScenario:event_ce004_2_06_e_19,True,,9,angry,,7,pain,,90,900,1.0,,,,ce004_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_20,40056,event_ce004_2_06_e,Monologue,ce004_01,Locale_SubScenario:event_ce004_2_06_e_20,False,,9,angry,,7,pain,,900,900,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_2_06_e_21,40056,event_ce004_2_06_e,Narration,ce004_01,Locale_SubScenario:event_ce004_2_06_e_21,False,,9,angry,,7,pain,,black,black,1.0,sfx_scn_explosionhuge,,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
