id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,characters/3/hide_char_id
event_darkhero_02_e_1,40047,event_darkhero_02_e,Narration,elegg,Locale_SubScenario:event_darkhero_02_e_1,False,elegg,12,idle,Laboratory,12,12,1.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,,,,,
event_darkhero_02_e_2,40047,event_darkhero_02_e,Narration,elegg,Locale_SubScenario:event_darkhero_02_e_2,False,,12,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,
event_darkhero_02_e_3,40047,event_darkhero_02_e,Narration,elegg,Locale_SubScenario:event_darkhero_02_e_3,False,,12,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,
event_darkhero_02_e_4,40047,event_darkhero_02_e,Narration,elegg,Locale_SubScenario:event_darkhero_02_e_4,False,,12,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,
event_darkhero_02_e_5,40047,event_darkhero_02_e,Speech,elegg,Locale_SubScenario:event_darkhero_02_e_5,True,,12,idle,,12,12,1.0,,elegg,,,,,,,,,,,,,,,,,
event_darkhero_02_e_6,40047,event_darkhero_02_e,Speech,elegg,Locale_SubScenario:event_darkhero_02_e_6,True,,12,idle,,12,S_120,1.0,,elegg,,,,,,,,,,,,,,,,,
event_darkhero_02_e_7,40047,event_darkhero_02_e,Narration,elegg,Locale_SubScenario:event_darkhero_02_e_7,False,,12,idle,,S_120,S_120,1.0,,,,,,,,,,,,,,,,,,,
event_darkhero_02_e_8,40047,event_darkhero_02_e,Narration,elegg,Locale_SubScenario:event_darkhero_02_e_8,False,,12,pain,,S_120,S_120,1.0,,,,,,,,,,,,,,,,,,,
event_darkhero_02_e_9,40047,event_darkhero_02_e,Narration,elegg,Locale_SubScenario:event_darkhero_02_e_9,False,,12,pain,,S_120,S_120,1.0,,,,,,,,,,,,,,,,,,,
event_darkhero_02_e_10,40047,event_darkhero_02_e,Speech,elegg,Locale_SubScenario:event_darkhero_02_e_10,True,,12,pain,,S_120,S_120,1.0,,elegg,,,,,,,,,,,,,,,,,
event_darkhero_02_e_11,40047,event_darkhero_02_e,Speech,elegg,Locale_SubScenario:event_darkhero_02_e_11,True,,12,pain,,S_120,S_120,1.0,,elegg,,,,,,,,,,,,,,,,,
event_darkhero_02_e_12,40047,event_darkhero_02_e,Speech,elegg,Locale_SubScenario:event_darkhero_02_e_12,True,,12,pain,,S_120,S_120,1.0,,elegg,,,,,,,,,,,,,,,,,
event_darkhero_02_e_13,40047,event_darkhero_02_e,Speech,elegg,Locale_SubScenario:event_darkhero_02_e_13,True,,12,pain,,S_120,S_120,1.0,,elegg,,,,,,,,,,,,,,,,,
