id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_nyanyaparadise_03_e_1,40022,event_nyanyaparadise_03_e,Narration,Locale_SubScenario:event_nyanyaparadise_03_e_1,False,Park,1,XS_10,1.0,sfx_scn_hungry,bgm_story_girlstalk,,,,,ruru,1,sad,,nero,3,idle,
event_nyanyaparadise_03_e_2,40022,event_nyanyaparadise_03_e,Speech,Locale_SubScenario:event_nyanyaparadise_03_e_2,False,,XS_10,XS_10,1.0,,,ruru,ruru,,,,1,sad,,,3,idle,
event_nyanyaparadise_03_e_3,40022,event_nyanyaparadise_03_e,Speech,Locale_SubScenario:event_nyanyaparadise_03_e_3,True,,XS_10,31,1.0,,,nero,nero,,,,1,sad,,,3,idle,
event_nyanyaparadise_03_e_4,40022,event_nyanyaparadise_03_e,Monologue,Locale_SubScenario:event_nyanyaparadise_03_e_4,False,,31,31,1.0,,,,,,,,1,sad,,,3,idle,
event_nyanyaparadise_03_e_5,40022,event_nyanyaparadise_03_e,Speech,Locale_SubScenario:event_nyanyaparadise_03_e_5,False,,31,31,1.0,,,ruru,ruru,,,,1,surprise,,,3,idle,
event_nyanyaparadise_03_e_6,40022,event_nyanyaparadise_03_e,Speech,Locale_SubScenario:event_nyanyaparadise_03_e_6,True,,31,31,1.0,,,nero,nero,,,,1,surprise,,,3,idle,
event_nyanyaparadise_03_e_7,40022,event_nyanyaparadise_03_e,Speech,Locale_SubScenario:event_nyanyaparadise_03_e_7,True,,31,31,1.0,,,ruru,ruru,,,,1,delight,,,3,idle,
event_nyanyaparadise_03_e_8,40022,event_nyanyaparadise_03_e,Speech,Locale_SubScenario:event_nyanyaparadise_03_e_8,True,,31,31,1.0,,,nero,nero,,,,1,delight,,,3,idle,
event_nyanyaparadise_03_e_9,40022,event_nyanyaparadise_03_e,Speech,Locale_SubScenario:event_nyanyaparadise_03_e_9,True,,31,L_30,1.0,,,nero,nero,,,,1,delight,,,3,idle,
event_nyanyaparadise_03_e_10,40022,event_nyanyaparadise_03_e,Self,Locale_SubScenario:event_nyanyaparadise_03_e_10,False,,L_30,L_30,1.0,,,,,,,,1,delight,,,3,idle,
