id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,set_filter_01,set_filter_02,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
snowfall_episode_ludmilla_02_1,80903,snowfall_episode_ludmilla_02,Monologue,Monologue,Locale_SubScenario:snowfall_episode_ludmilla_02_1,False,Trail_s,3,3,1.0,amb_so_trail_3,event_bgm_neverland_snowflakes_sunset,,,,,ludmilla_w,3,sad,,,,
snowfall_episode_ludmilla_02_2,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_7,False,,30,30,1.0,,,,,,,,3,idle,,,,
snowfall_episode_ludmilla_02_3,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_8,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_4,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_9,False,,30,30,1.0,,,,,,,,3,think,,,,
snowfall_episode_ludmilla_02_5,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_10,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_6,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_11,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_7,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_12,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_8,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_13,False,,30,30,1.0,,,,,,,,3,think,,,,
snowfall_episode_ludmilla_02_9,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_14,True,,30,3,1.0,,,ludmilla_w,,,,,3,idle,,,,
snowfall_episode_ludmilla_02_10,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_15,False,,3,3,1.0,,,,,,,,3,idle,,,,
snowfall_episode_ludmilla_02_11,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_16,True,HotSpringInnIn_d,3,15,1.0,amb_so_inn_in_1,,ludmilla_w,Grey,Vignetting,,,3,idle,,,,
snowfall_episode_ludmilla_02_12,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_17,True,,15,15,1.0,,,ludmilla_w,Grey,Vignetting,,,3,idle,,,,
snowfall_episode_ludmilla_02_13,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_18,True,,15,150,0.3,,,ludmilla_w,Grey,Vignetting,,,3,idle,,,,
snowfall_episode_ludmilla_02_14,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_19,False,,150,150,1.0,,,,Grey,Vignetting,,,3,idle,,,,
snowfall_episode_ludmilla_02_15,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_20,False,,150,150,1.0,,,,Grey,Vignetting,,,3,idle,,,,
snowfall_episode_ludmilla_02_16,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_21,True,Trail_s,150,3,1.0,amb_so_trail_3,,ludmilla_w,,,,,3,idle,,,,
snowfall_episode_ludmilla_02_17,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_22,False,,3,3,1.0,,,,,,,,3,idle,,,,
snowfall_episode_ludmilla_02_18,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_23,True,,3,3,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_19,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_24,True,,3,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_20,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_25,False,,30,30,1.0,,,,,,,,3,think,,,,
snowfall_episode_ludmilla_02_21,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_26,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_22,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_27,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_23,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_28,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_24,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_29,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_25,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_30,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_26,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_31,True,,30,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_27,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_32,False,,30,30,1.0,,,,,,,,3,think,,,,
snowfall_episode_ludmilla_02_28,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_33,True,,30,3,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_29,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_34,True,,3,3,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_30,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_35,False,,3,3,1.0,,,,,,,,3,think,,,,
snowfall_episode_ludmilla_02_31,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_36,True,,3,3,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_32,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_37,False,,3,3,1.0,,,,,,,,3,think,,,,
snowfall_episode_ludmilla_02_33,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_38,False,,3,3,1.0,,,,,,,,3,think,,,,
snowfall_episode_ludmilla_02_34,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_39,True,,3,3,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_35,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_40,True,,3,3,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_36,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_41,True,,3,3,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_37,80903,snowfall_episode_ludmilla_02,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_02_42,True,,3,30,1.0,,,ludmilla_w,,,,,3,think,,,,
snowfall_episode_ludmilla_02_38,80903,snowfall_episode_ludmilla_02,Self,Self,Locale_SubScenario:snowfall_episode_ludmilla_02_43,False,,30,30,1.0,,,,,,,,3,think,,,,
