id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
snowfall_episode_blanc_03_1,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_1,True,Trail_n,1,1,1.0,amb_so_trail_1,event_bgm_neverland_hugme_day,,blanc_c,1,think,,,
snowfall_episode_blanc_03_2,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_2,True,,1,1,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_3,80903,snowfall_episode_blanc_03,Monologue,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_03_3,False,,1,1,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_4,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_8,True,,1,L_10,1.0,,,,,1,idle,,,
snowfall_episode_blanc_03_5,80903,snowfall_episode_blanc_03,Self,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_03_9,False,,L_10,L_10,1.0,,,,,1,idle,,,
snowfall_episode_blanc_03_6,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_10,True,,L_10,L_10,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_7,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_11,True,,L_10,L_10,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_8,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_12,True,,L_10,L_10,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_9,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_13,True,,L_10,L_10,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_10,80903,snowfall_episode_blanc_03,Self,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_03_14,False,,L_10,L_10,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_11,80903,snowfall_episode_blanc_03,Self,blanc_c,,Locale_SubScenario:snowfall_episode_blanc_03_15,False,,L_10,L_10,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_12,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_16,True,,L_10,L_10,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_13,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_17,True,,L_10,L_10,1.0,,,,,1,think,,,
snowfall_episode_blanc_03_14,80903,snowfall_episode_blanc_03,Speech,blanc_c,blanc_c,Locale_SubScenario:snowfall_episode_blanc_03_18,True,,L_10,L_10,1.0,,,,,1,think,,,
