id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_ce006_2_03_e_1,40080,event_ce006_2_03_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_03_e_1,True,artcity_d,1,1,1.0,collab_bgm_sb_hallofrecords,,anis,2,angry,,privaty,12,idle,,rapi,4,idle,,neon,14,idle,,,,
event_ce006_2_03_e_2,40080,event_ce006_2_03_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_03_e_2,True,,1,1,1.0,,,,2,angry,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_3,40080,event_ce006_2_03_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_03_e_3,True,,1,1,1.0,,,,2,angry,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_4,40080,event_ce006_2_03_e,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_03_e_4,False,,1,1,1.0,,,,2,angry,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_5,40080,event_ce006_2_03_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_03_e_5,True,,1,1,1.0,,,,2,angry,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_6,40080,event_ce006_2_03_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_03_e_6,True,,1,1,1.0,,,,2,angry,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_7,40080,event_ce006_2_03_e,Speech,rapi,rapi,Locale_MainScenario:event_ce006_2_03_e_7,True,,1,3,1.3,,,,2,angry,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_8,40080,event_ce006_2_03_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_03_e_8,True,,3,3,1.0,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_9,40080,event_ce006_2_03_e,Speech,rapi,rapi,Locale_MainScenario:event_ce006_2_03_e_9,True,,3,3,1.0,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_10,40080,event_ce006_2_03_e,Speech,rapi,rapi,Locale_MainScenario:event_ce006_2_03_e_10,True,,3,3,1.0,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_11,40080,event_ce006_2_03_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_03_e_11,False,,3,3,1.0,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_12,40080,event_ce006_2_03_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_03_e_12,True,,3,3,1.0,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_13,40080,event_ce006_2_03_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_03_e_13,True,,3,3,1.0,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_14,40080,event_ce006_2_03_e,Speech,privaty,privaty,Locale_MainScenario:event_ce006_2_03_e_14,True,,3,13,1.5,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_15,40080,event_ce006_2_03_e,Speech,neon,neon,Locale_MainScenario:event_ce006_2_03_e_15,True,,13,13,1.0,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_16,40080,event_ce006_2_03_e,Self,neon,,Locale_MainScenario:event_ce006_2_03_e_16,False,,13,13,1.0,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
event_ce006_2_03_e_17,40080,event_ce006_2_03_e,Speech,neon,neon,Locale_MainScenario:event_ce006_2_03_e_17,True,,13,13,1.0,,,,2,void,,,12,idle,,,4,idle,,,14,idle,,,,
