id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_lastkingdom1_06_s_1,40045,event_lastkingdom1_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_06_s_1,True,CrownCastleFrontYard_d,113,113,1.0,event_bgm_lastkingdom_machines,,crown,1,idle,,marian_q,13,angry,,kilo,3,idle,,talos,5,idle,
event_lastkingdom1_06_s_2,40045,event_lastkingdom1_06_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_06_s_2,True,,113,113,1.0,,,,1,idle,,,13,angry,,,3,idle,,,5,idle,
event_lastkingdom1_06_s_3,40045,event_lastkingdom1_06_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_06_s_3,True,,113,113,1.0,,,,1,idle,,,13,angry,,,3,idle,,,5,idle,
event_lastkingdom1_06_s_4,40045,event_lastkingdom1_06_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_06_s_4,True,,113,113,1.0,,,,1,idle,,,13,angry,,,3,idle,,,5,idle,
event_lastkingdom1_06_s_5,40045,event_lastkingdom1_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_06_s_5,True,,113,113,1.0,,,,1,idle,,,13,angry,,,3,idle,,,5,idle,
event_lastkingdom1_06_s_6,40045,event_lastkingdom1_06_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_06_s_6,True,,113,113,1.0,,,,1,idle,,,13,angry,,,3,idle,,,5,idle,
event_lastkingdom1_06_s_7,40045,event_lastkingdom1_06_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_06_s_7,True,,113,113,1.0,,,,1,idle,,,13,angry,,,3,idle,,,5,idle,
event_lastkingdom1_06_s_8,40045,event_lastkingdom1_06_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_06_s_8,True,,113,31,1.0,,,,1,idle,,,13,angry,,,3,idle,,,5,idle,
event_lastkingdom1_06_s_9,40045,event_lastkingdom1_06_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_06_s_9,False,,31,31,1.0,,,,1,idle,,,13,angry,,,3,idle,,,5,idle,
event_lastkingdom1_06_s_10,40045,event_lastkingdom1_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_06_s_10,True,,31,113,1.0,,,,1,idle,,,13,angry,,,3,idle,,,5,idle,
