id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,play_ambient,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_footstepwalkrun1_01_e_1,40066,event_footstepwalkrun1_01_e,Narration,Locale_MainScenario:event_footstepwalkrun1_01_e_1,False,Hospital,black,black,1.0,bgm_intotheswarm,,,,,,,,youngrapi,1,pain,
event_footstepwalkrun1_01_e_2,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_2,False,,XS_100,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_3,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_3,True,,XS_100,XS_100,1.0,,youngrapi,youngrapi,,,,,,,1,pain,
event_footstepwalkrun1_01_e_4,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_4,False,,XS_100,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_5,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_5,True,,XS_100,XS_10,1.0,,youngrapi,youngrapi,,,,,,,1,pain,
event_footstepwalkrun1_01_e_6,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_6,False,,XS_10,XS_10,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_7,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_7,True,,XS_10,XS_10,1.0,,youngrapi,youngrapi,,,,,,,1,pain,
event_footstepwalkrun1_01_e_8,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_8,False,,XS_10,XS_10,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_9,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_9,False,,XS_10,XS_10,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_10,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_10,True,,XS_10,XS_10,1.0,,youngrapi,youngrapi,,,,,,,1,pain,
event_footstepwalkrun1_01_e_11,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_11,False,,XS_10,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_12,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_12,False,,XS_100,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_13,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_13,False,,XS_100,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_14,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_14,True,,XS_100,XS_100,1.0,,youngrapi,youngrapi,,,,,,,1,pain,
event_footstepwalkrun1_01_e_15,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_15,False,,XS_100,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_16,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_16,False,,XS_100,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_17,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_17,True,,XS_100,XS_100,1.0,,youngrapi,youngrapi,,,,,,,1,pain,
event_footstepwalkrun1_01_e_18,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_18,False,,XS_100,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_19,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_19,True,,XS_100,XS_100,1.0,,youngrapi,youngrapi,,,,,,,1,pain,
event_footstepwalkrun1_01_e_20,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_20,False,,XS_100,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_21,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_21,True,,XS_100,XS_100,1.0,,youngrapi,youngrapi,,,,,,,1,pain,
event_footstepwalkrun1_01_e_22,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_22,False,,XS_100,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_23,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_23,False,,XS_100,XS_10,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_24,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_24,True,,XS_10,XS_10,1.0,,youngrapi,youngrapi,,,,,,,1,pain,
event_footstepwalkrun1_01_e_25,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_25,False,,XS_10,XS_10,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_26,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_26,False,,XS_10,XS_10,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_27,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_27,False,,XS_10,XS_10,1.0,,youngrapi,doctor,,,,,,,1,pain,
event_footstepwalkrun1_01_e_28,40066,event_footstepwalkrun1_01_e,Speech,Locale_MainScenario:event_footstepwalkrun1_01_e_28,False,,XS_10,XS_100,1.0,,youngrapi,doctor,,,,,,,1,pain,
