id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
event_footstepwalkrun1_02_s_1,40066,event_footstepwalkrun1_02_s,Narration,Locale_MainScenario:event_footstepwalkrun1_02_s_1,False,rapi_h,1,pain,Hospital,black,black,1.0,none,,
event_footstepwalkrun1_02_s_2,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_2,False,,1,pain,,1,1,1.0,bgm_story_enormousgap,rapi_h,doctor
event_footstepwalkrun1_02_s_3,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_3,True,,1,pain,,1,1,1.0,,rapi_h,rapi_h
event_footstepwalkrun1_02_s_4,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_4,False,,1,pain,,1,1,1.0,,rapi_h,doctor
event_footstepwalkrun1_02_s_5,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_5,True,,1,pain,,1,10,1.0,,rapi_h,rapi_h
event_footstepwalkrun1_02_s_6,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_6,False,,1,pain,,10,10,1.0,,rapi_h,doctor
event_footstepwalkrun1_02_s_7,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_7,False,,1,pain,,10,10,1.0,,rapi_h,doctor
event_footstepwalkrun1_02_s_8,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_8,True,,1,pain,,10,10,1.0,,rapi_h,rapi_h
event_footstepwalkrun1_02_s_9,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_9,False,,1,pain,,10,10,1.0,,rapi_h,doctor
event_footstepwalkrun1_02_s_10,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_10,False,,1,pain,,10,10,1.0,,rapi_h,doctor
event_footstepwalkrun1_02_s_11,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_11,False,,1,pain,,10,10,1.0,,rapi_h,rapi_h
event_footstepwalkrun1_02_s_12,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_12,False,,1,pain,,10,10,1.0,,rapi_h,doctor
event_footstepwalkrun1_02_s_13,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_13,True,,1,pain,,10,10,1.0,,rapi_h,rapi_h
event_footstepwalkrun1_02_s_14,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_14,False,,1,pain,,10,10,1.0,,rapi_h,doctor
event_footstepwalkrun1_02_s_15,40066,event_footstepwalkrun1_02_s,Speech,Locale_MainScenario:event_footstepwalkrun1_02_s_15,True,,1,pain,,10,10,1.0,,rapi_h,rapi_h
