id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,characters/0/hide_char_id,set_filter_01,fade,play_sound,set_camera_shake
event_ltk_03_s_1,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_1,False,Storage,5,1,2.0,bgm_story_orangepop,,,,,,,,,
event_ltk_03_s_2,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_2,False,,1,1,1.0,,,,,,,,,,
event_ltk_03_s_3,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_3,False,,1,1,1.0,,,,,,,,,,
event_ltk_03_s_4,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_4,False,,1,1,1.0,,,,,,,,,,
event_ltk_03_s_5,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_5,False,,1,10,1.0,,d,1,idle,,,,,,
event_ltk_03_s_6,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_6,True,,10,10,1.0,,,1,idle,d,,,,,
event_ltk_03_s_7,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_7,True,,10,10,1.0,,,1,idle,d,,,,,
event_ltk_03_s_8,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_8,True,,10,10,1.0,,,1,idle,d,,,,,
event_ltk_03_s_9,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_9,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_10,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_10,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_11,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_11,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_12,40012,event_ltk_03_s,Narration,Narration,Locale_SubScenario:event_ltk_03_s_12,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_13,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_13,True,,10,10,1.0,,,1,idle,d,,,,,
event_ltk_03_s_14,40012,event_ltk_03_s,Narration,Narration,Locale_SubScenario:event_ltk_03_s_14,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_15,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_15,True,,10,10,1.0,,,1,idle,d,,,,,
event_ltk_03_s_16,40012,event_ltk_03_s,Narration,Narration,Locale_SubScenario:event_ltk_03_s_16,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_17,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_17,True,,10,10,1.0,,,1,think,d,,,,,
event_ltk_03_s_18,40012,event_ltk_03_s,Narration,Narration,Locale_SubScenario:event_ltk_03_s_18,False,,black,black,1.0,,,1,think,,,,,,
event_ltk_03_s_19,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_19,True,,10,10,1.0,,,1,smile,d,,,,,
event_ltk_03_s_20,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_20,True,,10,100,2.0,,,1,smile,d,,,,,
event_ltk_03_s_21,40012,event_ltk_03_s,Self,Self,Locale_SubScenario:event_ltk_03_s_21,False,,100,100,1.0,,,1,smile,,,,,,
event_ltk_03_s_22,40012,event_ltk_03_s,Narration,Narration,Locale_SubScenario:event_ltk_03_s_22,False,,black,black,1.0,,,1,think,,,,,,
event_ltk_03_s_23,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_23,True,,10,10,1.0,,,1,think,d,,,,,
event_ltk_03_s_24,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_24,True,,10,10,1.0,,,1,idle,d,,,,,
event_ltk_03_s_25,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_25,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_26,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_26,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_27,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_27,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_28,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_28,False,,black,black,1.0,,,1,idle,,,,,,
event_ltk_03_s_29,40012,event_ltk_03_s,Self,Self,Locale_SubScenario:event_ltk_03_s_29,False,,10,10,1.0,,,1,idle,,,,,,
event_ltk_03_s_30,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_30,True,,10,10,1.0,,,1,idle,d,,,,,
event_ltk_03_s_31,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_31,False,City_d,5,1,2.0,none,,1,idle,,d,Blur_Middle,black,,
event_ltk_03_s_32,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_32,False,,1,1,1.0,,,,,,,Blur_Middle,,,
event_ltk_03_s_33,40012,event_ltk_03_s,Monologue,Monologue,Locale_SubScenario:event_ltk_03_s_33,False,,1,1,1.0,,d,1,idle,,,Blur_Low,,,
event_ltk_03_s_34,40012,event_ltk_03_s,Narration,Narration,Locale_SubScenario:event_ltk_03_s_34,False,,black,black,1.0,,,1,idle,,,Blur_Low,,,
event_ltk_03_s_35,40012,event_ltk_03_s,Self,Self,Locale_SubScenario:event_ltk_03_s_35,False,,1,1,1.0,,,1,idle,,,Blur_Low,,,
event_ltk_03_s_36,40012,event_ltk_03_s,Speech,d,Locale_SubScenario:event_ltk_03_s_36,True,,1,1,1.0,,,1,idle,d,,Blur_Low,,,
event_ltk_03_s_37,40012,event_ltk_03_s,Self,Self,Locale_SubScenario:event_ltk_03_s_37,False,,1,1,1.0,,,1,idle,d,,Blur_Low,,,
event_ltk_03_s_38,40012,event_ltk_03_s,Narration,Narration,Locale_SubScenario:event_ltk_03_s_38,False,,black,black,1.0,,,1,idle,d,,Blur_Low,,,
