id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,highlight,speaker,effects/0/stop_effect_id,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,fade,characters/1/hide_char_id,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_boomsday_01_s_1,40040,event_boomsday_01_s,Narration,Locale_SubScenario:event_boomsday_01_s_1,False,elegg,1,idle,MissilisOffice,S_10,S_10,1.0,none,fx_Eventscene_camera_recording,rec,True,,,,,,,,,,,,,,,,
event_boomsday_01_s_2,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_2,True,,1,idle,,S_10,S_10,1.0,bgm_story_kneeldownfools,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_3,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_3,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_4,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_4,False,,1,worry,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_5,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_5,True,,1,worry,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_6,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_6,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_7,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_7,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_8,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_8,True,,1,delight,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_9,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_9,False,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_10,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_10,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_11,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_11,True,,1,worry,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_12,40040,event_boomsday_01_s,Narration,Locale_SubScenario:event_boomsday_01_s_12,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,
event_boomsday_01_s_13,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_13,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_14,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_14,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_15,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_15,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_16,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_16,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_17,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_17,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_18,40040,event_boomsday_01_s,Narration,Locale_SubScenario:event_boomsday_01_s_18,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,
event_boomsday_01_s_19,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_19,True,,1,worry,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_20,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_20,True,,1,think,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_21,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_21,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_22,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_22,True,,1,idle,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_23,40040,event_boomsday_01_s,Narration,Locale_SubScenario:event_boomsday_01_s_23,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,
event_boomsday_01_s_24,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_24,True,,1,delight,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
event_boomsday_01_s_25,40040,event_boomsday_01_s,Speech,Locale_SubScenario:event_boomsday_01_s_25,False,,1,delight,,S_10,S_10,1.0,,,,,elegg,elegg,,,,,,,,,,,,,,
