id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,play_ambient,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,play_sound,set_camera_shake
event_icedragonsaga2_02_e_1,40065,event_icedragonsaga2_02_e,Speech,narration,Locale_MainScenario:event_icedragonsaga2_02_e_1,False,SnowTown_i,black,black,1.0,none,,,,,,,,,,,,,,,,,
event_icedragonsaga2_02_e_2,40065,event_icedragonsaga2_02_e,Speech,narration,Locale_MainScenario:event_icedragonsaga2_02_e_2,False,,7,1,1.4,event_bgm_icedragonsaga_curious,,,,,,,,,,,,,,,,,
event_icedragonsaga2_02_e_3,40065,event_icedragonsaga2_02_e,Speech,narration,Locale_MainScenario:event_icedragonsaga2_02_e_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_icedragonsaga2_02_e_4,40065,event_icedragonsaga2_02_e,Speech,narration,Locale_MainScenario:event_icedragonsaga2_02_e_4,False,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_icedragonsaga2_02_e_5,40065,event_icedragonsaga2_02_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_02_e_5,True,,1,1,1.0,,maiden_w,guillotine_w,2,no,maiden_w,12,worry,,,,,,,,,,
event_icedragonsaga2_02_e_6,40065,event_icedragonsaga2_02_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_02_e_6,True,,1,1,1.0,,maiden_w,,2,no,,12,worry,,,,,,,,,,
event_icedragonsaga2_02_e_7,40065,event_icedragonsaga2_02_e,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_02_e_7,True,,1,1,1.0,,guillotine_w,,2,think,,12,worry,,,,,,,,,,
event_icedragonsaga2_02_e_8,40065,event_icedragonsaga2_02_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_02_e_8,True,,1,L_120,1.0,,maiden_w,,2,think,,12,shy,,,,,,,,,,
event_icedragonsaga2_02_e_9,40065,event_icedragonsaga2_02_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_02_e_9,True,,L_120,L_120,1.0,,maiden_w,,2,think,,12,shy,,,,,,,,,,
event_icedragonsaga2_02_e_10,40065,event_icedragonsaga2_02_e,Self,,Locale_MainScenario:event_icedragonsaga2_02_e_10,False,,L_120,L_120,1.0,,maiden_w,,2,think,,12,shy,,,,,,,,,,
event_icedragonsaga2_02_e_11,40065,event_icedragonsaga2_02_e,Speech,narration,Locale_MainScenario:event_icedragonsaga2_02_e_11,False,,S_140,S_140,1.0,,,,2,think,,12,shy,guillotine_w,maiden_w,ambient_scn_burnsilent,black,,,,,,
event_icedragonsaga2_02_e_12,40065,event_icedragonsaga2_02_e,Speech,narration,Locale_MainScenario:event_icedragonsaga2_02_e_12,False,,S_140,S_140,1.0,,,,,,,,,,,,,,,,,,
event_icedragonsaga2_02_e_13,40065,event_icedragonsaga2_02_e,Speech,narration,Locale_MainScenario:event_icedragonsaga2_02_e_13,False,,S_140,S_140,1.0,,exia_c,,,,,,,,,,,exia_c,14,idle,,,
event_icedragonsaga2_02_e_14,40065,event_icedragonsaga2_02_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_02_e_14,True,,1,1,1.0,none,maiden_w,guillotine_w,2,idle,maiden_w,12,surprise,,,,,,14,idle,,,
event_icedragonsaga2_02_e_15,40065,event_icedragonsaga2_02_e,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_02_e_15,True,,1,1,1.0,,guillotine_w,,2,angry,,12,surprise,,,,,,14,idle,,,
event_icedragonsaga2_02_e_16,40065,event_icedragonsaga2_02_e,Speech,exia_c,Locale_MainScenario:event_icedragonsaga2_02_e_16,True,,S_140,S_140,1.0,bgm_story_heynewbie,exia_c,,2,angry,,12,surprise,,,,,,14,idle,,,
event_icedragonsaga2_02_e_17,40065,event_icedragonsaga2_02_e,Speech,exia_c,Locale_MainScenario:event_icedragonsaga2_02_e_17,True,,S_140,S_140,1.0,,exia_c,,2,angry,,12,surprise,,,,,,14,idle,,,
event_icedragonsaga2_02_e_18,40065,event_icedragonsaga2_02_e,Speech,exia_c,Locale_MainScenario:event_icedragonsaga2_02_e_18,True,,S_140,S_140,1.0,,exia_c,,2,angry,,12,surprise,,,,,,14,idle,,,
