id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,play_sound,fade,set_filter_01,set_filter_02
event_lifeagain_03_e_1,40060,event_lifeagain_03_e,Self,rumani,Self,Locale_SubScenario:event_lifeagain_03_e_1,False,rumani,5,idle,nadia,3,angry,FastFood,17,170,1.0,none,,,,,
event_lifeagain_03_e_2,40060,event_lifeagain_03_e,Self,rumani,Self,Locale_SubScenario:event_lifeagain_03_e_2,False,,5,idle,,3,angry,,170,17,1.0,bgm_story_breakaway,,,,,
event_lifeagain_03_e_3,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_3,True,,5,idle,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_4,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_4,True,,5,idle,,3,angry,,L_50,4,1.0,,,,,,
event_lifeagain_03_e_5,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_5,True,,5,idle,,3,angry,,4,4,1.0,,,,,,
event_lifeagain_03_e_6,40060,event_lifeagain_03_e,Monologue,nadia,Monologue,Locale_SubScenario:event_lifeagain_03_e_6,False,,5,idle,,3,angry,,4,XS_30,1.0,,,,,,
event_lifeagain_03_e_7,40060,event_lifeagain_03_e,Monologue,nadia,Monologue,Locale_SubScenario:event_lifeagain_03_e_7,False,,5,idle,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_8,40060,event_lifeagain_03_e,Self,nadia,Self,Locale_SubScenario:event_lifeagain_03_e_8,False,,5,idle,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_9,40060,event_lifeagain_03_e,Self,nadia,Self,Locale_SubScenario:event_lifeagain_03_e_9,False,,5,idle,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_10,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_10,False,,5,idle,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_11,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_11,True,,5,idle,,3,idle,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_12,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_12,True,,5,idle,,3,idle,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_13,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_13,True,,5,idle,,3,idle,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_14,40060,event_lifeagain_03_e,Monologue,nadia,Monologue,Locale_SubScenario:event_lifeagain_03_e_14,False,,5,idle,,3,idle,,black,black,1.0,,nadia,sfx_scn_wheelchiardry,,,
event_lifeagain_03_e_15,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_15,True,,5,idle,,,,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_16,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_16,True,,5,idle,nadia,3,idle,,4,4,1.0,,,,black,,
event_lifeagain_03_e_17,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_17,True,,5,idle,,3,idle,,4,4,1.0,,,,,,
event_lifeagain_03_e_18,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_18,True,,5,idle,,3,angry,,4,4,1.0,,,,,,
event_lifeagain_03_e_19,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_19,True,,5,idle,,3,angry,,4,4,1.0,,,,,,
event_lifeagain_03_e_20,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_20,True,,5,idle,,3,angry,,4,4,1.0,,,,,,
event_lifeagain_03_e_21,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_21,True,,5,idle,,3,angry,,4,4,1.0,,,,,,
event_lifeagain_03_e_22,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_22,True,,5,idle,,3,angry,,4,L_50,1.0,,,,,,
event_lifeagain_03_e_23,40060,event_lifeagain_03_e,Self,rumani,Self,Locale_SubScenario:event_lifeagain_03_e_23,False,,5,idle,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_24,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_24,True,,5,idle,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_25,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_25,True,,5,idle,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_26,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_26,True,,5,idle,,3,angry,ShoppingMall,L_50,L_50,1.0,,,,black,,
event_lifeagain_03_e_27,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_27,True,,5,delight,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_28,40060,event_lifeagain_03_e,Self,rumani,Self,Locale_SubScenario:event_lifeagain_03_e_28,False,,5,delight,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_29,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_29,True,,5,idle,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_30,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_30,True,,5,idle,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_31,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_31,True,,5,idle,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_32,40060,event_lifeagain_03_e,Narration,nadia,Narration,Locale_SubScenario:event_lifeagain_03_e_32,False,,5,idle,,3,angry,,XS_30,3,1.0,,nadia,sfx_scn_wheelchiardry,,,
event_lifeagain_03_e_33,40060,event_lifeagain_03_e,Monologue,nadia,Monologue,Locale_SubScenario:event_lifeagain_03_e_33,False,,5,idle,,,,,3,3,1.0,,,,,,
event_lifeagain_03_e_34,40060,event_lifeagain_03_e,Self,rumani,Self,Locale_SubScenario:event_lifeagain_03_e_34,False,,5,idle,,,,,3,L_50,1.0,,,,,,
event_lifeagain_03_e_35,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_35,True,,5,think,,,,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_36,40060,event_lifeagain_03_e,Self,rumani,Self,Locale_SubScenario:event_lifeagain_03_e_36,False,,5,think,nadia,3,angry,,L_50,L_50,1.0,,,,black,,
event_lifeagain_03_e_37,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_37,True,,5,idle,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_38,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_38,True,,5,idle,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_39,40060,event_lifeagain_03_e,Narration,nadia,Narration,Locale_SubScenario:event_lifeagain_03_e_39,False,,5,idle,,3,angry,,XS_30,3,1.0,,nadia,sfx_scn_wheelchiardry,,,
event_lifeagain_03_e_40,40060,event_lifeagain_03_e,Self,nadia,Self,Locale_SubScenario:event_lifeagain_03_e_40,False,,5,idle,,,,,3,L_50,1.0,,,,,,
event_lifeagain_03_e_41,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_41,True,,5,idle,,,,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_42,40060,event_lifeagain_03_e,Self,rumani,Self,Locale_SubScenario:event_lifeagain_03_e_42,False,,5,idle,nadia,3,angry,,L_50,L_50,1.0,,,,black,,
event_lifeagain_03_e_43,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_43,True,,5,idle,,3,angry,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_44,40060,event_lifeagain_03_e,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_03_e_44,True,,5,idle,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_03_e_45,40060,event_lifeagain_03_e,Narration,nadia,Narration,Locale_SubScenario:event_lifeagain_03_e_45,False,,5,idle,,3,angry,,XS_30,3,1.0,,nadia,sfx_scn_wheelchiardry,,,
event_lifeagain_03_e_46,40060,event_lifeagain_03_e,Self,rumani,Self,Locale_SubScenario:event_lifeagain_03_e_46,False,,5,idle,,,,,3,L_50,1.0,,,,,,
event_lifeagain_03_e_47,40060,event_lifeagain_03_e,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_03_e_47,True,,5,think,,,,,L_50,L_50,1.0,,,,,,
event_lifeagain_03_e_48,40060,event_lifeagain_03_e,Monologue,rumani,Monologue,Locale_SubScenario:event_lifeagain_03_e_48,False,,5,think,nadia,3,angry,,black,black,1.0,,,,,,
event_lifeagain_03_e_49,40060,event_lifeagain_03_e,Monologue,rumani,Monologue,Locale_SubScenario:event_lifeagain_03_e_49,False,,5,think,,3,angry,,17,17,1.0,,,,,,
event_lifeagain_03_e_50,40060,event_lifeagain_03_e,Monologue,rumani,Monologue,Locale_SubScenario:event_lifeagain_03_e_50,False,,5,think,,3,angry,,17,170,1.0,,,,,,
event_lifeagain_03_e_51,40060,event_lifeagain_03_e,Self,nadia,Self,Locale_SubScenario:event_lifeagain_03_e_51,False,,5,think,,3,angry,,170,3,1.5,,,,,,
