id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
re_event_ce02_1_03_s_1,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_1,True,TechIndoor_n,53,53,1.0,event_bgm_ce002_story_2,,,rapi,1,idle,anis,3,worry,neon,5,idle,c1002_02,13,idle,b0006_02,15,idle,6000d_02,17,idle
re_event_ce02_1_03_s_2,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_2,True,,53,53,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_3,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_3,True,,53,53,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_4,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_4,True,,53,53,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_5,40082,re_event_ce02_1_03_s,Choice,,,Locale_SubScenario:event_ce02_1_03_s_5,False,,53,53,1.0,,re_event_ce02_1_03_s_7,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_6,40082,re_event_ce02_1_03_s,Choice,,,Locale_SubScenario:event_ce02_1_03_s_6,False,,53,53,1.0,,re_event_ce02_1_03_s_7,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_7,40082,re_event_ce02_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_03_s_7,False,,10,10,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_8,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_8,True,,30,30,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_9,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_9,True,,30,30,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_10,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_10,True,,30,3,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_11,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_11,True,,3,3,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_12,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_12,True,,3,3,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_13,40082,re_event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_13,True,,3,3,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
re_event_ce02_1_03_s_14,40082,re_event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_14,True,,3,53,1.0,,,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle
