id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_redash1_05_e_1,40031,event_redash1_05_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_05_e_1,True,BattleShipBridge,17,170,1.0,event_bgm_redash_facethat,,,,,liliweiss,17,angry,,commander,15,no,,redhood,13,idle,,snowwhite_o,1,angry,,,,,,,,,,,,,
event_redash1_05_e_2,40031,event_redash1_05_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_05_e_2,True,,170,170,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_3,40031,event_redash1_05_e,Speech,commander,commander,Locale_MainScenario:event_redash1_05_e_3,True,,170,1517,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_4,40031,event_redash1_05_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_05_e_4,True,,1517,1517,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_5,40031,event_redash1_05_e,Speech,commander,commander,Locale_MainScenario:event_redash1_05_e_5,True,,1517,L_150,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_6,40031,event_redash1_05_e,Speech,commander,commander,Locale_MainScenario:event_redash1_05_e_6,True,,L_150,L_150,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_7,40031,event_redash1_05_e,Speech,commander,commander,Locale_MainScenario:event_redash1_05_e_7,True,,L_150,L_150,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_8,40031,event_redash1_05_e,Speech,commander,commander,Locale_MainScenario:event_redash1_05_e_8,True,,L_150,L_1500,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_9,40031,event_redash1_05_e,Speech,commander,commander,Locale_MainScenario:event_redash1_05_e_9,True,,L_1500,L_1500,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_10,40031,event_redash1_05_e,Speech,commander,commander,Locale_MainScenario:event_redash1_05_e_10,True,,L_1500,L_1500,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_11,40031,event_redash1_05_e,Speech,commander,commander,Locale_MainScenario:event_redash1_05_e_11,True,,L_1500,L_150,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_12,40031,event_redash1_05_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_05_e_12,True,,L_150,113,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_13,40031,event_redash1_05_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_05_e_13,True,,113,113,1.0,,,,,,,17,angry,,,15,no,,,13,idle,,,1,angry,,,,,,,,,,,,,
event_redash1_05_e_14,40031,event_redash1_05_e,Narration,,,Locale_MainScenario:event_redash1_05_e_14,False,,black,black,1.0,,,,,,,17,angry,liliweiss,,15,no,commander,,13,idle,redhood,,1,angry,snowwhite_o,redash_11,1,idle,,,,,,,,,
event_redash1_05_e_15,40031,event_redash1_05_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_05_e_15,True,,pinklove_01,pinklove_01,1.0,,,,,,,,,,,,,,,,,,,,,,,1,idle,,,,,,,,,
