id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,speaker,play_sound,set_camera_shake,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_unbreakablesphere2_03_e_1,40076,event_unbreakablesphere2_03_e,Monologue,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_1,False,ArkCleanIndoor,black,black,1.0,event_bgm_ubsphere_wordless,Vignetting,,,,,,yuni_n,1,idle,,mori,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_2,40076,event_unbreakablesphere2_03_e,Monologue,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_2,False,,S_30,S_300,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_3,40076,event_unbreakablesphere2_03_e,Monologue,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_3,False,,S_300,S_300,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_4,40076,event_unbreakablesphere2_03_e,Monologue,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_4,False,,S_300,S_300,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_5,40076,event_unbreakablesphere2_03_e,Monologue,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_5,False,,S_300,S_300,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_6,40076,event_unbreakablesphere2_03_e,Monologue,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_6,False,,S_300,S_300,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_7,40076,event_unbreakablesphere2_03_e,Monologue,yuni_n,Locale_MainScenario:event_unbreakablesphere2_03_e_7,False,,S_300,L_100,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_8,40076,event_unbreakablesphere2_03_e,Monologue,yuni_n,Locale_MainScenario:event_unbreakablesphere2_03_e_8,False,,L_100,L_100,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_9,40076,event_unbreakablesphere2_03_e,Monologue,yuni_n,Locale_MainScenario:event_unbreakablesphere2_03_e_9,False,,L_100,L_10,0.5,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_10,40076,event_unbreakablesphere2_03_e,Speech,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_10,True,,L_10,31,1.0,,,mori,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_11,40076,event_unbreakablesphere2_03_e,Narration,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_11,False,,31,31,1.0,,,,sfx_scn_unstablewalk,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_12,40076,event_unbreakablesphere2_03_e,Speech,yuni_n,Locale_MainScenario:event_unbreakablesphere2_03_e_12,False,,31,31,1.0,,,yuni_n,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_13,40076,event_unbreakablesphere2_03_e,Narration,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_13,False,,31,S_30,1.0,,,,sfx_scn_walkturf,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_14,40076,event_unbreakablesphere2_03_e,Monologue,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_14,False,,S_30,S_300,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_15,40076,event_unbreakablesphere2_03_e,Monologue,mori,Locale_MainScenario:event_unbreakablesphere2_03_e_15,False,,S_300,S_300,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_16,40076,event_unbreakablesphere2_03_e,Monologue,yuni_n,Locale_MainScenario:event_unbreakablesphere2_03_e_16,False,,black,black,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_17,40076,event_unbreakablesphere2_03_e,Monologue,yuni_n,Locale_MainScenario:event_unbreakablesphere2_03_e_17,False,,black,black,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
event_unbreakablesphere2_03_e_18,40076,event_unbreakablesphere2_03_e,Monologue,yuni_n,Locale_MainScenario:event_unbreakablesphere2_03_e_18,False,,L_100,L_100,1.0,,Vignetting,,,,,,,1,idle,,,3,think,,,,,,,,,
