id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_romanticvalentine_01_e_1,40069,event_romanticvalentine_01_e,Narration,Locale_SubScenario:event_romanticvalentine_01_e_1,False,City_d,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_01_e_2,40069,event_romanticvalentine_01_e,Monologue,Locale_SubScenario:event_romanticvalentine_01_e_2,False,,10,10,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_01_e_3,40069,event_romanticvalentine_01_e,Monologue,Locale_SubScenario:event_romanticvalentine_01_e_3,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_01_e_4,40069,event_romanticvalentine_01_e,Monologue,Locale_SubScenario:event_romanticvalentine_01_e_4,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_01_e_5,40069,event_romanticvalentine_01_e,Self,Locale_SubScenario:event_romanticvalentine_01_e_5,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_01_e_6,40069,event_romanticvalentine_01_e,Self,Locale_SubScenario:event_romanticvalentine_01_e_6,False,MaidCafe,10,10,1.0,,ade,1,idle,black,,,,,,,,,,,,,,,,
event_romanticvalentine_01_e_7,40069,event_romanticvalentine_01_e,Speech,Locale_SubScenario:event_romanticvalentine_01_e_7,True,,10,10,1.0,,,1,idle,,ade,ade,,,,,,,,,,,,,,
event_romanticvalentine_01_e_8,40069,event_romanticvalentine_01_e,Speech,Locale_SubScenario:event_romanticvalentine_01_e_8,True,,10,10,1.0,,,1,idle,,ade,ade,,,,,,,,,,,,,,
event_romanticvalentine_01_e_9,40069,event_romanticvalentine_01_e,Speech,Locale_SubScenario:event_romanticvalentine_01_e_9,True,,10,10,1.0,,,1,idle,,ade,ade,,,,,,,,,,,,,,
event_romanticvalentine_01_e_10,40069,event_romanticvalentine_01_e,Self,Locale_SubScenario:event_romanticvalentine_01_e_10,False,,10,10,1.0,,,1,idle,,ade,,,,,,,,,,,,,,,
event_romanticvalentine_01_e_11,40069,event_romanticvalentine_01_e,Speech,Locale_SubScenario:event_romanticvalentine_01_e_11,True,,10,XS_130,1.0,,,1,idle,,cocoa,cocoa,cocoa,13,serious,soda,15,think,,,,,,,,
event_romanticvalentine_01_e_12,40069,event_romanticvalentine_01_e,Speech,Locale_SubScenario:event_romanticvalentine_01_e_12,True,,XS_130,XS_130,1.0,,,1,idle,,cocoa,cocoa,,13,serious,,15,think,,,,,,,,
event_romanticvalentine_01_e_13,40069,event_romanticvalentine_01_e,Speech,Locale_SubScenario:event_romanticvalentine_01_e_13,True,,XS_130,XS_130,1.0,,,1,idle,,cocoa,cocoa,,13,serious,,15,think,,,,,,,,
