id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
event_ce003_2_06_e_1,40042,event_ce003_2_06_e,Narration,Locale_SubScenario:event_ce003_2_06_e_1,False,GateKeeper,black,black,1.0,sfx_scn_rapturelandingmany,bgm_emergency,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_e_2,40042,event_ce003_2_06_e,Monologue,Locale_SubScenario:event_ce003_2_06_e_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_e_3,40042,event_ce003_2_06_e,Monologue,Locale_SubScenario:event_ce003_2_06_e_3,False,,1,5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_e_4,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_4,True,,5,S_50,1.0,,,neon,neon,rapi,1,idle,anis,3,void,neon,5,idle,ce_003_02,13,idle,ce_003_01,15,idle,ce_003_03,17,idle,,,,,,,
event_ce003_2_06_e_5,40042,event_ce003_2_06_e,Monologue,Locale_SubScenario:event_ce003_2_06_e_5,False,,black,black,1.0,,,neon,,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_6,40042,event_ce003_2_06_e,Narration,Locale_SubScenario:event_ce003_2_06_e_6,False,,black,black,1.0,sfx_scn_rapturelanding,none,neon,,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_7,40042,event_ce003_2_06_e,Monologue,Locale_SubScenario:event_ce003_2_06_e_7,False,CityForest_01_n,black,black,1.0,,,neon,,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_8,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_8,True,,30,30,1.0,,,anis,anis,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle,black,,,,,,
event_ce003_2_06_e_9,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_9,True,,30,30,1.0,,,anis,anis,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_10,40042,event_ce003_2_06_e,Self,Locale_SubScenario:event_ce003_2_06_e_10,False,,30,30,1.0,,,anis,,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_11,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_11,True,,S_150,16,2.0,,bgm_story_inwonderland,ce_003_01,ce_003_01,,1,idle,,3,worry,,5,idle,,13,idle,,15,surprise,,17,idle,,,,,,,
event_ce003_2_06_e_12,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_12,True,,16,16,1.0,,,ce_003_03,ce_003_03,,1,idle,,3,void,,5,idle,,13,idle,,15,surprise,,17,idle,,,,,,,
event_ce003_2_06_e_13,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_13,True,,16,14,1.0,,,ce_003_01,ce_003_01,,1,idle,,3,void,,5,idle,,13,idle,,15,surprise,,17,idle,,,,,,,
event_ce003_2_06_e_14,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_14,True,,14,14,1.0,,,ce_003_02,ce_003_02,,1,idle,,3,void,,5,idle,,13,idle,,15,surprise,,17,idle,,,,,,,
event_ce003_2_06_e_15,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_15,True,,2,2,1.0,,,rapi,rapi,,1,idle,,3,void,,5,idle,,13,idle,,15,surprise,,17,idle,,,,,,,
event_ce003_2_06_e_16,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_16,True,,2,2,1.0,,,anis,anis,,1,idle,,3,idle,,5,idle,,13,idle,,15,surprise,,17,idle,,,,,,,
event_ce003_2_06_e_17,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_17,True,,130,130,2.0,,,ce_003_02,ce_003_02,,1,idle,,3,idle,,5,idle,,13,shy,,15,surprise,,17,idle,,,,,,,
event_ce003_2_06_e_18,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_18,True,,130,S_150,1.0,,,ce_003_01,ce_003_01,,1,idle,,3,idle,,5,idle,,13,shy,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_19,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_19,True,,S_150,170,1.0,,,ce_003_03,ce_003_03,,1,idle,,3,idle,,5,idle,,13,shy,,15,idle,,17,smile,,,,,,,
event_ce003_2_06_e_20,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_20,True,,S_50,S_50,1.0,,,neon,neon,,1,idle,,3,idle,,5,delight,,13,shy,,15,idle,,17,smile,,,,,,,
event_ce003_2_06_e_21,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_21,True,,S_50,S_50,1.0,,,neon,neon,,1,idle,,3,idle,,5,delight,,13,shy,,15,idle,,17,smile,,,,,,,
event_ce003_2_06_e_22,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_22,True,,S_150,S_150,1.0,,,ce_003_01,ce_003_01,,1,idle,,3,idle,,5,delight,,13,idle,,15,idle,,17,smile,,,,,,,
event_ce003_2_06_e_23,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_23,True,,S_150,170,1.0,,,ce_003_03,ce_003_03,,1,idle,,3,idle,,5,delight,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_24,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_24,True,,170,16,2.0,,,ce_003_01,ce_003_01,,1,idle,,3,idle,,5,delight,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_25,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_25,True,,16,14,1.0,,,ce_003_02,ce_003_02,,1,idle,,3,idle,,5,delight,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_26,40042,event_ce003_2_06_e,Self,Locale_SubScenario:event_ce003_2_06_e_26,False,,14,14,1.0,,,ce_003_02,,,1,idle,,3,idle,,5,delight,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_27,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_27,True,,14,130,1.0,,,ce_003_02,ce_003_02,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_28,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_28,True,,130,130,1.0,,,ce_003_02,ce_003_02,,1,idle,,3,idle,,5,idle,,13,delight,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_29,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_29,True,,130,130,1.0,,,ce_003_02,ce_003_02,,1,idle,,3,idle,,5,idle,,13,delight,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_30,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_30,True,,130,130,1.0,,,ce_003_02,ce_003_02,,1,idle,,3,idle,,5,idle,,13,delight,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_31,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_31,True,,130,130,1.0,,,ce_003_02,ce_003_02,,1,idle,,3,idle,,5,idle,,13,delight,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_32,40042,event_ce003_2_06_e,Self,Locale_SubScenario:event_ce003_2_06_e_32,False,,130,130,1.0,,,ce_003_02,,,1,idle,,3,idle,,5,idle,,13,delight,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_33,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_33,True,,130,14,1.0,,,ce_003_02,ce_003_02,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_34,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_34,True,,14,14,1.0,,,ce_003_01,ce_003_01,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_35,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_35,True,,14,16,1.0,,,ce_003_03,ce_003_03,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_36,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_36,True,,10,10,1.0,,,rapi,rapi,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_37,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_37,True,,10,10,1.0,,,rapi,rapi,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_38,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_38,True,,10,30,1.0,,,anis,anis,,1,delight,,3,delight,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_39,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_39,True,,30,S_50,1.0,,,neon,neon,,1,delight,,3,delight,,5,delight,,13,idle,,15,idle,,17,idle,,,,,,,
event_ce003_2_06_e_40,40042,event_ce003_2_06_e,Self,Locale_SubScenario:event_ce003_2_06_e_40,False,White,black,black,1.0,,,neon,,,1,delight,,3,delight,,5,delight,,13,idle,,15,idle,,17,idle,,ce_003_02,ce_003_01,ce_003_03,,,
event_ce003_2_06_e_41,40042,event_ce003_2_06_e,Narration,Locale_SubScenario:event_ce003_2_06_e_41,False,,150,15,2.0,,none,neon,,,1,delight,,3,delight,,5,idle,,,,,,,,,,,,,,rapi,anis,neon
event_ce003_2_06_e_42,40042,event_ce003_2_06_e,Monologue,Locale_SubScenario:event_ce003_2_06_e_42,False,CityForest_01_n,1,4,2.0,,,neon,,rapi,1,idle,anis,3,delight,neon,5,idle,,,,,,,,,,black,,,,,,
event_ce003_2_06_e_43,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_43,True,,4,4,1.0,,,neon,neon,,1,idle,,3,idle,,5,worry,,,,,,,,,,,,,,,,
event_ce003_2_06_e_44,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_44,True,,4,4,1.0,,,anis,anis,,1,idle,,3,worry,,5,worry,,,,,,,,,,,,,,,,
event_ce003_2_06_e_45,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_45,True,,4,2,1.0,,,rapi,rapi,,1,idle,,3,worry,,5,worry,,,,,,,,,,,,,,,,
event_ce003_2_06_e_46,40042,event_ce003_2_06_e,Speech,Locale_SubScenario:event_ce003_2_06_e_46,True,,2,10,1.0,,,rapi,rapi,,1,idle,,3,worry,,5,worry,,,,,,,,,,,,,,,,
event_ce003_2_06_e_47,40042,event_ce003_2_06_e,Self,Locale_SubScenario:event_ce003_2_06_e_47,False,,10,10,1.0,,,,,,1,idle,,3,worry,,5,worry,,,,,,,,,,,,,,,,
