id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,speaker,play_sound
event_beautyfullshot2_01_s_1,40052,event_beautyfullshot2_01_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_1,False,sakura_s,1,smile,BeachCaveFog,10,10,1.0,ambient_scn_calmsea,event_bgm_beautyfullshot_coral,,
event_beautyfullshot2_01_s_2,40052,event_beautyfullshot2_01_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_2,True,,1,smile,,10,10,1.0,,,sakura_s,
event_beautyfullshot2_01_s_3,40052,event_beautyfullshot2_01_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_3,True,,1,smile,,10,10,1.0,,,sakura_s,
event_beautyfullshot2_01_s_4,40052,event_beautyfullshot2_01_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_4,False,,1,smile,,10,10,1.0,,,,
event_beautyfullshot2_01_s_5,40052,event_beautyfullshot2_01_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_5,True,,1,smile,,10,10,1.0,,,sakura_s,
event_beautyfullshot2_01_s_6,40052,event_beautyfullshot2_01_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_6,True,,1,smile,,10,10,1.0,,,sakura_s,
event_beautyfullshot2_01_s_7,40052,event_beautyfullshot2_01_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_7,True,,1,smile,,10,10,1.0,,,sakura_s,
event_beautyfullshot2_01_s_8,40052,event_beautyfullshot2_01_s,Self,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_8,False,,1,smile,,10,10,1.0,,,,
event_beautyfullshot2_01_s_9,40052,event_beautyfullshot2_01_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_9,True,,1,smile,,10,10,1.0,,,sakura_s,
event_beautyfullshot2_01_s_10,40052,event_beautyfullshot2_01_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot2_01_s_10,True,,1,smile,,10,10,1.0,,,sakura_s,
