id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/1/hide_char_id,characters/2/hide_char_id,play_sound
event_lionheart_02_s_1,40037,event_lionheart_02_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_02_s_1,True,leona_no,1,idle,biscuit,13,idle,nero,3,idle,SchoolCorridor,Leo_10,Leo_10,1.0,bgm_story_languor,,,,
event_lionheart_02_s_2,40037,event_lionheart_02_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_02_s_2,True,,1,idle,,13,idle,,3,idle,,Leo_10,XS_130,1.0,,,,,
event_lionheart_02_s_3,40037,event_lionheart_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_s_3,True,,1,idle,,13,sad,,3,idle,,XS_130,XS_130,1.0,,,,,
event_lionheart_02_s_4,40037,event_lionheart_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_s_4,True,,1,idle,,13,sad,,3,idle,,XS_130,XS_130,1.0,,,,,
event_lionheart_02_s_5,40037,event_lionheart_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_s_5,True,,1,idle,,13,sad,,3,idle,,XS_130,XS_130,1.0,,,,,
event_lionheart_02_s_6,40037,event_lionheart_02_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_02_s_6,True,,1,idle,,13,sad,,3,idle,,XS_130,XS_130,1.0,,,,,
event_lionheart_02_s_7,40037,event_lionheart_02_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_s_7,True,,1,idle,,13,sad,,3,idle,,XS_130,XS_1300,2.0,,,,,
event_lionheart_02_s_8,40037,event_lionheart_02_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_02_s_8,True,,1,idle,,13,sad,,3,idle,,L_30,L_30,1.0,,,,,
event_lionheart_02_s_9,40037,event_lionheart_02_s,Speech,nero,nero,Locale_SubScenario:event_lionheart_02_s_9,True,,1,idle,,13,sad,,3,idle,,L_30,L_30,1.0,,,,,
event_lionheart_02_s_10,40037,event_lionheart_02_s,Speech,nero,nero,Locale_SubScenario:event_lionheart_02_s_10,True,,1,idle,,13,sad,,3,idle,,L_30,L_30,1.0,,,,,
