id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_ambient,set_filter_01,set_camera_shake
event_oldtales1_04_s_1,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_1,True,cinderella,3,void_blue,CinderellaSky_1,3,3,1.0,event_bgm_oldtales_mirror,,,,
event_oldtales1_04_s_2,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_2,True,,3,void_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_3,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_3,True,,3,void_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_4,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_4,True,,3,void_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_5,40061,event_oldtales1_04_s,Speech,UNsignaller,UNsignaller,Locale_MainScenario:event_oldtales1_04_s_5,True,,3,void_blue,CityForest_04,15,15,1.0,,cinderella,ambient_scn_war,Grey,
event_oldtales1_04_s_6,40061,event_oldtales1_04_s,Speech,UNsignaller,UNsignaller,Locale_MainScenario:event_oldtales1_04_s_6,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_7,40061,event_oldtales1_04_s,Speech,UNsignaller,UNsignaller,Locale_MainScenario:event_oldtales1_04_s_7,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_8,40061,event_oldtales1_04_s,Speech,UNsignaller,UNsignaller,Locale_MainScenario:event_oldtales1_04_s_8,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_9,40061,event_oldtales1_04_s,Speech,UNsignaller,UNsignaller,Locale_MainScenario:event_oldtales1_04_s_9,True,,,,,15,15,1.0,,,,Grey,
event_oldtales1_04_s_10,40061,event_oldtales1_04_s,Speech,UNsignaller,UNsignaller,Locale_MainScenario:event_oldtales1_04_s_10,True,,,,,15,15,1.0,,,,Grey,Low_2
event_oldtales1_04_s_11,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_11,True,cinderella,3,idle_blue,CinderellaSky_1,3,3,1.0,,,none,,
event_oldtales1_04_s_12,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_12,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_13,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_13,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_14,40061,event_oldtales1_04_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_04_s_14,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_15,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_15,True,,3,idle_blue,,3,3,1.0,,,,,
event_oldtales1_04_s_16,40061,event_oldtales1_04_s,Speech,mirror,mirror,Locale_MainScenario:event_oldtales1_04_s_16,True,,3,idle_blue,,3,3,1.0,,,,,
