id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_ce004_3_06_e_1,40057,event_ce004_3_06_e,Narration,Locale_SubScenario:event_ce004_3_06_e_1,False,MassiveObject_2,black,black,1.0,sfx_scn_explosionhuge,event_bgm_ce004_grosbidule,,,,,ce004_01,1,think,,ce004_02,13,idle,,zwei,3,idle,,ein,5,idle,
event_ce004_3_06_e_2,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_2,True,,50,5,1.0,,,ein,ein,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_3,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_3,True,,5,5,1.0,,,ein,ein,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_4,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_4,True,,5,53,1.0,,,zwei,zwei,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_5,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_5,True,,53,53,1.0,,,zwei,zwei,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_6,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_6,True,,53,53,1.0,,,ein,ein,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_7,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_7,True,,53,1,1.0,,,ce004_01,ce004_01,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_8,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_8,True,,1,10,1.0,,,ce004_01,ce004_01,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_9,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_9,True,,50,50,1.0,,,ein,ein,,,,1,think,,,13,idle,,,3,idle,,,5,delight,
event_ce004_3_06_e_10,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_10,True,,50,500,1.0,,,ein,ein,,,,1,think,,,13,idle,,,3,idle,,,5,delight,
event_ce004_3_06_e_11,40057,event_ce004_3_06_e,Monologue,Locale_SubScenario:event_ce004_3_06_e_11,False,,500,500,1.0,sfx_scn_nearfeather,,ein,,,,,1,think,,,13,idle,,,3,idle,,,5,delight,
event_ce004_3_06_e_12,40057,event_ce004_3_06_e,Narration,Locale_SubScenario:event_ce004_3_06_e_12,False,,500,500,1.0,sfx_scn_explosions,,ein,,Low_2,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_13,40057,event_ce004_3_06_e,Monologue,Locale_SubScenario:event_ce004_3_06_e_13,False,,500,500,1.0,,,ein,,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_14,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_14,True,,500,50,1.0,,,ein,ein,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_15,40057,event_ce004_3_06_e,Narration,Locale_SubScenario:event_ce004_3_06_e_15,False,,50,50,1.0,sfx_scn_eba004transform,,ein,,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_16,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_16,True,,50,30,1.0,,,zwei,zwei,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_17,40057,event_ce004_3_06_e,Monologue,Locale_SubScenario:event_ce004_3_06_e_17,False,,30,30,1.0,sfx_scn_c390ult,,zwei,,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_18,40057,event_ce004_3_06_e,Narration,Locale_SubScenario:event_ce004_3_06_e_18,False,,30,30,1.0,sfx_scn_buildingexp,,zwei,,Low_2,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_19,40057,event_ce004_3_06_e,Monologue,Locale_SubScenario:event_ce004_3_06_e_19,False,,30,30,1.0,,,zwei,,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_20,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_20,True,,30,30,1.0,,,zwei,zwei,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_21,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_21,True,,30,50,1.0,,,ein,ein,,,,1,think,,,13,idle,,,3,idle,,,5,idle,
event_ce004_3_06_e_22,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_22,True,,130,1300,0.7,,,ce004_02,ce004_02,,,,1,think,,,13,angry,,,3,idle,,,5,idle,
event_ce004_3_06_e_23,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_23,True,,1300,100,1.0,,,ce004_01,ce004_01,,,,1,think,,,13,angry,,,3,idle,,,5,idle,
event_ce004_3_06_e_24,40057,event_ce004_3_06_e,Speech,Locale_SubScenario:event_ce004_3_06_e_24,True,,100,1,1.0,,,ce004_01,ce004_01,,,,1,angry,,,13,angry,,,3,idle,,,5,idle,
event_ce004_3_06_e_25,40057,event_ce004_3_06_e,Narration,Locale_SubScenario:event_ce004_3_06_e_25,False,,1,1,1.0,sfx_scn_fireblindly,,ce004_01,,Low_2,,,1,angry,,,13,angry,,,3,idle,,,5,idle,
event_ce004_3_06_e_26,40057,event_ce004_3_06_e,Monologue,Locale_SubScenario:event_ce004_3_06_e_26,False,,1,113,1.0,,,ce004_01,,,,,1,angry,,,13,angry,,,3,idle,,,5,idle,
event_ce004_3_06_e_27,40057,event_ce004_3_06_e,Narration,Locale_SubScenario:event_ce004_3_06_e_27,False,,113,113,1.0,sfx_scn_crystalbreak2,,ce004_01,,,,,1,angry,ce004_01,,13,angry,ce004_02,,3,idle,zwei,,5,idle,ein
event_ce004_3_06_e_28,40057,event_ce004_3_06_e,Monologue,Locale_SubScenario:event_ce004_3_06_e_28,False,,113,1,1.0,,,ce004_01,,,,,,,,,,,,,,,,,,,
event_ce004_3_06_e_29,40057,event_ce004_3_06_e,Narration,Locale_SubScenario:event_ce004_3_06_e_29,False,,1,1,1.0,sfx_scn_eba004down,,ce004_01,,Low_2,,,,,,,,,,,,,,,,,
