id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,fade,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_overthehorizon_04_e_1,40081,event_overthehorizon_04_e,Monologue,Locale_SubScenario:event_overthehorizon_04_e_1,False,RoyalRoad,black,black,1.0,bgm_story_cottoncandy,,,,,,sora,1,idle,,,,
event_overthehorizon_04_e_2,40081,event_overthehorizon_04_e,Monologue,Locale_SubScenario:event_overthehorizon_04_e_2,False,,black,black,1.0,,,,,,,,1,idle,,,,
event_overthehorizon_04_e_3,40081,event_overthehorizon_04_e,Narration,Locale_SubScenario:event_overthehorizon_04_e_3,False,,100,10,1.0,,sfx_scn_buggerbite,,,,,,1,idle,,,,
event_overthehorizon_04_e_4,40081,event_overthehorizon_04_e,Monologue,Locale_SubScenario:event_overthehorizon_04_e_4,False,,10,10,1.0,,,,,,,,1,idle,,,,
event_overthehorizon_04_e_5,40081,event_overthehorizon_04_e,Speech,Locale_SubScenario:event_overthehorizon_04_e_5,True,,10,10,1.0,,,sora,sora,,,,1,idle,,,,
event_overthehorizon_04_e_6,40081,event_overthehorizon_04_e,Speech,Locale_SubScenario:event_overthehorizon_04_e_6,True,,10,10,1.0,,,sora,sora,,,,1,idle,,,,
event_overthehorizon_04_e_7,40081,event_overthehorizon_04_e,Speech,Locale_SubScenario:event_overthehorizon_04_e_7,True,,10,10,1.0,,,sora,sora,,,,1,idle,,,,
event_overthehorizon_04_e_8,40081,event_overthehorizon_04_e,Monologue,Locale_SubScenario:event_overthehorizon_04_e_8,False,,10,10,1.0,,,sora,,,,,1,idle,,,,
event_overthehorizon_04_e_9,40081,event_overthehorizon_04_e,Self,Locale_SubScenario:event_overthehorizon_04_e_9,False,,10,10,1.0,,,sora,,,,,1,idle,,,,
event_overthehorizon_04_e_10,40081,event_overthehorizon_04_e,Monologue,Locale_SubScenario:event_overthehorizon_04_e_10,False,,10,10,1.0,,,sora,,,,,1,idle,,,,
event_overthehorizon_04_e_11,40081,event_overthehorizon_04_e,Speech,Locale_SubScenario:event_overthehorizon_04_e_11,False,,10,10,1.0,,,sora,sonboy,,,,1,idle,,,,
event_overthehorizon_04_e_12,40081,event_overthehorizon_04_e,Speech,Locale_SubScenario:event_overthehorizon_04_e_12,False,,10,10,1.0,,,sora,momwoman,,,,1,idle,,,,
event_overthehorizon_04_e_13,40081,event_overthehorizon_04_e,Monologue,Locale_SubScenario:event_overthehorizon_04_e_13,False,,10,100,1.0,,,sora,,,,,1,idle,,,,
event_overthehorizon_04_e_14,40081,event_overthehorizon_04_e,Monologue,Locale_SubScenario:event_overthehorizon_04_e_14,False,,100,100,1.0,,,sora,,,,,1,idle,,,,
event_overthehorizon_04_e_15,40081,event_overthehorizon_04_e,Monologue,Locale_SubScenario:event_overthehorizon_04_e_15,False,City_d,100,10,1.0,,,sora,,black,,,1,idle,,,,
event_overthehorizon_04_e_16,40081,event_overthehorizon_04_e,Speech,Locale_SubScenario:event_overthehorizon_04_e_16,True,,10,10,1.0,,,sora,sora,,,,1,idle,,,,
event_overthehorizon_04_e_17,40081,event_overthehorizon_04_e,Monologue,Locale_SubScenario:event_overthehorizon_04_e_17,False,,10,10,1.0,,,sora,,,,,1,idle,,,,
event_overthehorizon_04_e_18,40081,event_overthehorizon_04_e,Speech,Locale_SubScenario:event_overthehorizon_04_e_18,False,,10,10,1.0,,,sora,children,,,,1,idle,,,,
