id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,characters/0/hide_char_id,characters/1/hide_char_id
event_icedragonsaga2_05_e_1,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_1,False,EventScene_icedragonsaga_10_2,EventScene_icedragonsaga_10_2_1,EventScene_icedragonsaga_10_2_1,1.0,bgm_story_monochrome,,,,,,,,,,,,
event_icedragonsaga2_05_e_2,40065,event_icedragonsaga2_05_e,Narration,,Locale_MainScenario:event_icedragonsaga2_05_e_2,False,,EventScene_icedragonsaga_10_2_1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_3,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_3,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_4,40065,event_icedragonsaga2_05_e,Narration,,Locale_MainScenario:event_icedragonsaga2_05_e_4,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_5,40065,event_icedragonsaga2_05_e,Narration,,Locale_MainScenario:event_icedragonsaga2_05_e_5,False,,1,1,1.0,,sfx_scn_retromessage,,,,,,,,,,,
event_icedragonsaga2_05_e_6,40065,event_icedragonsaga2_05_e,Narration,,Locale_MainScenario:event_icedragonsaga2_05_e_6,False,,1,1,1.0,,sfx_scn_retromessage,,,,,,,,,,,
event_icedragonsaga2_05_e_7,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_7,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_8,40065,event_icedragonsaga2_05_e,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_05_e_8,False,,black,black,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_9,40065,event_icedragonsaga2_05_e,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_05_e_9,False,,black,black,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_10,40065,event_icedragonsaga2_05_e,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_05_e_10,False,,black,black,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_11,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_11,False,,black,black,1.0,none,,black,,,,,,,,,,
event_icedragonsaga2_05_e_12,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_12,False,,black,black,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_13,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_13,False,,black,black,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_14,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_14,False,,black,black,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_15,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_15,False,,black,black,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_16,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_16,False,EventScene_BeautyFullShot_04,1,1,1.0,bgm_frostpillar,,black,Grey,,,,,,,,,
event_icedragonsaga2_05_e_17,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_17,False,EventTitle_Darkhero_01,1,1,1.0,,,black,Grey,,,,,,,,,
event_icedragonsaga2_05_e_18,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_18,False,EventScene_icedragonsaga_10_2,1,1,1.0,,,black,,,,,,,,,,
event_icedragonsaga2_05_e_19,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_19,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_20,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_20,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_21,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_21,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_22,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_22,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_23,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_23,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_24,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_24,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_25,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_25,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_26,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_26,False,,1,1,1.0,,,,,,,,,,,,,
event_icedragonsaga2_05_e_27,40065,event_icedragonsaga2_05_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_05_e_27,False,,1,1,1.0,,,,,,,,,,,,,
