id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_camera_shake
event_queensorder_01_s_1,40015,event_queensorder_01_s,Monologue,Locale_SubScenario:event_queensorder_01_s_1,False,CommanderRoom,black,black,1.0,bgm_story_fairytalesend_if,,,,,,,,,
event_queensorder_01_s_2,40015,event_queensorder_01_s,Monologue,Locale_SubScenario:event_queensorder_01_s_2,False,,15,15,1.0,,,,,,,,,,
event_queensorder_01_s_3,40015,event_queensorder_01_s,Monologue,Locale_SubScenario:event_queensorder_01_s_3,False,,15,15,1.0,,,,,,,,,,
event_queensorder_01_s_4,40015,event_queensorder_01_s,Narration,Locale_SubScenario:event_queensorder_01_s_4,False,,15,15,1.0,,m_event_queensorder_01_s,sfx_scn_phonevibration,,,,,,,
event_queensorder_01_s_5,40015,event_queensorder_01_s,Self,Locale_SubScenario:event_queensorder_01_s_5,False,,15,15,1.0,,,,,,,,,,
event_queensorder_01_s_6,40015,event_queensorder_01_s,Narration,Locale_SubScenario:event_queensorder_01_s_6,False,,15,15,1.0,,,sfx_scn_heavytrip,,,,,,,
event_queensorder_01_s_7,40015,event_queensorder_01_s,Self,Locale_SubScenario:event_queensorder_01_s_7,False,,15,1,1.0,,,,,,,,,,
event_queensorder_01_s_8,40015,event_queensorder_01_s,Narration,Locale_SubScenario:event_queensorder_01_s_8,False,,1,1,1.0,,,sfx_scn_autodooropen,,,,,,,
event_queensorder_01_s_9,40015,event_queensorder_01_s,Speech,Locale_SubScenario:event_queensorder_01_s_9,False,,1,1,1.0,,,,rosanna,rosanna,rosanna,1,angry,,
event_queensorder_01_s_10,40015,event_queensorder_01_s,Self,Locale_SubScenario:event_queensorder_01_s_10,False,,1,1,1.0,,,,,,,1,angry,,
event_queensorder_01_s_11,40015,event_queensorder_01_s,Narration,Locale_SubScenario:event_queensorder_01_s_11,False,,1,100,0.8,,,sfx_scn_down,,,,1,angry,rosanna,Low_2
event_queensorder_01_s_12,40015,event_queensorder_01_s,Monologue,Locale_SubScenario:event_queensorder_01_s_12,False,,100,100,1.0,,,,,,,,,,
event_queensorder_01_s_13,40015,event_queensorder_01_s,Self,Locale_SubScenario:event_queensorder_01_s_13,False,,100,100,1.0,,,,,,,,,,
