id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,fade,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
snowfall_episode_emma_03_1,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_1,True,emma,1,worry,DiningRoom_d,1,1,1.0,amb_so_restaurant_3,event_bgm_neverland_hugme_day,,,,,,,
snowfall_episode_emma_03_2,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_2,False,,1,worry,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_3,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_6,True,,1,worry,,1,10,1.0,,,,,,,,,
snowfall_episode_emma_03_4,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_7,False,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_5,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_8,False,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_6,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_9,True,,1,surprise,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_7,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_10,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_8,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_11,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_9,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_12,False,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_10,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_13,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_11,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_14,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_12,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_15,True,,1,worry,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_13,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_16,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_14,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_17,False,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_15,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_18,True,,1,worry,,10,1,1.0,,,,,,,,,
snowfall_episode_emma_03_16,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_19,True,,1,worry,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_17,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_20,False,,1,worry,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_18,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_21,True,,1,surprise,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_19,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_22,True,,1,idle,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_20,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_23,False,,1,idle,,17,17,1.0,,,,,,,,,
snowfall_episode_emma_03_21,80903,snowfall_episode_emma_03,Narration,,Narration,Locale_SubScenario:snowfall_episode_emma_03_24,False,,1,idle,,17,170,0.3,,,sfx_scn_paperopen,,,,,,
snowfall_episode_emma_03_22,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_25,False,,1,idle,,170,170,1.0,,,,,,,,,
snowfall_episode_emma_03_23,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_26,False,,1,idle,,170,170,1.0,,,,,,,,,
snowfall_episode_emma_03_24,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_27,False,,1,idle,,170,17,1.0,,,,,,,,,
snowfall_episode_emma_03_25,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_28,False,,1,idle,,17,17,1.0,,,,,,,,,
snowfall_episode_emma_03_26,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_29,False,,1,idle,,17,170,0.5,,,sfx_scn_paperopen,,,,,,
snowfall_episode_emma_03_27,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_30,False,,1,idle,,170,1,1.0,,,,,,,,,
snowfall_episode_emma_03_28,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_31,True,,1,surprise,,1,1,1.0,,,,,,,,,
snowfall_episode_emma_03_29,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_32,True,,1,idle,,1,10,1.0,,,,,,,,,
snowfall_episode_emma_03_30,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_33,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_31,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_34,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_32,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_35,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_33,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_36,True,,1,surprise,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_34,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_37,False,,1,surprise,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_35,80903,snowfall_episode_emma_03,Monologue,,Monologue,Locale_SubScenario:snowfall_episode_emma_03_38,False,,1,surprise,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_36,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_39,True,,1,surprise,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_37,80903,snowfall_episode_emma_03,Self,,Self,Locale_SubScenario:snowfall_episode_emma_03_40,False,,1,surprise,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_38,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_41,True,,1,idle,,10,10,1.0,,,,,,,,,
snowfall_episode_emma_03_39,80903,snowfall_episode_emma_03,Speech,emma,emma,Locale_SubScenario:snowfall_episode_emma_03_42,True,,1,idle,,10,10,1.0,,,,,,,,,
