id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_boomtheghost1_05_s_1,40084,event_boomtheghost1_05_s,Narration,Locale_MainScenario:event_boomtheghost1_05_s_1,False,EventScene_boomtheghost_03_1,yanpepper_01,1,2.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_05_s_2,40084,event_boomtheghost1_05_s,Speech,Locale_MainScenario:event_boomtheghost1_05_s_2,True,,1,1,1.0,bgm_story_tepidappleade,pepper_s,pepper_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_05_s_3,40084,event_boomtheghost1_05_s,Speech,Locale_MainScenario:event_boomtheghost1_05_s_3,True,,1,1,1.0,,yan_s,yan_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_05_s_4,40084,event_boomtheghost1_05_s,Speech,Locale_MainScenario:event_boomtheghost1_05_s_4,True,,1,1,1.0,,pepper_s,pepper_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_05_s_5,40084,event_boomtheghost1_05_s,Speech,Locale_MainScenario:event_boomtheghost1_05_s_5,True,,1,1,1.0,,yan_s,yan_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_05_s_6,40084,event_boomtheghost1_05_s,Speech,Locale_MainScenario:event_boomtheghost1_05_s_6,True,,1,1,1.0,,pepper_s,pepper_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_05_s_7,40084,event_boomtheghost1_05_s,Speech,Locale_MainScenario:event_boomtheghost1_05_s_7,True,,1,1,1.0,,yan_s,yan_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_05_s_8,40084,event_boomtheghost1_05_s,Speech,Locale_MainScenario:event_boomtheghost1_05_s_8,True,,1,1,1.0,,pepper_s,pepper_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_05_s_9,40084,event_boomtheghost1_05_s,Speech,Locale_MainScenario:event_boomtheghost1_05_s_9,False,,1,1,1.0,,yan_s,yan_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_05_s_10,40084,event_boomtheghost1_05_s,Speech,Locale_MainScenario:event_boomtheghost1_05_s_10,True,,1,1,1.0,,yan_s,yan_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
