id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,set_filter_01,play_sound
d_ex_redash_07_1_1,80800,d_ex_redash_07_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_07_1_1,False,commander,1,idle,Office,black,black,1.0,none,,,,,,
d_ex_redash_07_1_2,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_2,True,,1,idle,,1,1,1.0,event_bgm_redash_thankstogoddess,commander,fx_Eventscene_camera_recording,rec,True,Vignetting,
d_ex_redash_07_1_3,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_3,True,,1,idle,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_4,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_4,True,,1,angry,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_5,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_5,True,,1,angry,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_6,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_6,True,,1,surprise,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_7,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_7,True,,1,surprise,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_8,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_8,True,,1,surprise,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_9,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_9,False,,1,angry,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_10,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_10,True,,1,no,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_11,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_11,True,,1,no,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_12,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_12,True,,1,no,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_13,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_13,True,,1,no,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_14,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_14,False,,1,surprise,,1,1,1.0,none,commander,,,,Vignetting,sfx_scn_heavytrip
d_ex_redash_07_1_15,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_15,True,,17,surprise,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_16,80800,d_ex_redash_07_1,Speech,commander,Locale_SuddenStory:d_ex_redash_07_1_16,True,,17,surprise,,1,1,1.0,,commander,,,,Vignetting,
d_ex_redash_07_1_17,80800,d_ex_redash_07_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_07_1_17,False,,17,surprise,,black,black,1.0,,,,,,Vignetting,sfx_scn_windowclack
