id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,fade,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_foolburstday_14_1,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_1,False,CommanderRoom_n,S_10,S_100,1.0,bgm_story_breakaway,,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_2,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_2,False,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_3,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_3,False,ShowerRoom,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_4,130007,event_foolburstday_14,Narration,Locale_SubScenario:event_foolburstday_14_4,False,,S_100,S_100,1.0,,sfx_scn_shower,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_5,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_5,False,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_6,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_6,False,,S_100,S_100,1.0,,sfx_scn_shower,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_7,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_7,False,,S_100,S_100,1.0,none,sfx_scn_showerlever,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_8,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_8,False,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_9,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_9,False,,S_100,S_100,1.0,bgm_story_mustang,,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_10,130007,event_foolburstday_14,Choice,Locale_SubScenario:event_foolburstday_14_10,False,,S_100,S_100,1.0,,,event_foolburstday_14_12,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_11,130007,event_foolburstday_14,Choice,Locale_SubScenario:event_foolburstday_14_11,False,,S_100,S_100,1.0,,,event_foolburstday_14_14,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_12,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_12,False,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_13,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_13,False,,S_100,S_100,1.0,,,event_foolburstday_14_16,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_14,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_14,False,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_foolburstday_14_15,130007,event_foolburstday_14,Monologue,Locale_SubScenario:event_foolburstday_14_15,False,,S_100,S_100,1.0,,,event_foolburstday_14_16,,,,,,,,,,,,,,,,,,,,,,,,
