id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_trueflavor_01_s_1,40074,event_trueflavor_01_s,Narration,Locale_SubScenario:event_trueflavor_01_s_1,False,Classroom,black,black,1.0,sfx_scn_schoolbell,bgm_story_luckybreak,,,,crust,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_2,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_2,True,,4,XS_40,1.3,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_3,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_3,True,,XS_40,XS_40,1.0,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_4,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_4,True,,XS_40,XS_40,1.0,,,crust,crust,,,4,delight,,,,,,,,,,,,,,,,
event_trueflavor_01_s_5,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_5,False,,XS_40,XS_40,1.0,,,crust,students,,,4,delight,,,,,,,,,,,,,,,,
event_trueflavor_01_s_6,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_6,True,,XS_40,XS_400,1.3,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_7,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_7,True,,XS_400,XS_400,1.0,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_8,40074,event_trueflavor_01_s,Self,Locale_SubScenario:event_trueflavor_01_s_8,False,,XS_400,XS_400,1.0,,,crust,,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_9,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_9,False,,XS_400,XS_40,1.3,,,crust,students,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_10,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_10,True,,XS_40,XS_40,1.0,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_11,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_11,True,,XS_40,XS_40,1.0,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_12,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_12,True,,XS_40,XS_40,1.0,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_13,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_13,True,,XS_40,XS_40,1.0,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_14,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_14,True,,XS_40,XS_40,1.0,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_15,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_15,True,,XS_40,XS_40,1.0,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_16,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_16,True,,XS_40,XS_40,1.0,,,crust,crust,,,4,delight,,,,,,,,,,,,,,,,
event_trueflavor_01_s_17,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_17,False,,XS_40,XS_40,1.0,,,crust,students,,,4,delight,,,,,,,,,,,,,,,,
event_trueflavor_01_s_18,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_18,True,,XS_40,4,1.3,,,crust,crust,,,4,delight,,,,,,,,,,,,,,,,
event_trueflavor_01_s_19,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_19,True,,4,4,1.0,,,crust,crust,,,4,idle,,,,,,,,,,,,,,,,
event_trueflavor_01_s_20,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_20,False,,black,black,1.0,,,crust,students,,,4,idle,crust,ein,4,surprise,,rei,2,idle,,zwei,12,idle,,,,
event_trueflavor_01_s_21,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_21,True,,3,3,1.0,,,ein,ein,black,,,,,,4,surprise,,,2,idle,,,12,idle,,,,
event_trueflavor_01_s_22,40074,event_trueflavor_01_s,Speech,Locale_SubScenario:event_trueflavor_01_s_22,True,,3,3,1.0,,,ein,ein,,,,,,,4,surprise,,,2,idle,,,12,idle,,,,
