id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,jump_target
event_bluewaterisland1_05_e_1,40020,event_bluewaterisland1_05_e,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland1_05_e_1,True,pepper_s,4,delight,mary_s,2,idle,Beach_n,4,4,1.0,bgm_story_languor,,,,,,,
event_bluewaterisland1_05_e_2,40020,event_bluewaterisland1_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_e_2,True,,4,delight,,2,idle,,4,3,1.0,,,,,,,,
event_bluewaterisland1_05_e_3,40020,event_bluewaterisland1_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_e_3,True,,4,delight,,2,idle,,3,3,1.0,,,,,,,,
event_bluewaterisland1_05_e_4,40020,event_bluewaterisland1_05_e,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland1_05_e_4,True,,4,idle,,2,idle,,3,3,1.0,,,,,,,,
event_bluewaterisland1_05_e_5,40020,event_bluewaterisland1_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_e_5,True,,4,idle,,2,idle,,3,3,1.0,,,,,,,,
event_bluewaterisland1_05_e_6,40020,event_bluewaterisland1_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_e_6,True,,4,idle,,2,idle,,3,3,1.0,,,,,,,,
event_bluewaterisland1_05_e_7,40020,event_bluewaterisland1_05_e,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland1_05_e_7,True,,4,idle,,2,idle,,3,3,1.0,,,,,,,,
event_bluewaterisland1_05_e_8,40020,event_bluewaterisland1_05_e,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_e_8,False,,4,idle,,2,idle,,black,black,1.0,,sfx_scn_dropshell,,,,,,
event_bluewaterisland1_05_e_9,40020,event_bluewaterisland1_05_e,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland1_05_e_9,True,,4,surprise,,2,idle,,3,3,1.0,,,,,,,,
event_bluewaterisland1_05_e_10,40020,event_bluewaterisland1_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_05_e_10,False,,4,surprise,,2,idle,,3,3,1.0,,,,,,,,
event_bluewaterisland1_05_e_11,40020,event_bluewaterisland1_05_e,Narration,,Narration,Locale_SubScenario:event_bluewaterisland1_05_e_11,False,,4,surprise,,2,idle,,black,black,1.0,,sfx_scn_dropshell,,,,,,
event_bluewaterisland1_05_e_12,40020,event_bluewaterisland1_05_e,Speech,pepper_s,pepper_s,Locale_SubScenario:event_bluewaterisland1_05_e_12,True,,4,angry,,2,idle,,3,3,1.0,,,,,,,,
