id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,jump_target,characters/0/hide_char_id,characters/1/hide_char_id
event_coinsinrush2_06_s_1,40089,event_coinsinrush2_06_s,Narration,Locale_MainScenario:event_coinsinrush2_06_s_1,False,Sky_s,black,black,1.0,sfx_scn_metaldooropen,none,,,,,,,,,,,,,,,
event_coinsinrush2_06_s_2,40089,event_coinsinrush2_06_s,Monologue,Locale_MainScenario:event_coinsinrush2_06_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,
event_coinsinrush2_06_s_3,40089,event_coinsinrush2_06_s,Self,Locale_MainScenario:event_coinsinrush2_06_s_3,False,,30,30,1.0,,,,,,,,,,,,,,,,,
event_coinsinrush2_06_s_4,40089,event_coinsinrush2_06_s,Monologue,Locale_MainScenario:event_coinsinrush2_06_s_4,False,,30,30,1.0,,,,,,,,,,,,,,,,,
event_coinsinrush2_06_s_5,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_5,True,,30,30,1.0,,bgm_story_crawlinganxiety,velvet,velvet,velvet,3,delight_02,,,,,,,,,,
event_coinsinrush2_06_s_6,40089,event_coinsinrush2_06_s,Monologue,Locale_MainScenario:event_coinsinrush2_06_s_6,False,,30,30,1.0,,,velvet,,,3,delight_02,,,,,,,,,,
event_coinsinrush2_06_s_7,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_7,True,,30,30,1.0,,,velvet,velvet,,3,delight_02,,,,,,,,,,
event_coinsinrush2_06_s_8,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_8,True,,30,30,1.0,,,velvet,velvet,,3,delight_02,,,,,,,,,,
event_coinsinrush2_06_s_9,40089,event_coinsinrush2_06_s,Self,Locale_MainScenario:event_coinsinrush2_06_s_9,False,,30,30,1.0,,,,,,3,delight_02,,,,,,,,,,
event_coinsinrush2_06_s_10,40089,event_coinsinrush2_06_s,Narration,Locale_MainScenario:event_coinsinrush2_06_s_10,False,,black,black,1.0,sfx_scn_velcro,,,,,3,delight_02,,,,,,,,,,
event_coinsinrush2_06_s_11,40089,event_coinsinrush2_06_s,Monologue,Locale_MainScenario:event_coinsinrush2_06_s_11,False,,black,black,1.0,,,,,,3,delight_02,ade_b,1,angry,milk_b,13,no,,,,
event_coinsinrush2_06_s_12,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_12,True,,30,30,1.0,,,velvet,velvet,,3,delight_02,,1,angry,,13,no,,,,
event_coinsinrush2_06_s_13,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_13,True,,130,130,1.0,,,milk_b,milk_b,,3,delight_02,,1,angry,,13,no,,,,
event_coinsinrush2_06_s_14,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_14,True,,30,30,1.0,,,velvet,velvet,,3,idle_02,,1,angry,,13,no,,,,
event_coinsinrush2_06_s_15,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_15,True,,30,30,1.0,,,velvet,velvet,,3,idle_02,,1,angry,,13,no,,,,
event_coinsinrush2_06_s_16,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_16,True,,30,30,1.0,,,velvet,velvet,,3,idle_02,,1,angry,,13,no,,,,
event_coinsinrush2_06_s_17,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_17,True,,30,30,1.0,,,velvet,velvet,,3,smile_02,,1,angry,,13,no,,,,
event_coinsinrush2_06_s_18,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_18,True,,30,12,1.0,,,milk_b,milk_b,,3,smile_02,,1,angry,,13,good,,,,
event_coinsinrush2_06_s_19,40089,event_coinsinrush2_06_s,Speech,Locale_MainScenario:event_coinsinrush2_06_s_19,True,,12,12,1.0,,,milk_b,milk_b,,3,smile_02,,1,angry,,13,good,,,,
