id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim
event_ce003_1_intermission_01_1,40041,event_ce003_1_intermission_01,Narration,Locale_SubScenario:event_ce003_1_intermission_01_1,False,MaidCafe,5,3,2.0,sfx_scn_toyshopbell,bgm_story_whosdumber,,,,,soda,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_2,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_2,True,,3,S_30,1.0,,,soda,soda,,,,3,shy,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_3,40041,event_ce003_1_intermission_01,Narration,Locale_SubScenario:event_ce003_1_intermission_01_3,False,,S_30,S_30,1.0,sfx_scn_sodafalling2,,soda,,Low_2,,,3,sad,soda,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_4,40041,event_ce003_1_intermission_01,Monologue,Locale_SubScenario:event_ce003_1_intermission_01_4,False,,S_30,S_30,1.0,,,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_5,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_5,True,,S_30,XS_10,2.0,,,cocoa,cocoa,,,,,,,cocoa,1,delight,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_6,40041,event_ce003_1_intermission_01,Narration,Locale_SubScenario:event_ce003_1_intermission_01_6,False,,XS_10,XS_100,1.0,sfx_scn_ketchup,,cocoa,,,,,,,,,1,delight,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_7,40041,event_ce003_1_intermission_01,Monologue,Locale_SubScenario:event_ce003_1_intermission_01_7,False,,XS_100,XS_100,1.0,,,cocoa,,,,,,,,,1,delight,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_8,40041,event_ce003_1_intermission_01,Self,Locale_SubScenario:event_ce003_1_intermission_01_8,False,,XS_100,XS_100,1.0,,,cocoa,,,,,,,,,1,delight,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_9,40041,event_ce003_1_intermission_01,Monologue,Locale_SubScenario:event_ce003_1_intermission_01_9,False,,XS_100,1,2.0,,,cocoa,,,,,,,,,1,delight,,,,,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_10,40041,event_ce003_1_intermission_01,Monologue,Locale_SubScenario:event_ce003_1_intermission_01_10,False,,1,13,2.0,,,cocoa,,,black,,,,,,1,delight,cocoa,ade,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_11,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_11,True,,13,130,1.0,,,ade,ade,,,,,,,,,,,,13,delight,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_12,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_12,True,,130,130,1.0,,,ade,ade,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_13,40041,event_ce003_1_intermission_01,Self,Locale_SubScenario:event_ce003_1_intermission_01_13,False,,130,130,1.0,,,ade,,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_14,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_14,True,,130,130,1.0,,,ade,ade,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_15,40041,event_ce003_1_intermission_01,Self,Locale_SubScenario:event_ce003_1_intermission_01_15,False,,130,130,1.0,,,ade,,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_16,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_16,True,,130,130,1.0,,,ade,ade,,,,,,,,,,,,13,shy,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_17,40041,event_ce003_1_intermission_01,Self,Locale_SubScenario:event_ce003_1_intermission_01_17,False,,130,130,1.0,,,ade,,,,,,,,,,,,,13,shy,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_18,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_18,True,,130,1300,2.0,,,ade,ade,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_19,40041,event_ce003_1_intermission_01,Self,Locale_SubScenario:event_ce003_1_intermission_01_19,False,,1300,1300,1.0,,,ade,,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_20,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_20,True,,1300,1300,1.0,,,ade,ade,,,,,,,,,,,,13,worried,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_21,40041,event_ce003_1_intermission_01,Self,Locale_SubScenario:event_ce003_1_intermission_01_21,False,,1300,1300,1.0,,,ade,,,,,,,,,,,,,13,worried,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_22,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_22,True,,1300,1300,1.0,,,ade,ade,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_23,40041,event_ce003_1_intermission_01,Self,Locale_SubScenario:event_ce003_1_intermission_01_23,False,,1300,1300,1.0,,,ade,,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_24,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_24,True,,1300,1300,1.0,,,ade,ade,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_25,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_25,True,,1300,1300,1.0,,,ade,ade,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_26,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_26,True,,1300,1300,1.0,,,ade,ade,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_27,40041,event_ce003_1_intermission_01,Self,Locale_SubScenario:event_ce003_1_intermission_01_27,False,,1300,1300,1.0,,,ade,,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_28,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_28,True,,1300,130,2.0,,,ade,ade,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_29,40041,event_ce003_1_intermission_01,Speech,Locale_SubScenario:event_ce003_1_intermission_01_29,True,,130,130,1.0,,,ade,ade,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
event_ce003_1_intermission_01_30,40041,event_ce003_1_intermission_01,Self,Locale_SubScenario:event_ce003_1_intermission_01_30,False,,130,130,1.0,,,ade,,,,,,,,,,,,,13,idle,,,,,,,,,,,,,,,,,,
