id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/hide_char_id,characters/0/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_freezeacpu_04_s_1,40030,event_freezeacpu_04_s,Narration,Locale_SubScenario:event_freezeacpu_04_s_1,False,quiry,1,sad,drake,13,no,Backstreet,black,black,1.0,none,,,,,,,,,,,,,,
event_freezeacpu_04_s_2,40030,event_freezeacpu_04_s,Narration,Locale_SubScenario:event_freezeacpu_04_s_2,False,,1,sad,,13,no,,black,black,1.0,,,,,,,,,,,,,,,
event_freezeacpu_04_s_3,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_3,False,,1,sad,,13,no,,113,113,1.0,bgm_story_orangepop,drake,drake,,,,,,,,,,,,
event_freezeacpu_04_s_4,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_4,False,,1,sad,,13,no,,113,113,1.0,,quiry,quiry,,,,,,,,,,,,
event_freezeacpu_04_s_5,40030,event_freezeacpu_04_s,Self,Locale_SubScenario:event_freezeacpu_04_s_5,False,,1,sad,,13,no,,113,113,1.0,,,,,,,,,,,,,,,
event_freezeacpu_04_s_6,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_6,True,,1,sad,,13,no,,113,113,1.0,,quiry,quiry,,,,,,,,,,,,
event_freezeacpu_04_s_7,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_7,True,,1,sad,,13,angry,,113,113,1.0,,drake,drake,,,,,,,,,,,,
event_freezeacpu_04_s_8,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_8,True,,1,sad,,13,angry,,113,113,1.0,,drake,drake,,,,,,,,,,,,
event_freezeacpu_04_s_9,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_9,True,,1,sad,,13,angry,,113,113,1.0,,drake,drake,,,,,,,,,,,,
event_freezeacpu_04_s_10,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_10,True,,1,sad,,13,angry,,113,113,1.0,,quiry,quiry,,,,,,,,,,,,
event_freezeacpu_04_s_11,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_11,True,,1,special,,13,angry,,113,113,1.0,,quiry,quiry,,,,,,,,,,,,
event_freezeacpu_04_s_12,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_12,True,,1,special,,13,idle,,113,113,1.0,,drake,drake,,,,,,,,,,,,
event_freezeacpu_04_s_13,40030,event_freezeacpu_04_s,Self,Locale_SubScenario:event_freezeacpu_04_s_13,False,,1,special,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,
event_freezeacpu_04_s_14,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_14,True,,1,special,,13,idle,,113,130,1.0,,drake,drake,,,,,,,,,,,,
event_freezeacpu_04_s_15,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_15,True,,1,special,,13,idle,,130,130,1.0,,drake,drake,,,,,,,,,,,,
event_freezeacpu_04_s_16,40030,event_freezeacpu_04_s,Speech,Locale_SubScenario:event_freezeacpu_04_s_16,True,,1,idle,,13,idle,,130,S_10,1.0,,quiry,quiry,,,,,,,,,,,,
