id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,play_sound
event_secretgarden_05_e_1,40063,event_secretgarden_05_e,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_05_e_1,True,flora,3,delight,biscuit,1,idle,nero,13,idle,leona_no,15,idle,timi,17,idle,SecretGarden,113,113,1.0,bgm_story_flipflop,,,,,
event_secretgarden_05_e_2,40063,event_secretgarden_05_e,Speech,nero,nero,Locale_SubScenario:event_secretgarden_05_e_2,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,113,113,1.0,,,,,,
event_secretgarden_05_e_3,40063,event_secretgarden_05_e,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_05_e_3,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,113,113,1.0,,,,,,
event_secretgarden_05_e_4,40063,event_secretgarden_05_e,Speech,leona_no,leona_no,Locale_SubScenario:event_secretgarden_05_e_4,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,113,1517,1.0,,,,,,
event_secretgarden_05_e_5,40063,event_secretgarden_05_e,Self,leona_no,,Locale_SubScenario:event_secretgarden_05_e_5,False,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,1517,1517,1.0,,,,,,
event_secretgarden_05_e_6,40063,event_secretgarden_05_e,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_05_e_6,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,XS_10,XS_10,1.0,,,,,,
event_secretgarden_05_e_7,40063,event_secretgarden_05_e,Speech,leona_no,leona_no,Locale_SubScenario:event_secretgarden_05_e_7,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,Leo_150,Leo_150,1.0,,,,,,
event_secretgarden_05_e_8,40063,event_secretgarden_05_e,Speech,leona_no,leona_no,Locale_SubScenario:event_secretgarden_05_e_8,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,Leo_150,Leo_150,1.0,,,,,,
event_secretgarden_05_e_9,40063,event_secretgarden_05_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_05_e_9,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,30,30,1.0,,,,,,
event_secretgarden_05_e_10,40063,event_secretgarden_05_e,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_05_e_10,True,,3,delight,,1,idle,,13,idle,,15,idle,,17,idle,,30,XS_10,1.0,,,,,,
