id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_ambient,play_sound
event_beautyfullshot2_02_e_1,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_1,False,TatamiRoom,100,100,1.0,bgm_story_weare,Grey,Blur_Middle,,,,,,,
event_beautyfullshot2_02_e_2,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_2,False,,100,1,1.0,,Red,Blur_Middle,Low_2,,,,,,
event_beautyfullshot2_02_e_3,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_3,False,,1,1,1.0,,Red,Blur_Middle,,,,,,,
event_beautyfullshot2_02_e_4,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_4,False,,1,10,1.0,,Grey,Vignetting,,sakura,1,idle,,,
event_beautyfullshot2_02_e_5,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_5,False,,10,10,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_6,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_6,False,,10,10,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_7,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_7,False,,10,10,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_8,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_8,False,,10,10,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_9,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_9,False,,10,10,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_10,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_10,False,,10,100,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_11,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_11,False,,100,100,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_12,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_12,False,,100,100,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_13,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_13,False,,100,100,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_14,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_14,False,,100,100,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_15,40052,event_beautyfullshot2_02_e,Speech,sakura,sakura,Locale_MainScenario:event_beautyfullshot2_02_e_15,False,,100,100,1.0,,Grey,Vignetting,,,1,idle,,,
event_beautyfullshot2_02_e_16,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_16,True,EventScene_BeautyFullShot_02,black,black,1.0,,,,,,1,idle,sakura,,
event_beautyfullshot2_02_e_17,40052,event_beautyfullshot2_02_e,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot2_02_e_17,False,,sandcastle_01,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_18,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_18,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_19,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_19,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_20,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_20,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_21,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_21,True,,sandcastle_02,sandcastle_02,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_22,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_22,True,,sandcastle_02,sandcastle_02,1.0,none,,,,,,,,,
event_beautyfullshot2_02_e_23,40052,event_beautyfullshot2_02_e,Monologue,sakura_s,,Locale_MainScenario:event_beautyfullshot2_02_e_23,False,,sandcastle_02,sandcastle_03,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_24,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_24,True,,sandcastle_03,sandcastle_03,1.0,event_bgm_beautyfullshot_coral,,,,,,,,ambient_scn_calmsea,
event_beautyfullshot2_02_e_25,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_25,True,,sandcastle_03,sandcastle_03,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_26,40052,event_beautyfullshot2_02_e,Self,sakura_s,,Locale_MainScenario:event_beautyfullshot2_02_e_26,False,,sandcastle_03,sandcastle_03,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_27,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_27,True,,sandcastle_03,sandcastle_03,1.0,,,,,,,,,,
event_beautyfullshot2_02_e_28,40052,event_beautyfullshot2_02_e,Speech,sakura_s,sakura_s,Locale_MainScenario:event_beautyfullshot2_02_e_28,True,,sandcastle_03,sandcastle_03,1.0,,,,,,,,,,
