id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
snowfall_episode_mica_03_1,80903,snowfall_episode_mica_03,Narration,Locale_SubScenario:snowfall_episode_mica_03_1,False,WaterFall_s,black,black,1.0,sfx_scn_1skippingstones,amb_so_waterfall_2,event_bgm_neverland_snowflakes_sunset,,,,,,,,,
snowfall_episode_mica_03_2,80903,snowfall_episode_mica_03,Narration,Locale_SubScenario:snowfall_episode_mica_03_2,False,,black,black,1.0,sfx_scn_2skippingstones,,,,,,,,,,,
snowfall_episode_mica_03_3,80903,snowfall_episode_mica_03,Monologue,Locale_SubScenario:snowfall_episode_mica_03_3,False,,15,15,1.0,,,,,,,,,,,,
snowfall_episode_mica_03_4,80903,snowfall_episode_mica_03,Monologue,Locale_SubScenario:snowfall_episode_mica_03_4,False,,15,15,1.0,,,,,,,,,,,,
snowfall_episode_mica_03_5,80903,snowfall_episode_mica_03,Speech,Locale_SubScenario:snowfall_episode_mica_03_9,False,,15,1,2.0,,,,mica_w,mica_w,mica_w,1,no,,,,
snowfall_episode_mica_03_6,80903,snowfall_episode_mica_03,Speech,Locale_SubScenario:snowfall_episode_mica_03_10,True,,1,1,1.0,,,,mica_w,mica_w,,1,no,,,,
snowfall_episode_mica_03_7,80903,snowfall_episode_mica_03,Narration,Locale_SubScenario:snowfall_episode_mica_03_11,False,,1,S_10,1.0,sfx_scn_toolpasslight,,,,,,1,no,,,,
snowfall_episode_mica_03_8,80903,snowfall_episode_mica_03,Monologue,Locale_SubScenario:snowfall_episode_mica_03_12,False,,S_10,S_10,1.0,,,,,,,1,no,,,,
snowfall_episode_mica_03_9,80903,snowfall_episode_mica_03,Speech,Locale_SubScenario:snowfall_episode_mica_03_13,True,,S_10,S_10,1.0,,,,unknown,unknown,,1,no,lumi_01,15,idle,
snowfall_episode_mica_03_10,80903,snowfall_episode_mica_03,Self,Locale_SubScenario:snowfall_episode_mica_03_14,False,,S_10,S_10,1.0,,,,,,,1,no,,15,idle,
snowfall_episode_mica_03_11,80903,snowfall_episode_mica_03,Monologue,Locale_SubScenario:snowfall_episode_mica_03_15,False,,S_10,S_10,1.0,,,,,,,1,no,,15,idle,
snowfall_episode_mica_03_12,80903,snowfall_episode_mica_03,Monologue,Locale_SubScenario:snowfall_episode_mica_03_16,False,,S_10,150,2.0,,,,,,,1,no,,15,idle,
snowfall_episode_mica_03_13,80903,snowfall_episode_mica_03,Self,Locale_SubScenario:snowfall_episode_mica_03_17,False,,150,150,1.0,,,,,,,1,no,,15,idle,
