id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,fade,play_ambient,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_icedragonsaga1_02_s_1,40064,event_icedragonsaga1_02_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga1_02_s_1,True,Backstreet,XS_10,XS_10,1.0,bgm_recognition_underworld,,,,,,guillotine,1,idle,,massproduction01,13,idle,,,,,
event_icedragonsaga1_02_s_2,40064,event_icedragonsaga1_02_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga1_02_s_2,True,,XS_10,XS_10,1.0,,,,,,,,1,idle,,,13,idle,,,,,
event_icedragonsaga1_02_s_3,40064,event_icedragonsaga1_02_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_icedragonsaga1_02_s_3,True,,XS_10,12,1.0,,,,,,,,1,idle,,,13,idle,,,,,
event_icedragonsaga1_02_s_4,40064,event_icedragonsaga1_02_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_icedragonsaga1_02_s_4,True,,12,12,1.0,,,,,,,,1,idle,,,13,idle,,,,,
event_icedragonsaga1_02_s_5,40064,event_icedragonsaga1_02_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_icedragonsaga1_02_s_5,True,,12,12,1.0,,,,,,,,1,idle,,,13,idle,,,,,
event_icedragonsaga1_02_s_6,40064,event_icedragonsaga1_02_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga1_02_s_6,True,,12,12,1.0,,,,,,,,1,no,,,13,idle,,,,,
event_icedragonsaga1_02_s_7,40064,event_icedragonsaga1_02_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga1_02_s_7,True,,12,12,1.0,,,,,,,,1,no,,,13,idle,,,,,
event_icedragonsaga1_02_s_8,40064,event_icedragonsaga1_02_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_icedragonsaga1_02_s_8,True,,12,12,1.0,,,,,,,,1,no,,,13,idle,,,,,
event_icedragonsaga1_02_s_9,40064,event_icedragonsaga1_02_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_icedragonsaga1_02_s_9,True,,12,12,1.0,,,,,,,,1,no,,,13,idle,,,,,
event_icedragonsaga1_02_s_10,40064,event_icedragonsaga1_02_s,Speech,massproduction01,massproduction01,Locale_MainScenario:event_icedragonsaga1_02_s_10,True,,12,12,1.0,,,,,,,,1,no,,,13,idle,,,,,
