id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,play_sound
event_forrest_01_e_1,40072,event_forrest_01_e,Narration,Locale_SubScenario:event_forrest_01_e_1,False,Sky_s,18,18,1.0,event_bgm_neverland_snowflakes_sunset,Vignetting,,,,,,,,,,,,,,
event_forrest_01_e_2,40072,event_forrest_01_e,Narration,Locale_SubScenario:event_forrest_01_e_2,False,,18,18,1.0,,Vignetting,,,,,,,,,,,,,,
event_forrest_01_e_3,40072,event_forrest_01_e,Narration,Locale_SubScenario:event_forrest_01_e_3,False,,18,18,1.0,,Vignetting,,,,,,,,,,,,,,
event_forrest_01_e_4,40072,event_forrest_01_e,Narration,Locale_SubScenario:event_forrest_01_e_4,False,,18,18,1.0,,Vignetting,,,,,,,,,,,,,,
event_forrest_01_e_5,40072,event_forrest_01_e,Narration,Locale_SubScenario:event_forrest_01_e_5,False,,18,18,1.0,,Vignetting,,,,,,,,,,,,,,
event_forrest_01_e_6,40072,event_forrest_01_e,Narration,Locale_SubScenario:event_forrest_01_e_6,False,land_s,18,12,1.4,,Vignetting,joshhumett,12,idle,,,,,,,,,,,
event_forrest_01_e_7,40072,event_forrest_01_e,Speech,Locale_SubScenario:event_forrest_01_e_7,False,,12,12,1.0,,Vignetting,,12,idle,joshhumett,unknown,,,,,,,,,
event_forrest_01_e_8,40072,event_forrest_01_e,Narration,Locale_SubScenario:event_forrest_01_e_8,False,,12,12,1.0,,Vignetting,,12,idle,joshhumett,,,,,,,,,,
event_forrest_01_e_9,40072,event_forrest_01_e,Speech,Locale_SubScenario:event_forrest_01_e_9,True,,12,12,1.0,,Vignetting,,12,idle,joshhumett,unknown,,,,,,,,,
event_forrest_01_e_10,40072,event_forrest_01_e,Speech,Locale_SubScenario:event_forrest_01_e_10,True,,12,12,1.0,,Vignetting,,12,idle,joshhumett,unknown,,,,,,,,,
event_forrest_01_e_11,40072,event_forrest_01_e,Speech,Locale_SubScenario:event_forrest_01_e_11,True,,12,12,1.0,,Vignetting,,12,idle,joshhumett,unknown,,,,,,,,,
