id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_perfectmaid_05_s_1,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_1,True,MaidCafe,10,10,1.0,none,,,,,,privaty_m,1,delight,,,
event_perfectmaid_05_s_2,40039,event_perfectmaid_05_s,Monologue,privaty_m,,Locale_SubScenario:event_perfectmaid_05_s_2,False,,10,100,0.6,,sfx_scn_overflowingwater,,,,,,1,delight,,,
event_perfectmaid_05_s_3,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_3,False,,100,100,1.0,bgm_story_stormbreakers,,,,,,,1,delight,,,
event_perfectmaid_05_s_4,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_4,True,,100,100,1.0,,,,,,,,1,no,,,
event_perfectmaid_05_s_5,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_5,False,,100,100,1.0,,,,,,,,1,no,,,
event_perfectmaid_05_s_6,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_6,True,,100,100,1.0,,,,,,,,1,shy,,,
event_perfectmaid_05_s_7,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_7,True,,100,100,1.0,,,,,,,,1,shy,,,
event_perfectmaid_05_s_8,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_8,False,,100,100,1.0,,,,,,,,1,shy,,,
event_perfectmaid_05_s_9,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_9,True,,100,10,1.0,,,,,,,,1,sad,,,
event_perfectmaid_05_s_10,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_10,True,,10,10,1.0,,,,,,,,1,sad,,,
event_perfectmaid_05_s_11,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_11,True,,10,10,1.0,,,,,,,,1,delight,,,
event_perfectmaid_05_s_12,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_12,True,,10,10,1.0,,,,,,,,1,delight,,,
event_perfectmaid_05_s_13,40039,event_perfectmaid_05_s,Monologue,,,Locale_SubScenario:event_perfectmaid_05_s_13,False,,10,100,0.6,,,,,,,,1,delight,,,
event_perfectmaid_05_s_14,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_14,False,,100,100,1.0,,,,,,,,1,delight,,,
event_perfectmaid_05_s_15,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_15,False,,100,S_100,1.0,,,Low_2,Red,Blur_High,,,1,delight,,,
event_perfectmaid_05_s_16,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_16,True,,S_100,S_100,1.0,,,,,Blur_High,,,1,sad2,,,
event_perfectmaid_05_s_17,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_17,True,,S_100,S_100,1.0,,,,,Blur_Low,,,1,sad2,,,
event_perfectmaid_05_s_18,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_18,False,,S_100,S_100,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_19,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_19,True,,S_100,100,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_20,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_20,False,,100,100,1.0,,,,,,,,1,sad2,,,
event_perfectmaid_05_s_21,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_21,True,,100,10,1.0,,,,,,,,1,delight,,,
event_perfectmaid_05_s_22,40039,event_perfectmaid_05_s,Monologue,,,Locale_SubScenario:event_perfectmaid_05_s_22,False,,10,10,1.0,none,sfx_scn_silverware,,,,,,1,delight,,,
event_perfectmaid_05_s_23,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_23,True,,10,10,1.0,,,,,,,,1,idle,,,
event_perfectmaid_05_s_24,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_24,False,,10,100,1.0,,,Low_2,,,,,1,idle,,,
event_perfectmaid_05_s_25,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_25,True,,100,100,1.0,bgm_story_tomboyprincess,,,,,,,1,shy,,,
event_perfectmaid_05_s_26,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_26,True,,100,100,1.0,,,,,,,,1,shy,,,
event_perfectmaid_05_s_27,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_27,True,,100,100,1.0,,,,,,,,1,shy,,,
event_perfectmaid_05_s_28,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_28,True,,100,100,1.0,,,,,,,,1,surprise,,,
event_perfectmaid_05_s_29,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_29,False,,100,100,1.0,,,,,,,,1,surprise,,,
event_perfectmaid_05_s_30,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_30,True,,100,10,1.0,,,,,,,,1,idle,,,
event_perfectmaid_05_s_31,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_31,True,,10,10,1.0,,,,,,,,1,idle,,,
event_perfectmaid_05_s_32,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_32,True,,10,10,1.0,,,,,,,,1,idle,,,
event_perfectmaid_05_s_33,40039,event_perfectmaid_05_s,Monologue,,,Locale_SubScenario:event_perfectmaid_05_s_33,False,,10,10,1.0,,,,,,,,1,idle,,,
event_perfectmaid_05_s_34,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_34,True,,10,10,1.0,,,,,,,,1,delight,,,
event_perfectmaid_05_s_35,40039,event_perfectmaid_05_s,Monologue,,,Locale_SubScenario:event_perfectmaid_05_s_35,False,,10,100,0.6,,sfx_scn_screamfilter,,,,,,1,delight,,,
event_perfectmaid_05_s_36,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_36,False,,100,100,1.0,,,,,,,,1,delight,,,
event_perfectmaid_05_s_37,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_37,True,,100,100,1.0,,,,,,,,1,sad,,,
event_perfectmaid_05_s_38,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_38,True,,100,100,1.0,,,,,,,,1,delight,,,
event_perfectmaid_05_s_39,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_39,False,,100,100,1.0,,,,,,,,1,delight,,,
event_perfectmaid_05_s_40,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_40,True,,100,100,1.0,,,,,,,,1,delight,,,
event_perfectmaid_05_s_41,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_41,False,,100,S_100,1.0,,,Low_2,Red,Blur_Middle,,,1,delight,,,
event_perfectmaid_05_s_42,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_42,False,,S_100,S_100,1.0,,,,Red,Blur_Low,,,1,surprise,,,
event_perfectmaid_05_s_43,40039,event_perfectmaid_05_s,Monologue,,,Locale_SubScenario:event_perfectmaid_05_s_43,False,,black,black,1.0,,,,,,,,1,surprise,,,
event_perfectmaid_05_s_44,40039,event_perfectmaid_05_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_05_s_44,False,,10,100,0.6,,,,,,,,1,sad,,,
event_perfectmaid_05_s_45,40039,event_perfectmaid_05_s,Monologue,,,Locale_SubScenario:event_perfectmaid_05_s_45,False,,100,100,1.0,,sfx_scn_corrosion,,,,,,1,sad,,,
event_perfectmaid_05_s_46,40039,event_perfectmaid_05_s,Self,,,Locale_SubScenario:event_perfectmaid_05_s_46,False,,100,100,1.0,,,,,,,,1,sad,,,
