id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/7/hide_char_id,characters/8/hide_char_id,characters/9/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
event_newyearnewsword_prologue_1,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_1,True,noise_w,15,smile,Stage,15,150,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_2,40036,event_newyearnewsword_prologue,Monologue,noise_w,,Locale_SubScenario:event_newyearnewsword_prologue_2,False,,15,idle,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_3,40036,event_newyearnewsword_prologue,Monologue,noise_w,,Locale_SubScenario:event_newyearnewsword_prologue_3,False,,15,idle,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_4,40036,event_newyearnewsword_prologue,Speech,neon,neon,Locale_SubScenario:event_newyearnewsword_prologue_4,True,,15,idle,,S_130,S_130,1.0,,noise_w,anis,3,delight,rapi,1,shy,neon,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_5,40036,event_newyearnewsword_prologue,Speech,anis,anis,Locale_SubScenario:event_newyearnewsword_prologue_5,True,,,,,30,30,1.0,,,,3,delight,,1,shy,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_6,40036,event_newyearnewsword_prologue,Speech,rapi,rapi,Locale_SubScenario:event_newyearnewsword_prologue_6,True,,,,,30,10,2.0,,,,3,delight,,1,shy,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_7,40036,event_newyearnewsword_prologue,Monologue,rapi,,Locale_SubScenario:event_newyearnewsword_prologue_7,False,,,,,12,2,2.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_8,40036,event_newyearnewsword_prologue,Monologue,helm,,Locale_SubScenario:event_newyearnewsword_prologue_8,False,,,,,8,6,2.0,,,,3,idle,,1,idle,,13,idle,anchor,9,idle,mast,7,idle,helm,5,idle,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_9,40036,event_newyearnewsword_prologue,Monologue,soda,,Locale_SubScenario:event_newyearnewsword_prologue_9,False,,,,,18,16,2.0,,,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,anchor,mast,helm,soda,15,idle,cocoa,17,idle,ade,19,idle,,,,,,,
event_newyearnewsword_prologue_10,40036,event_newyearnewsword_prologue,Monologue,biscuit,,Locale_SubScenario:event_newyearnewsword_prologue_10,False,,,,,8,6,2.0,,,,3,idle,,1,idle,,13,idle,leona,9,idle,nero,7,idle,biscuit,5,idle,,,,,15,idle,,17,idle,,19,idle,soda,cocoa,ade,,,,
event_newyearnewsword_prologue_11,40036,event_newyearnewsword_prologue,Monologue,blanc,,Locale_SubScenario:event_newyearnewsword_prologue_11,False,,,,,16,16,1.0,,,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,leona,nero,biscuit,blanc,15,idle,noir,17,idle,,,,,,,,,,
event_newyearnewsword_prologue_12,40036,event_newyearnewsword_prologue,Monologue,quiry,,Locale_SubScenario:event_newyearnewsword_prologue_12,False,,,,,8,6,2.0,,,,3,idle,,1,idle,,13,idle,miranda,9,idle,poli,7,idle,quiry,5,idle,,,,,15,idle,,17,idle,,,,blanc,noir,,,,,
event_newyearnewsword_prologue_13,40036,event_newyearnewsword_prologue,Monologue,mica,,Locale_SubScenario:event_newyearnewsword_prologue_13,False,,,,,16,16,2.0,,,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,miranda,poli,quiry,mica,15,idle,belorta,17,idle,,,,,,,,,,
event_newyearnewsword_prologue_14,40036,event_newyearnewsword_prologue,Monologue,tove,,Locale_SubScenario:event_newyearnewsword_prologue_14,False,,,,,8,6,2.0,,,,3,idle,,1,idle,,13,idle,neve,9,idle,alice,7,idle,ludmilla,5,idle,,,,,15,idle,,17,idle,tove,8,idle,mica,belorta,,,,,
event_newyearnewsword_prologue_15,40036,event_newyearnewsword_prologue,Monologue,rapi,,Locale_SubScenario:event_newyearnewsword_prologue_15,False,noise_w,15,idle,,6,2,2.0,,,,3,idle,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,neve,alice,ludmilla,,,,,,,,8,idle,,,tove,,,,
event_newyearnewsword_prologue_16,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_16,True,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_17,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_17,True,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_18,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_18,True,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_19,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_19,True,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_20,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_20,True,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_21,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_21,True,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_22,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_22,True,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_23,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_23,True,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_24,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_24,True,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_25,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_25,True,,15,idle,,150,1500,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_26,40036,event_newyearnewsword_prologue,Self,noise_w,,Locale_SubScenario:event_newyearnewsword_prologue_26,False,,15,idle,,1500,1500,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_27,40036,event_newyearnewsword_prologue,Monologue,noise_w,,Locale_SubScenario:event_newyearnewsword_prologue_27,False,,15,idle,,1500,15,2.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_28,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_28,True,,15,idle,,15,15,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_29,40036,event_newyearnewsword_prologue,Monologue,noise_w,,Locale_SubScenario:event_newyearnewsword_prologue_29,False,,15,idle,,15,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_30,40036,event_newyearnewsword_prologue,Self,noise_w,,Locale_SubScenario:event_newyearnewsword_prologue_30,False,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_31,40036,event_newyearnewsword_prologue,Self,noise_w,,Locale_SubScenario:event_newyearnewsword_prologue_31,False,,15,idle,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_32,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_32,True,,15,smile,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_33,40036,event_newyearnewsword_prologue,Speech,noise_w,noise_w,Locale_SubScenario:event_newyearnewsword_prologue_33,True,,15,smile,,150,150,1.0,,,,3,idle,,1,idle,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_34,40036,event_newyearnewsword_prologue,Narration,noise_w,,Locale_SubScenario:event_newyearnewsword_prologue_34,False,,15,smile,,black,black,1.0,,,,3,angry,,1,angry,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_35,40036,event_newyearnewsword_prologue,Self,noise_w,,Locale_SubScenario:event_newyearnewsword_prologue_35,False,,15,smile,,150,150,1.0,,,,3,angry,,1,angry,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_newyearnewsword_prologue_36,40036,event_newyearnewsword_prologue,Speech,rapi,rapi,Locale_SubScenario:event_newyearnewsword_prologue_36,False,,15,smile,,150,150,1.0,,,,3,angry,,1,angry,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
