id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_colorless_04_s_1,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_1,True,Destroyedcity,12,12,1.0,bgm_story_crawlinganxiety,,,,ein,1,idle,zwei,13,idle,,,,
event_colorless_04_s_2,40054,event_colorless_04_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_04_s_2,True,,12,12,1.0,,,,,,1,idle,,13,idle,,,,
event_colorless_04_s_3,40054,event_colorless_04_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_04_s_3,True,,12,12,1.0,,,,,,1,idle,,13,idle,,,,
event_colorless_04_s_4,40054,event_colorless_04_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_04_s_4,True,,12,12,1.0,,,,,,1,idle,,13,idle,,,,
event_colorless_04_s_5,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_5,True,,12,10,1.0,,,,,,1,idle,,13,idle,,,,
event_colorless_04_s_6,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_6,True,,10,10,1.0,,,,,,1,idle,,13,idle,,,,
event_colorless_04_s_7,40054,event_colorless_04_s,Speech,ether,ether,Locale_SubScenario:event_colorless_04_s_7,True,ElevatorOut,10,XS_70,1.0,,Grey,,,,1,idle,,13,idle,ether,7,delight,
event_colorless_04_s_8,40054,event_colorless_04_s,Speech,ether,ether,Locale_SubScenario:event_colorless_04_s_8,True,,XS_70,XS_70,1.0,,Grey,,,,1,idle,,13,idle,,7,delight,
event_colorless_04_s_9,40054,event_colorless_04_s,Speech,ether,ether,Locale_SubScenario:event_colorless_04_s_9,True,,XS_70,XS_70,1.0,,Grey,,,,1,idle,,13,idle,,7,delight,
event_colorless_04_s_10,40054,event_colorless_04_s,Speech,ether,ether,Locale_SubScenario:event_colorless_04_s_10,True,,XS_70,XS_70,1.0,,Grey,,,,1,idle,,13,idle,,7,delight,
event_colorless_04_s_11,40054,event_colorless_04_s,Speech,ether,ether,Locale_SubScenario:event_colorless_04_s_11,True,,XS_70,XS_70,1.0,,Grey,,,,1,idle,,13,idle,,7,delight,
event_colorless_04_s_12,40054,event_colorless_04_s,Speech,ether,ether,Locale_SubScenario:event_colorless_04_s_12,True,,XS_70,XS_70,1.0,,Grey,,,,1,idle,,13,idle,,7,delight,
event_colorless_04_s_13,40054,event_colorless_04_s,Speech,ether,ether,Locale_SubScenario:event_colorless_04_s_13,True,,XS_70,XS_70,1.0,,Grey,,,,1,idle,,13,idle,,7,delight,
event_colorless_04_s_14,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_14,True,Destroyedcity,XS_70,10,1.0,,,,,,1,idle,,13,idle,,7,delight,ether
event_colorless_04_s_15,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_15,True,,10,10,1.0,,,,,,1,idle,,13,idle,,,,
event_colorless_04_s_16,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_16,True,,10,10,1.0,,,,,,1,idle,,13,idle,,,,
event_colorless_04_s_17,40054,event_colorless_04_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_04_s_17,True,,10,12,1.0,,,,,,1,idle,,13,idle,,,,
event_colorless_04_s_18,40054,event_colorless_04_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_04_s_18,True,,12,12,1.0,,,,,,1,idle,,13,idle,,,,
event_colorless_04_s_19,40054,event_colorless_04_s,Narration,,,Locale_SubScenario:event_colorless_04_s_19,False,,12,12,1.0,,,Low_2,,,1,idle,,13,idle,,,,
event_colorless_04_s_20,40054,event_colorless_04_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_04_s_20,True,,12,12,1.0,,,,,,1,idle,,13,surprise,,,,
event_colorless_04_s_21,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_21,True,,12,12,1.0,,,,,,1,surprise,,13,surprise,,,,
event_colorless_04_s_22,40054,event_colorless_04_s,Narration,,,Locale_SubScenario:event_colorless_04_s_22,False,,12,12,1.0,,,Low_2,,,1,surprise,,13,surprise,,,,
event_colorless_04_s_23,40054,event_colorless_04_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_04_s_23,False,,12,12,1.0,,,,,,1,surprise,,13,shy,,,,
event_colorless_04_s_24,40054,event_colorless_04_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_04_s_24,True,,12,12,1.0,,,,,,1,surprise,,13,idle,,,,
event_colorless_04_s_25,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_25,True,,12,12,1.0,,,,,,1,delight,,13,idle,,,,
event_colorless_04_s_26,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_26,True,,12,12,1.0,,,,,,1,delight,,13,idle,,,,
event_colorless_04_s_27,40054,event_colorless_04_s,Speech,zwei,zwei,Locale_SubScenario:event_colorless_04_s_27,True,,12,12,1.0,,,,,,1,delight,,13,idle,,,,
event_colorless_04_s_28,40054,event_colorless_04_s,Speech,ein,ein,Locale_SubScenario:event_colorless_04_s_28,True,,12,12,1.0,,,,,,1,delight,,13,idle,,,,
event_colorless_04_s_29,40054,event_colorless_04_s,Narration,,,Locale_SubScenario:event_colorless_04_s_29,False,,black,black,1.0,none,,,,,1,delight,,13,idle,rei,5,idle,
event_colorless_04_s_30,40054,event_colorless_04_s,Speech,rei,rei,Locale_SubScenario:event_colorless_04_s_30,True,RuinIndoor,XS_50,XS_50,1.0,bgm_risk,,,black,,1,idle,,13,idle,,5,idle,
event_colorless_04_s_31,40054,event_colorless_04_s,Speech,rei,tercera,Locale_SubScenario:event_colorless_04_s_31,False,,XS_50,XS_50,1.0,,,,,,1,idle,,13,idle,,5,idle,
event_colorless_04_s_32,40054,event_colorless_04_s,Speech,rei,tercera,Locale_SubScenario:event_colorless_04_s_32,False,,XS_50,XS_50,1.0,,,,,,1,idle,,13,idle,,5,idle,
