id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,fade,play_sound
event_arcanearchive_05_s_1,40077,event_arcanearchive_05_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_s_1,False,arcana,1,idle,Library,L_10,L_10,1.0,bgm_story_discussion,,,,,,,,
event_arcanearchive_05_s_2,40077,event_arcanearchive_05_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_s_2,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_3,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_3,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_4,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_4,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_5,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_5,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_6,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_6,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_7,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_7,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_8,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_8,False,,1,idle,,L_10,L_150,1.5,,,,,,,,,
event_arcanearchive_05_s_9,40077,event_arcanearchive_05_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_s_9,False,,1,idle,,L_150,L_150,1.0,,,,,,,,,
event_arcanearchive_05_s_10,40077,event_arcanearchive_05_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_s_10,False,,1,idle,,L_150,L_150,1.0,,,,,,,,,
event_arcanearchive_05_s_11,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_11,False,,1,idle,,L_150,L_10,1.5,,,,,,,,,
event_arcanearchive_05_s_12,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_12,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_13,40077,event_arcanearchive_05_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_s_13,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_14,40077,event_arcanearchive_05_s,Monologue,arcana,Locale_SubScenario:event_arcanearchive_05_s_14,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_15,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_15,True,,1,idle,,L_10,L_10,1.5,,arcana,,,,,,,
event_arcanearchive_05_s_16,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_16,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_17,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_17,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_18,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_18,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_19,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_19,True,,1,think,,L_10,L_100,1.3,,arcana,,,,,,,
event_arcanearchive_05_s_20,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_20,False,,1,think,,L_100,L_100,1.0,,,,,,,,,
event_arcanearchive_05_s_21,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_21,True,,1,idle,,L_100,L_10,1.3,,arcana,,,,,,,
event_arcanearchive_05_s_22,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_22,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_23,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_23,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_24,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_24,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_25,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_25,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_26,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_26,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_27,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_27,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_28,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_28,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_29,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_29,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_30,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_30,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_31,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_31,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_32,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_32,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_33,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_33,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_34,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_34,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_35,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_35,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_36,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_36,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_37,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_37,True,,1,idle,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_38,40077,event_arcanearchive_05_s,Self,arcana,Locale_SubScenario:event_arcanearchive_05_s_38,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,
event_arcanearchive_05_s_39,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_39,True,,1,surprise,,L_10,L_10,1.0,,arcana,,,,,,,
event_arcanearchive_05_s_40,40077,event_arcanearchive_05_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_05_s_40,True,,1,surprise,,L_10,L_10,1.0,,arcana,,,,,,,
