id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
event_footstepwalkrun1_03_e_1,40066,event_footstepwalkrun1_03_e,Speech,squadleader,squadleader,Locale_MainScenario:event_footstepwalkrun1_03_e_1,True,rapi_m,1,idle,seira,13,idle,squadleader,15,idle,WasteLand_03,150,150,1.0,bgm_frostpillar
event_footstepwalkrun1_03_e_2,40066,event_footstepwalkrun1_03_e,Speech,squadleader,squadleader,Locale_MainScenario:event_footstepwalkrun1_03_e_2,True,,1,idle,,13,idle,,15,idle,,150,150,1.0,
event_footstepwalkrun1_03_e_3,40066,event_footstepwalkrun1_03_e,Speech,squadleader,squadleader,Locale_MainScenario:event_footstepwalkrun1_03_e_3,True,,1,idle,,13,idle,,15,idle,,150,1500,0.5,
event_footstepwalkrun1_03_e_4,40066,event_footstepwalkrun1_03_e,Narration,squadleader,,Locale_MainScenario:event_footstepwalkrun1_03_e_4,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,
event_footstepwalkrun1_03_e_5,40066,event_footstepwalkrun1_03_e,Narration,squadleader,,Locale_MainScenario:event_footstepwalkrun1_03_e_5,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,
event_footstepwalkrun1_03_e_6,40066,event_footstepwalkrun1_03_e,Speech,seira,seira,Locale_MainScenario:event_footstepwalkrun1_03_e_6,True,,1,idle,,13,idle,,15,idle,,1300,130,1.0,
event_footstepwalkrun1_03_e_7,40066,event_footstepwalkrun1_03_e,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun1_03_e_7,False,,1,idle,,13,idle,,15,idle,,130,113,1.0,
event_footstepwalkrun1_03_e_8,40066,event_footstepwalkrun1_03_e,Speech,seira,seira,Locale_MainScenario:event_footstepwalkrun1_03_e_8,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_9,40066,event_footstepwalkrun1_03_e,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun1_03_e_9,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_10,40066,event_footstepwalkrun1_03_e,Speech,seira,seira,Locale_MainScenario:event_footstepwalkrun1_03_e_10,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_11,40066,event_footstepwalkrun1_03_e,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun1_03_e_11,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_12,40066,event_footstepwalkrun1_03_e,Speech,seira,seira,Locale_MainScenario:event_footstepwalkrun1_03_e_12,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_13,40066,event_footstepwalkrun1_03_e,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun1_03_e_13,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_14,40066,event_footstepwalkrun1_03_e,Speech,seira,seira,Locale_MainScenario:event_footstepwalkrun1_03_e_14,True,,1,idle,,13,idle,,15,idle,,113,1315,1.5,
event_footstepwalkrun1_03_e_15,40066,event_footstepwalkrun1_03_e,Speech,squadleader,squadleader,Locale_MainScenario:event_footstepwalkrun1_03_e_15,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,
event_footstepwalkrun1_03_e_16,40066,event_footstepwalkrun1_03_e,Speech,seira,seira,Locale_MainScenario:event_footstepwalkrun1_03_e_16,True,,1,idle,,13,idle,,15,idle,,1315,113,1.5,
event_footstepwalkrun1_03_e_17,40066,event_footstepwalkrun1_03_e,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun1_03_e_17,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_18,40066,event_footstepwalkrun1_03_e,Speech,seira,seira,Locale_MainScenario:event_footstepwalkrun1_03_e_18,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_19,40066,event_footstepwalkrun1_03_e,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun1_03_e_19,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_20,40066,event_footstepwalkrun1_03_e,Speech,seira,seira,Locale_MainScenario:event_footstepwalkrun1_03_e_20,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_21,40066,event_footstepwalkrun1_03_e,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun1_03_e_21,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,
event_footstepwalkrun1_03_e_22,40066,event_footstepwalkrun1_03_e,Speech,seira,seira,Locale_MainScenario:event_footstepwalkrun1_03_e_22,True,,1,idle,,13,idle,,15,idle,,1300,1300,1.0,
