id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id
event_overzone2_06_s_1,80304,event_overzone2_06_s,Narration,Locale_MainScenario:event_overzone2_06_s_1,False,dorothy,1,idle,pinne,13,idle,Desert_05,black,black,1.0,bgm_story_promise,,,,
event_overzone2_06_s_2,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_2,True,,1,idle,,13,idle,,113,113,1.0,,pinne,pinne,,
event_overzone2_06_s_3,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_3,True,,1,idle,,13,idle,,113,113,1.0,,dorothy,dorothy,,
event_overzone2_06_s_4,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_4,True,,1,idle,,13,idle,,113,113,1.0,,dorothy,dorothy,,
event_overzone2_06_s_5,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_5,True,,1,idle,,13,idle,,113,113,1.0,,pinne,pinne,,
event_overzone2_06_s_6,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_6,True,,1,idle,,13,idle,,113,113,1.0,,dorothy,dorothy,,
event_overzone2_06_s_7,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_7,True,,1,idle,,13,delight,,113,113,1.0,,pinne,pinne,,
event_overzone2_06_s_8,80304,event_overzone2_06_s,Narration,Locale_MainScenario:event_overzone2_06_s_8,False,,1,idle,,13,idle,RuinIndoor,black,black,1.0,,,,,
event_overzone2_06_s_9,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_9,True,,1,idle,,13,idle,,100,100,1.0,,dorothy,dorothy,,
event_overzone2_06_s_10,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_10,True,,1,idle,,13,worry,,100,S_1300,2.0,,pinne,pinne,,
event_overzone2_06_s_11,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_11,True,,1,worry,,13,worry,,S_1300,113,2.0,,dorothy,dorothy,,
event_overzone2_06_s_12,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_12,True,,1,worry,,13,worry,,113,113,1.0,,pinne,pinne,,
event_overzone2_06_s_13,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_13,True,,1,worry,,13,worry,,113,113,1.0,,dorothy,dorothy,,
event_overzone2_06_s_14,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_14,True,,1,worry,,13,angry,,113,113,1.0,,pinne,pinne,,
event_overzone2_06_s_15,80304,event_overzone2_06_s,Narration,Locale_MainScenario:event_overzone2_06_s_15,False,,1,worry,,13,angry,snbg_sprout_2,black,black,1.0,,,,dorothy,pinne
event_overzone2_06_s_16,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_16,True,,,,,,,,sprout02_01,sprout02_01,1.0,,pinne,pinne,,
event_overzone2_06_s_17,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_17,True,,,,,,,,sprout02_01,sprout02_02,2.0,,pinne,pinne,,
event_overzone2_06_s_18,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_18,True,,,,,,,,sprout02_02,sprout02_02,1.0,,dorothy,dorothy,,
event_overzone2_06_s_19,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_19,True,,,,,,,,sprout02_02,sprout02_02,1.0,,pinne,pinne,,
event_overzone2_06_s_20,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_20,True,,,,,,,,sprout02_02,sprout02_02,1.0,,dorothy,dorothy,,
event_overzone2_06_s_21,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_21,True,,,,,,,,sprout02_02,sprout02_01,2.0,,pinne,pinne,,
event_overzone2_06_s_22,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_22,True,,,,,,,,sprout02_01,sprout02_01,1.0,,dorothy,dorothy,,
event_overzone2_06_s_23,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_23,True,,,,,,,,sprout02_01,sprout02_01,1.0,,pinne,pinne,,
event_overzone2_06_s_24,80304,event_overzone2_06_s,Narration,Locale_MainScenario:event_overzone2_06_s_24,False,,,,,,,EventScene_OverZone_08,black,black,1.0,,,,,
event_overzone2_06_s_25,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_25,True,,,,,,,,dorothypinne_01,dorothypinne_01,1.0,,pinne,pinne,,
event_overzone2_06_s_26,80304,event_overzone2_06_s,Speech,Locale_MainScenario:event_overzone2_06_s_26,True,,,,,,,,dorothypinne_01,dorothypinne_01,1.0,,dorothy,dorothy,,
